""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YHR092C"	25493.6991533685	-7.83780306866687	0.171707945007891	-45.6461293524109	0	0
"YMR303C"	8526.56914029456	-4.54425547394459	0.1035058720504	-43.9033591420965	0	0
"YMR011W"	22859.3795671561	-4.53286039182419	0.138994903738456	-32.6117020833626	2.79930080481014e-233	6.05022213946298e-230
"YLR174W"	2427.0904496487	-5.20119539310171	0.162919799619698	-31.9248820907147	1.20595484425407e-223	1.95485280253586e-220
"YDR277C"	1847.96557614116	-4.07535414354791	0.143094665284588	-28.4801263236669	2.06498276960981e-178	2.67786965563e-175
"YKL096W"	4144.263474667	3.6699930180973	0.130223924693818	28.1821717992771	9.67215899896109e-175	1.04523798248773e-171
"YER091C"	11217.5230388819	-2.58146557277603	0.0935053295786066	-27.6076838016584	8.997978569175e-168	8.33469900607581e-165
"YDL215C"	4293.39184093017	-2.87223199939505	0.107520747255087	-26.7132816011857	3.29960889476013e-157	2.67433300920309e-154
"YJR095W"	2850.92187289965	-7.01808398123567	0.270763311446914	-25.9196267903956	4.00199297694378e-148	2.88321360694483e-145
"YPL134C"	1733.81994943865	-2.76842510575761	0.108026315970641	-25.6273212770673	7.56909355436566e-145	4.90780026065069e-142
"YDR342C"	4325.89568153526	-6.61768521840685	0.258770821878671	-25.5735371181442	3.00560934444885e-144	1.77167008994603e-141
"YNL117W"	1217.8532362892	-5.54372855319374	0.217438717829668	-25.4955907049473	2.20618812280259e-143	1.19207698235433e-140
"YKL029C"	3363.79866047916	-2.2952025212995	0.0910000000550322	-25.2220057133129	2.29803148910626e-140	1.146187398105e-137
"YKL217W"	2321.81103056971	-4.92440521653219	0.196911885391519	-25.0081665042261	4.98264305351998e-138	2.30767553993025e-135
"YKR075C"	3122.93243045008	-4.02378656886314	0.162248974670694	-24.8000739421	8.94846087920453e-136	3.86812135605081e-133
"YMR120C"	6630.92459544056	-4.13911451031811	0.168940315976277	-24.5004544143231	1.46076018457846e-132	5.91973064800421e-130
"YLR377C"	2493.7775107796	-5.40908793203648	0.221357234578769	-24.4360115102165	7.08787784003907e-132	2.70339999498902e-129
"YIL162W"	7870.2020408491	-4.2100143279572	0.17495002542997	-24.0640966905283	5.94342363490176e-128	2.14095326937239e-125
"YDR461W"	1742.29939335021	2.65302338630375	0.1108957858432	23.9235726238954	1.74135385752233e-126	5.94259916430251e-124
"YJL212C"	771.714741440213	3.01954000042042	0.128495030446744	23.499274562777	4.14899108770478e-122	1.34510291063389e-119
"YLR058C"	13990.8325114512	-2.96778971117296	0.127698983179089	-23.24051168842	1.77429480520322e-119	5.478346436637e-117
"YJL153C"	6027.11438525245	-6.52695529407046	0.281750743583904	-23.1657074300738	1.00976879187951e-118	2.97606402115761e-116
"YBR297W"	605.118008405051	-4.22541035463422	0.185641386217248	-22.7611441647467	1.11303610426342e-114	3.13779395654086e-112
"YPL095C"	1430.59182109294	3.09820563197947	0.141776769722977	21.8527029359828	7.32657296424872e-106	1.9793957958412e-103
"YOL155C"	2399.66962507027	3.12338872532014	0.152493958871253	20.482048918129	3.11285354964599e-93	8.07349696636183e-91
"YDR028C"	638.687260375556	8.32965593824893	0.408036152474875	20.4140145125053	1.25537696456882e-92	3.13071701471702e-90
"YER065C"	3610.66727691501	-3.31842793117548	0.163920711512507	-20.2441039973298	4.00398384752273e-91	9.6154930619768e-89
"YJL079C"	3464.89294294503	-1.97597971293462	0.0999443449932145	-19.7708005697448	5.31262403806608e-87	1.23025193795787e-84
"YAR015W"	3717.7455541683	-2.10810673758014	0.110565222069275	-19.0666350424305	4.78096886851033e-81	1.06895869460072e-78
"YDR216W"	1865.95563230124	-2.37027779898878	0.126581687062894	-18.7252821003332	3.08035402175158e-78	6.65767182567909e-76
"YDR178W"	3135.3569309016	-1.9022984720298	0.102191573323261	-18.6150228454971	2.42756522467001e-77	5.07752674734205e-75
"YJL191W"	2463.47914524792	1.82048058257164	0.098923748860031	18.4028668904114	1.24594962124253e-75	2.52460542004268e-73
"YNL134C"	2660.33926008772	1.75399532471775	0.0954165425815885	18.3825076581239	1.81386413394949e-75	3.56396819531167e-73
"YGL009C"	8241.80908689739	-1.74722202660499	0.0954724523121858	-18.3007976048603	8.15462835297608e-75	1.55513559531461e-72
"YNL220W"	3265.41335567253	-1.64841466454116	0.0926269562028155	-17.796273699546	7.55303461531937e-71	1.39925361273517e-68
"YPL111W"	2048.35840902663	2.29627469505215	0.12979688087817	17.6912933463129	4.89391433909828e-70	8.8144834929759e-68
"YBR298C"	724.026693784399	-2.90821042261399	0.16703344069829	-17.4109472358116	6.81469946713663e-68	1.19423003634902e-65
"YOL151W"	904.044255274569	2.39888840350354	0.139268393178858	17.2249305728884	1.72634747187635e-66	2.94569394938059e-64
"YGR061C"	5159.89674237666	-1.57541649218406	0.0923582369079233	-17.0576717889783	3.06530903888233e-65	5.09627277131103e-63
"YHR216W"	1495.73088875581	2.35730224376181	0.139231801804156	16.9307745300719	2.66845569533049e-64	4.32556668213073e-62
"YKL148C"	5046.61458763994	-2.03558119519408	0.126124276298416	-16.139487614405	1.34654498547383e-58	2.12951163068593e-56
"YKR093W"	516.89517868266	2.40942028966984	0.14932809602898	16.1350767453852	1.44627712385559e-58	2.23277639787611e-56
"YOR107W"	790.474159231285	2.45630989902666	0.153368933513019	16.0156939398562	9.92927464968025e-58	1.4972422518262e-55
"YGR244C"	4056.00784578313	-2.22185687880779	0.139669754732742	-15.9079314133493	5.58278026318766e-57	8.22698800602473e-55
"YLR359W"	6089.99311332047	-1.68750136346645	0.106263523049551	-15.8803445908675	8.67007858474415e-57	1.24926198985513e-54
"YMR191W"	1063.37815265888	-1.66598922229529	0.109280430836005	-15.2450828528981	1.77507647761899e-52	2.50208606106121e-50
"YNL145W"	2920.78499281013	1.6011990522752	0.106904680846434	14.9778198634284	1.02525353671017e-50	1.4144136025593e-48
"YGR292W"	267.25492636215	-3.7841791590442	0.254125791173334	-14.8909685300816	3.77264560245907e-50	5.09621543465512e-48
"YBR230C"	2001.5766336259	-1.78134549149184	0.119675408861275	-14.8848080691058	4.13671874309755e-50	5.47397639392746e-48
"YMR006C"	2177.36841646522	-1.58323978483453	0.106566772658239	-14.8567864573698	6.2869388082174e-50	8.15290224649633e-48
"YMR122W-A"	7428.75566829201	1.35996120480889	0.0923486355073101	14.7263811461647	4.36460503827139e-49	5.54903903297093e-47
"YNR044W"	814.908903539804	1.59986448658309	0.110135282587992	14.5263574849856	8.24917619711679e-48	1.02860881657895e-45
"YCL027W"	265.356182256306	2.4446877560693	0.169029881243897	14.4630507817834	2.0739751759967e-47	2.53729340399294e-45
"YMR300C"	3050.07203822147	-1.83216763763113	0.12765657888842	-14.3523166105881	1.0303704939201e-46	1.23720783010703e-44
"YHR087W"	484.950564641174	3.90664957567709	0.272318017589946	14.3459092800818	1.13009335603891e-46	1.33227733101024e-44
"YPR002W"	638.333974227982	-3.22726945089173	0.226880777548405	-14.2245168839973	6.4548577700264e-46	7.473803175152e-44
"YAL044C"	2175.64621166359	-1.70736045511507	0.12055159656938	-14.1629020577297	1.55440024833759e-45	1.76819845793349e-43
"YGL146C"	297.783630677279	-2.42186631879844	0.172991218641743	-13.9999379032875	1.56006986924543e-44	1.74405052279092e-42
"YNR050C"	1708.73643759645	-1.5767203993467	0.113523086569108	-13.8889845845309	7.38751853226718e-44	8.11875765478312e-42
"YLL013C"	526.315770162483	-1.87808448436947	0.137302523042554	-13.6784411731997	1.36589513625655e-42	1.47607734391458e-40
"YEL065W"	2215.80870053445	-2.24059331545983	0.165942098897065	-13.5022597059574	1.51652259100814e-41	1.61198893116341e-39
"YPL156C"	825.887818438567	-2.10941310551341	0.156979231607741	-13.4375298178577	3.64398800899546e-41	3.81090616940751e-39
"YER015W"	985.396330635188	-2.03965540276331	0.153203921609107	-13.313336769325	1.93636720103436e-40	1.99292141769949e-38
"YBR203W"	410.026586757731	-1.86810090715904	0.141188955357681	-13.2312113396298	5.79458739015892e-40	5.87064134965476e-38
"YMR182C"	474.328642244159	-1.83276396829405	0.138782368655858	-13.2060288784866	8.09855401558536e-40	8.07861911339315e-38
"YIL125W"	3185.63959298938	-1.27287156803185	0.097315571620642	-13.0798344687713	4.29374202440717e-39	4.21827625549335e-37
"YGL234W"	6509.01171481396	-1.39125702595073	0.106785600581062	-13.0285077611622	8.42390270976549e-39	8.15232614479394e-37
"YHR214W-A"	275.802433708194	-3.02486460995514	0.233120687231557	-12.9755305969503	1.68425939478689e-38	1.60599086997033e-36
"YLR452C"	744.26928801651	1.54518438827783	0.119947875124557	12.8821322317988	5.67458688462443e-38	5.33246686375432e-36
"YGR234W"	6154.05446368627	1.38062571053988	0.108082393250198	12.7738262359152	2.29584991112673e-37	2.12661297482081e-35
"YMR189W"	2705.25060193146	-3.26572451337823	0.2569110612972	-12.7114982783881	5.10469160058935e-37	4.66180568143962e-35
"YKR098C"	499.05532537361	-2.17670123550211	0.171743790311975	-12.6741189975376	8.22779078546564e-37	7.40958270179989e-35
"YGR289C"	290.809287831644	-2.34777635450935	0.185659465157785	-12.6456055042174	1.18309555836923e-36	1.05084816444741e-34
"YIL015W"	1860.44320563642	1.55681382463534	0.124349512109103	12.5196617037741	5.82830279178139e-36	5.1068534191771e-34
"YOR375C"	7442.79607746659	-1.3795228995741	0.110977616214713	-12.4306409402873	1.78199804061903e-35	1.54059670604984e-33
"YKR097W"	4660.14333343675	-5.96316419360516	0.481127916925081	-12.3941346653009	2.81164407806368e-35	2.39877634239012e-33
"YDR148C"	3293.15053363032	-1.1711049150516	0.0952903629332743	-12.289856801906	1.02687772169568e-34	8.64711058113608e-33
