""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YHR092C"	14144.5456612966	-6.99583194404734	0.199195393634783	-35.1204504099824	3.28567648464778e-270	2.17248929164911e-266
"YMR011W"	30923.4434020483	-4.99186638337259	0.151540883039971	-32.9407238709037	5.74417927836466e-238	1.89902566942736e-234
"YFL026W"	3026.67778853814	6.4841105576127	0.215547568840753	30.0820398600885	8.32323288582683e-199	1.83444052803623e-195
"YNL145W"	1946.73403574119	8.36594778489955	0.286806834312181	29.169276265549	4.7587939781914e-187	7.86628644595038e-184
"YDR461W"	1402.61983626026	8.10197889838154	0.293176624100796	27.63514629869	4.20996890905918e-168	5.56726288533985e-165
"YPL187W"	10331.537945141	-10.0014359878382	0.36964191223541	-27.0570940599093	3.15165774346769e-161	3.4731268333014e-158
"YIL015W"	1274.64666750133	5.10952433824263	0.188928671433505	27.0447269833313	4.40581474247641e-161	4.161606725322e-158
"YPL095C"	1411.10200941963	3.15048023337384	0.124947701416494	25.2143912825751	2.78535715540843e-140	2.30209768894507e-137
"YLR040C"	1834.53875089441	-4.21888787771631	0.172220460331571	-24.4970189348804	1.58924911225785e-132	1.16756834780544e-129
"YDL215C"	4828.46702000692	-3.06928238535991	0.128393136332305	-23.9053462905995	2.69472269536642e-126	1.78175064617628e-123
"YKL029C"	3552.2711467312	-2.39764603104437	0.100834084378633	-23.7781306372674	5.62414977053158e-125	3.38062529843226e-122
"YDR277C"	1857.37109731496	-4.09408661243903	0.172735149754256	-23.7015258229928	3.47740151535098e-124	1.91604823495839e-121
"YLR174W"	1460.74268282238	-4.46165496065628	0.19250909176624	-23.1763337498573	7.89024268538678e-119	4.01309881813672e-116
"YKL178C"	1841.48047999829	-5.0524286576889	0.222760554891011	-22.6809843428559	6.90276762568775e-114	3.26007853864624e-111
"YJL079C"	4746.36880457042	-2.50766140415749	0.113301826230987	-22.1325770958461	1.53546384888263e-108	6.76832464587461e-106
"YGR138C"	1029.55992893869	2.72526507162253	0.128044298025161	21.2837675215105	1.60511890589061e-100	6.63315387859293e-98
"YBR297W"	1015.29645100013	-5.00069200461788	0.250310598864161	-19.9779475072555	8.56744506890459e-89	3.33223216444689e-86
"YDR384C"	4442.06918240569	-1.76469233656461	0.0967097773885181	-18.2473001615462	2.17390632328881e-74	7.98548256088091e-72
"YKR075C"	3384.39461132513	-4.15698344131604	0.233737113562947	-17.7848668444198	9.2583056913188e-71	3.22189038057894e-68
