""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YEL071W"	4071.73092773071	-1.90332617969666	0.0474015263103965	-40.1532677921218	0	0
"YER091C"	8122.64711108919	-2.08579617414645	0.0403547616094614	-51.6864947520203	0	0
"YKL096W"	5093.81173106088	1.90442303101839	0.0486682975842473	39.1306687422493	0	0
"YOL155C"	2594.49078141241	2.36067680136024	0.0580906500267588	40.6378100481371	0	0
"YNL036W"	3385.70236456873	1.91889579120586	0.053921222644793	35.5870230140482	2.2242211102753e-277	2.82387112160552e-274
"YGR234W"	5689.76788243771	1.62801059940861	0.0460403546973071	35.3605138386093	6.91132050504333e-274	7.31217709433584e-271
"YKL029C"	2923.75403766933	-2.09536797435492	0.0606927452949664	-34.5241917163483	3.4781953010388e-261	3.15422625299919e-258
"YMR145C"	3057.84841957172	1.73057264834069	0.0504447039394079	34.3063297669341	6.31453328657232e-258	5.01058216289514e-255
"YBL045C"	3251.87596150343	1.66487367997103	0.0485848420176729	34.2673478153007	2.40601452930688e-257	1.69704224800445e-254
"YJR121W"	8930.1641439128	1.34057671248418	0.0408217115658009	32.8397967910605	1.59296608888652e-236	1.01121487322516e-233
"YKL216W"	11263.3298486503	-1.15033949815404	0.0359999085722129	-31.9539561009317	4.7604454256492e-224	2.74720977836555e-221
"YBL030C"	5922.41156319258	1.33370420380991	0.0423560504623225	31.4879265005197	1.27100247099567e-217	6.7236030715671e-215
"YKL085W"	2709.33629850913	1.74816099429433	0.0558856235544398	31.2810501718998	8.44793349021457e-215	4.12519090737554e-212
"YBR067C"	7047.75020874659	1.3559906289485	0.0449722984892481	30.1516861379164	1.01940168884045e-199	4.62225851482798e-197
"YER062C"	2050.82850013392	2.01077234168047	0.0676427792173398	29.7263413027391	3.50738596415783e-194	1.48432574003159e-191
"YCR005C"	2005.34690118588	-2.27387278087261	0.0790979385770245	-28.7475605784383	9.71641434806349e-182	3.85498739259419e-179
"YBR039W"	3090.24740788668	1.49894712206763	0.0525452324414336	28.5267959131848	5.45116212656834e-179	2.03552806937975e-176
"YLR058C"	4917.19870366887	-1.24846991951855	0.0449161812537452	-27.7955490576005	4.90980715989688e-170	1.73152532505697e-167
"YDR074W"	2659.23941323236	1.82024293002335	0.0664057520691864	27.410922597893	2.03224697657316e-165	6.7898441090981e-163
"YOL058W"	2343.82605249817	-1.66481276916486	0.0614684443926675	-27.0840231213571	1.5188474185555e-161	4.82082170649514e-159
"YOL143C"	4435.62489504377	-1.35823021887215	0.0507672567131186	-26.7540597386894	1.10753135868263e-157	3.34790907853208e-155
"YPL265W"	2030.60609551133	-1.63170580811359	0.0628198468545561	-25.9743678123158	9.64952722579951e-149	2.78432721951706e-146
"YNL055C"	5744.42004258282	1.07547383240436	0.0421358969083388	25.5239335416049	1.06944465974939e-143	2.95166726090832e-141
"YPR191W"	2373.27082223411	1.58301659353956	0.0626264910757054	25.2771082388433	5.70388825823086e-141	1.50867844430206e-138
"YKL109W"	792.896433407803	2.24830186190639	0.0895760691880057	25.0993583697848	5.05419148554451e-139	1.28336030200946e-136
"YOR065W"	1577.89216026306	1.58815376558837	0.0659746112136452	24.0721959004118	4.88914288434704e-128	1.19370303960904e-125
"YGR254W"	7571.41576141508	1.17183077823757	0.0489312091353941	23.9485350749269	9.57069799780196e-127	2.2501774403721e-124
"YML131W"	882.660348802219	2.00427046917937	0.0838670842374006	23.8981775437182	3.19932506011893e-126	7.25332695772678e-124
"YDL048C"	790.948790096993	2.14637979988756	0.0901112843348103	23.8192121634028	2.11206021181588e-125	4.62322697400248e-123
"YJR048W"	884.579190347828	1.94553346737179	0.082948637906151	23.4546764899622	1.18435791626388e-121	2.50610135081437e-119
"YKL150W"	1876.96850324152	1.37491067880791	0.0590184695599408	23.296278081415	4.83560284041975e-120	9.90206671967245e-118
"YLR420W"	3017.58916330758	-1.15690792120804	0.0500958263386894	-23.0938983496625	5.33209584295396e-118	1.05775451284599e-115
"YJR077C"	3684.31321476123	1.10166665627661	0.047788539505625	23.0529467456719	1.37413051793767e-117	2.64332743268737e-115
"YJR016C"	6935.57396872981	-1.0154941815123	0.0441999504984104	-22.9750072129338	8.28870499438556e-117	1.54754997953999e-114
"YGL009C"	5357.90840747967	-0.999732060350064	0.0437066517494064	-22.8736821590009	8.49537954174577e-116	1.54081912374292e-113
"YLL024C"	27133.8584078754	-0.846534026611857	0.037065289873361	-22.8389965248933	1.87993228582308e-115	3.31494726400137e-113
"YLR348C"	1569.84126461645	-1.58785746853228	0.0696155477093279	-22.8089488739241	3.73726481989077e-115	6.41193434504503e-113
"YBL099W"	4787.59319416087	1.16948151538819	0.0514537635287155	22.7287847415772	2.32686693542371e-114	3.88709244896571e-112
"YGR138C"	1186.46314705399	1.80411523190849	0.0795027138141792	22.692498725581	5.31319328737552e-114	8.64824384314354e-112
"YNL007C"	2654.63707810801	-1.25826059865641	0.0568292164559258	-22.1410865242575	1.27134816319169e-108	2.01762953498522e-106
"YOR107W"	807.544601787312	2.20410797846038	0.0997215641717986	22.1026214015575	2.98240332380541e-108	4.61763324378458e-106
"YML120C"	1250.51487308038	1.65619774362548	0.0766433919574499	21.6091394355948	1.4736953895451e-103	2.22738531734102e-101
"YJL159W"	23359.9779537656	0.692633986800078	0.0328333709901094	21.0954271801309	8.76106946924395e-99	1.29337834862234e-96
"YDR529C"	1655.73079916459	1.26415501658599	0.0604396520036824	20.9159876782377	3.83015646033655e-97	5.52587118414009e-95
"YLL041C"	1029.57504740141	1.60682649297705	0.0768377352757101	20.911944986554	4.16887743153038e-97	5.88089643007885e-95
"YPL111W"	2625.41731641149	1.08749731452687	0.0524601618243093	20.72996492403	1.8592547246147e-95	2.56577151996829e-93
"YMR122W-A"	8736.76202482136	0.737803711325866	0.0358829060982407	20.5614258027456	6.08193905137137e-94	8.21449980810754e-92
"YPL271W"	1322.62251402812	1.59986998333359	0.0782853241255213	20.4363972584233	7.93876839328064e-93	1.04990212001136e-90
"YKL148C"	1039.52148941546	1.58144642247389	0.0776341221647488	20.3705069159908	3.05499374256595e-92	3.95777556689973e-90
"YLR300W"	14930.6355683772	0.813827999023775	0.0404312957557655	20.1286647833374	4.14000102154321e-90	5.25614529695126e-88
"YDR377W"	1144.40936621436	1.44366908987302	0.0718905702210536	20.0814805813049	1.07153067477971e-89	1.33374053401992e-87
"YGR008C"	831.512852335235	2.0501749082808	0.102741871923952	19.9546189872645	1.36660684806834e-88	1.66831159068035e-86
"YML081C-A"	1187.30353535344	1.4057827423141	0.0704995328143018	19.9403128814624	1.81923321395824e-88	2.17896083815224e-86
"YHR094C"	9604.32185661272	0.742374045729016	0.0372465398914892	19.9313559834493	2.17586305008749e-88	2.55784789665841e-86
"YPR065W"	1544.95424417432	1.26089138433975	0.0634351658266468	19.8768517100667	6.45599270138979e-88	7.45138939425861e-86
"YDL022W"	3653.95591256921	1.22584065938758	0.0618821723486387	19.8092699862134	2.47648619071974e-87	2.80727398905159e-85
"YDL181W"	454.742820944474	2.27524997144543	0.115711552822385	19.6631184695784	4.4642358850717e-86	4.97174901726933e-84
"YMR186W"	21045.9500114665	-0.621270253245271	0.0317699489061388	-19.5552802140398	3.71956217752252e-85	4.07099667291602e-83
"YLL039C"	2582.30873125448	1.00187995411557	0.0517534831018096	19.3586961508401	1.72188650248769e-83	1.85263313860879e-81
"YGL187C"	1120.61177169938	1.3635566129596	0.0719846115040481	18.9423348194763	5.10808565836237e-80	5.40435462654739e-78
