""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YOR382W"	2104.70761697298	-3.34884456043053	0.113264191893179	-29.5666662557295	4.01036199639202e-192	2.49725241515331e-188
"YEL071W"	5855.6848227837	-2.31340220592126	0.0877621022371762	-26.359922414681	3.94991566443085e-153	1.22980624212055e-149
"YOR383C"	2629.29825558327	-3.60760092616563	0.140967166677352	-25.5917814849947	1.88330820167017e-144	3.90912005726672e-141
"YGR234W"	5691.26578011323	2.22418369341966	0.102494271783119	21.7005658435829	2.02653744900092e-104	3.15481217373219e-101
"YPR036W-A"	7502.47893273771	-2.67094438271809	0.126094058049906	-21.1821589694651	1.39490710777912e-99	1.73721731202811e-96
"YMR145C"	3266.75508001226	1.98325276918634	0.0985351840989856	20.1273564089963	4.25075108349809e-90	4.4115711661571e-87
"YOR107W"	827.113456183908	2.85129510437528	0.144303094347737	19.7590711222333	6.70268442852562e-87	5.962516562347e-84
"YCR005C"	3998.56373086493	-3.1827968325343	0.166151641569439	-19.1559758451386	8.62926580271831e-82	6.71680476919086e-79
"YOL155C"	3085.66488154162	2.03474164513685	0.106290301161023	19.1432484705668	1.10181593899039e-81	7.62334205788131e-79
"YBL045C"	3535.11233060704	1.822903504994	0.0954787046055952	19.0922521678952	2.9286669068862e-81	1.82368088291803e-78
"YJR121W"	9584.2507997914	1.52908246064814	0.0801865796352052	19.0690570367814	4.56461727803372e-81	2.58398834457418e-78
"YBR039W"	3369.98338842602	1.63062841910603	0.0857688442575391	19.0118968399495	1.35946697076834e-80	7.05450068914539e-78
"YMR189W"	1446.88610404723	-2.10987154011659	0.111797076382061	-18.872331982155	1.92608335329721e-79	9.22593926229365e-77
"YPR191W"	2584.89712466096	1.72524033617407	0.0923088197549467	18.6898753635253	5.98526626232548e-78	2.66216092967863e-75
"YPL111W"	2488.32788265865	1.77824415242058	0.0995670674248767	17.8597622528379	2.42670711632923e-71	1.00740701422547e-68
"YOR153W"	14537.9494500935	-2.35107044289421	0.134958704183131	-17.4206655074574	5.75043804704389e-68	2.23799860743389e-65
"YDR028C"	702.5856426259	9.58132456892042	0.560893100955579	17.0822649674189	2.01156416230381e-65	7.36824119921518e-63
"YBL030C"	6471.38109068633	1.4472302661279	0.0863885469842032	16.7525709906029	5.42310425342534e-63	1.87609278811553e-60
"YDL048C"	844.85308355416	2.46121120348687	0.147238680908722	16.7157922652992	1.00574399958118e-62	3.29619362389054e-60
"YJL088W"	735.968613967659	-3.48551123177424	0.209981872962119	-16.5991053542181	7.0737399178771e-62	2.20240892343104e-59
"YLR136C"	522.024612585283	-2.63297634724549	0.160077884053762	-16.448095643001	8.65469295513282e-61	2.56632252531486e-58
"YEL065W"	1852.11345264309	-1.77480761563854	0.108855117630219	-16.3043103004819	9.19712076297874e-60	2.60320322686675e-57
"YMR120C"	1866.41278906685	-1.99910718581964	0.124055114854173	-16.1146695818999	2.01236710785101e-58	5.4482652089514e-56
"YHR137W"	328.220139207024	2.7524752658587	0.172482500693223	15.9579972159277	2.50646216593546e-57	6.50322496136671e-55
"YJR048W"	887.187515860006	2.65294419860977	0.168115696878692	15.7804669514237	4.24039401504773e-56	1.05619734126809e-53
"YGL187C"	1156.54045583262	1.72729451879751	0.109700285344782	15.7455790873171	7.36537676315265e-56	1.76400773477506e-53
"YHR051W"	981.572908094705	1.63329009131507	0.105574334454755	15.4705222604556	5.48601596004497e-54	1.26523782900741e-51
"YOR221C"	400.993055578585	2.18187959842712	0.14234072902902	15.3285683817334	4.92726646434493e-53	1.09578886690985e-50
"YDR529C"	1770.99366948861	1.46103356730967	0.0965531041255198	15.131917099323	9.97467220283013e-52	2.14180288989735e-49
"YGL009C"	2412.33075846652	1.3188555214015	0.0881238718894592	14.9659279957177	1.22601714981239e-50	2.54480293062726e-48
"YOL058W"	4316.30572482847	-2.49145633046003	0.166851489630535	-14.9321791251426	2.03505394315265e-50	4.08783254968115e-48
"YDL181W"	503.506339952797	2.37152572496678	0.159419235384434	14.8760324891029	4.71652239759775e-50	9.17805780307536e-48
"YEL024W"	976.512712652551	1.81322087835738	0.123245285395091	14.7122940447149	5.37537808704408e-49	1.01431755600071e-46
"YHL047C"	1080.29888961845	-1.74232698834407	0.120100232561033	-14.5072740592625	1.08965508144815e-47	1.99567123299342e-45
"YDR019C"	1201.06203439361	-1.92911260946058	0.135503798307591	-14.2365943505253	5.43100072932596e-46	9.66252615471794e-44
"YKL085W"	3217.26296912381	1.50775830815875	0.105991298996859	14.2253026656785	6.38276002489195e-46	1.10404018541673e-43
