""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YPL187W"	9791.28540302429	-9.95541132047236	0.308437833751334	-32.2768812093867	1.47664221769845e-228	9.00899417017827e-225
"YKL209C"	941.284760606484	4.3459332675319	0.142515012411634	30.4945647057821	3.07624092260599e-204	9.38407293440957e-201
"YNL145W"	1908.79301493037	8.37108102125301	0.286775394402282	29.1903740162248	2.56932767021597e-187	5.22515603866255e-184
"YIL015W"	1252.97194160365	5.04196314830017	0.222539413315652	22.6564951941731	1.20388234580413e-113	1.83622154793775e-110
"YLR040C"	1407.85528598269	-3.85208163856995	0.190399965387504	-20.2315248888315	5.16798082834507e-91	6.30597020674666e-88
"YFL026W"	2998.12095039009	5.77998317712404	0.287747016563579	20.0870307749895	9.58238728249359e-90	9.7436908017489e-87
"YKL178C"	1269.50910695615	-4.53092681095867	0.256234949931696	-17.6827041438589	5.69957859162556e-70	4.96758985535822e-67
"YKL177W"	110.984961474485	-4.12952911532813	0.371649072492356	-11.1113666654262	1.10455908673924e-28	8.42364373524515e-26
"YCR005C"	2985.64080986928	-2.92382150012096	0.278587119794942	-10.495178320782	9.09059058223272e-26	6.16241034913354e-23
"YLR041W"	138.164685470318	-2.86106750271226	0.287377396305205	-9.95578476072527	2.37938141060382e-23	1.45166059860939e-20
"YGL234W"	5285.33869879893	-1.05680884432379	0.106633550550041	-9.91065981459418	3.74166898624268e-23	2.0752656804606e-20
"YLR108C"	697.703682023721	1.24677154362135	0.128017003670366	9.73910892987065	2.05347028004601e-22	1.04401851488006e-19
"YOR221C"	358.335962821038	2.10374504998976	0.216350249032129	9.72379305963887	2.38719507242217e-22	1.12032901052674e-19
"YGL009C"	2179.94680967485	1.22448600435325	0.128397084067584	9.53671193738883	1.4743266429861e-21	6.42490489204156e-19
"YPL274W"	1878.47621481586	-1.07992475205867	0.113358415687924	-9.52663942509317	1.62457128587249e-21	6.60767294340539e-19
"YDR345C"	22571.3945285421	-1.6301769847011	0.177716785492412	-9.17289258965753	4.6049320893154e-20	1.75591816730708e-17
"YGR204W"	5292.8157135239	-0.775254808938936	0.086333361806306	-8.97978247016797	2.71302610029089e-19	9.7365719046322e-17
"YML123C"	1442.21587167203	-1.43042178413963	0.160790636935061	-8.89617586823377	5.78039559885972e-19	1.95923297492462e-16
"YDL110C"	523.533911460014	1.17461114022901	0.133735229055627	8.78310934615764	1.59016449310829e-18	5.10610188023877e-16
"YDR477W"	643.461490798033	-12.6821065098859	1.44846735847399	-8.7555349008672	2.03137756215434e-18	6.19671725335182e-16
"YER053C-A"	57.5072871319985	3.49985614719279	0.400364738451183	8.74166931066915	2.29690978259454e-18	6.67306980171872e-16
"RDN5-1"	176.541599045868	-5.43154257110516	0.642045216877728	-8.45975085293651	2.67949368967716e-17	7.43072318214562e-15
"YCR097W"	83.0723525918199	10.0293624181998	1.20372359754509	8.33194799757523	7.95228798223257e-17	2.10943082520004e-14
"YFR015C"	222.201134868657	2.42246111898747	0.291253764989847	8.31735555099836	8.99476154368739e-17	2.2257842349837e-14
"YMR205C"	8621.74806853538	-0.893954591798978	0.107501914877681	-8.31570854171433	9.12057136118546e-17	2.2257842349837e-14
"YER091C"	6965.21279750715	-1.84040668569617	0.224712934311618	-8.19003450484077	2.61151297197442e-16	6.12801563154458e-14
"YDL023C"	238.171287142025	2.11624283096126	0.260013282656546	8.13897970649687	3.98622776677766e-16	9.00739837226315e-14
"YJR048W"	1133.81726041472	0.91298453405306	0.112670537443313	8.10313463279964	5.35609091781742e-16	1.16705395320015e-13
"YDR232W"	2828.90726862912	-0.933856207556738	0.115408656451242	-8.09173450477934	5.88210134800176e-16	1.23747242497099e-13
"YLR257W"	2379.24187961974	1.04698932949812	0.13003111397698	8.05183696021766	8.15605101401883e-16	1.6586689078843e-13
"YHR094C"	9688.38565638593	0.689302751463093	0.0884370166255338	7.7942786602785	6.47774524319159e-15	1.2748620557649e-12
"YKL152C"	43061.4578106282	-0.681197963316228	0.0875894386467373	-7.77717009996618	7.41648556908465e-15	1.4139993267808e-12
"YDL022W"	3184.04685519173	1.76028537970606	0.227051666545845	7.75279656161712	8.98905678474092e-15	1.62574587782279e-12
"YNL054W-B"	676.640782076643	-1.64446048991403	0.212139236208341	-7.75179791964091	9.06004914702094e-15	1.62574587782279e-12
"YMR120C"	2373.05458761758	-2.60000195413599	0.342206611991438	-7.59775487389192	3.01312377918424e-14	5.25230519337229e-12
"YJL170C"	107.267370919354	3.04129361507671	0.401910815944286	7.56708576735168	3.81689911460599e-14	6.4685837495031e-12
"YKL060C"	125955.796345144	-0.747290349155428	0.0996836898449934	-7.49661604940038	6.54864391110198e-14	1.07981828382792e-11
"YOL086C"	94541.2771016531	-0.774741382913478	0.103533686446664	-7.48298847943164	7.26512525694047e-14	1.16643497875247e-11
"YJL133C-A"	564.477579128795	-2.59963348163767	0.347589548414458	-7.47903236301549	7.48718360421248e-14	1.17126428639232e-11
"YDR461W"	1385.74584521144	6.8306376639389	0.923346566781411	7.39769649845458	1.38567102543187e-13	2.11349473153997e-11
"YGR254W"	17025.1069868611	-0.889469299835062	0.122426416590938	-7.26533802591833	3.72106570164637e-13	5.53712727944988e-11
"YGL184C"	208.194277891189	-1.48961921063247	0.205697726266119	-7.24178744059274	4.42809480721673e-13	6.43233486162601e-11
"YFL027C"	334.140432413035	1.06446133986113	0.147588147525219	7.21237685891575	5.49835474231094e-13	7.80127029833466e-11
"YKR042W"	30050.3315604329	-0.578189069837391	0.0811779231728025	-7.12249152527106	1.05993273061016e-12	1.46969308851195e-10
"YOR028C"	313.902355050021	2.463018709286	0.347703443025222	7.08367650275851	1.40379395955371e-12	1.90323265494159e-10
"YCL030C"	1818.98301381182	-1.2940454007233	0.183347887385199	-7.05786916434231	1.69075133148195e-12	2.24245084203725e-10
"YJL163C"	112.612034254481	1.5661706899334	0.222592828156516	7.03603392303435	1.97788803449036e-12	2.56746699966504e-10
