""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YGL089C"	2503.92840083684	5.83346657321272	0.151969085758684	38.3858766017441	0	0
"YIL015W"	2153.7166828951	-5.31735525730058	0.122557788162508	-43.3865145334535	0	0
"YNL145W"	2922.89575931543	-8.62095380122214	0.243354303330204	-35.4255243620019	6.91016295346191e-275	1.43961728197123e-271
"YFL026W"	4277.69557552494	-6.22425941708957	0.1915211225737	-32.4990754724424	1.09884061383077e-231	1.71693845911058e-228
"YPL187W"	10546.1408804457	11.9335813483068	0.367450792317634	32.4766787765995	2.2763307471368e-231	2.84541343392099e-228
"YDR461W"	1611.15693823272	-7.47981012796053	0.231312212207297	-32.3364255461673	2.15294785545631e-229	2.24265401610033e-226
"YJR004C"	5054.24786975427	4.17721043899137	0.132142365445432	31.6114398657131	2.57091410626573e-219	2.29545902345155e-216
"YKL178C"	1473.36035249495	4.52907171294906	0.145630586659318	31.0997285449668	2.4289528179369e-212	1.8976193890132e-209
"YKL209C"	1383.19682522248	-4.33365450372066	0.152137923445641	-28.4850378233872	1.79509450985316e-178	1.24659340962025e-175
"YGL032C"	905.296241331017	-7.34962459532271	0.27762638297374	-26.4730769338226	1.97953448210098e-154	1.23720905131311e-151
"YLR040C"	1908.86329525543	3.33204345464847	0.167614181679264	19.8792454270037	6.15525729117918e-88	3.49730527907908e-85
"YDR028C"	847.918496633012	9.58167902444691	0.557007652407822	17.2020599412368	2.56257144050275e-66	1.33467262526185e-63
"YER175C"	492.55054276688	-1.98539504854905	0.119763714525556	-16.5776007901408	1.01188673509178e-61	4.86484007255664e-59
"YDR019C"	1033.06550761975	-1.96694159219376	0.123370240233199	-15.9434040857485	3.16625895147775e-57	1.41350846048114e-54
"YOR153W"	12223.7288459465	-2.46258371339126	0.155354721776037	-15.8513605845941	1.37569810600798e-56	5.73207544169993e-54
"YOR383C"	2223.70545045731	-3.20489468191351	0.204196459455294	-15.6951530426274	1.63248474140084e-55	6.37689352109703e-53
"YGR234W"	5558.99575278077	1.99619327713668	0.128452915566754	15.5402722338311	1.85195064093108e-54	6.80864206224663e-52
"YJL088W"	615.475993669959	-3.33351439139371	0.215487042042008	-15.469674463042	5.55874389603235e-54	1.93011940834457e-51
"YJL170C"	190.658626063449	-3.45856896311385	0.240065529615086	-14.4067703874822	4.69140427705322e-47	1.54322509113593e-44
"YBR039W"	2922.81758532251	1.20192084161441	0.0844096844479276	14.2391344011702	5.23717292105064e-46	1.63661653782832e-43
"YKL177W"	108.410335807306	4.91742783411708	0.37300478796124	13.1832834130485	1.09518534512192e-39	3.25948019381523e-37
"YLR041W"	200.4826209292	2.80254609846617	0.220151794302899	12.7300624886584	4.0251691679822e-37	1.14351396817676e-34
"YJR121W"	8386.02575714627	1.12264677514604	0.0901241719800683	12.4566667352497	1.28635666921489e-35	3.49553442721437e-33
"YHL047C"	966.801729680707	-1.58629533412883	0.128969639939598	-12.2997577947164	9.08461364625933e-35	2.36578480371337e-32
"YLR346C"	141.649833499341	-3.70737544958396	0.307501550601758	-12.0564447311856	1.79359593560246e-33	4.48398983900615e-31
"YLL024C"	23838.4978526808	-1.52259437804954	0.127070843376616	-11.9822481506386	4.40221305609212e-33	1.05822429232984e-30
"YAL044C"	1720.7600303631	-1.56740244101671	0.133853981310084	-11.7097932065666	1.13556240274203e-31	2.62861667301395e-29
"YBL005W"	868.468051252152	-1.255179750705	0.107698811780643	-11.6545366652837	2.17560581000657e-31	4.85626296876466e-29
"YDR011W"	2575.64788914719	-1.32889744227129	0.115308018725066	-11.5247617378618	9.89856497093396e-31	2.13331141614956e-28
"YOL077W-A"	723.257981513046	1.23754715667848	0.107429609385123	11.5196095728322	1.05086071738326e-30	2.18929316121512e-28
"YMR189W"	1199.39528129733	-2.4055567655335	0.210259028239992	-11.4409202100362	2.61101322382834e-30	5.26413956417003e-28
"YOL058W"	3967.581401946	-1.86009599357671	0.165824023354276	-11.2172890028286	3.35394902360364e-29	6.55068168672585e-27
"YDL047W"	911.416224725029	-13.2247852879719	1.18361897802256	-11.1731777992156	5.51710552784063e-29	1.04490634996982e-26
"YOR107W"	1329.35164008214	3.40573884424304	0.309765572896978	10.9945686100364	4.05849520323323e-28	7.46046912359049e-26
"YJL191W"	3552.03701073652	1.21975536942472	0.112806792105663	10.812783048402	2.99445116569539e-27	5.34723422445605e-25
"YPL221W"	2270.44640301049	0.868940773679293	0.0811706109660156	10.7051155995746	9.6310382555975e-27	1.6720552527079e-24
"YOL136C"	1618.89006902864	1.25282094984459	0.118399825482411	10.5812736187749	3.63976542386165e-26	6.14825240517171e-24
"YDR377W"	1155.30984380804	1.04504380988355	0.099683559534741	10.4836124909779	1.02742613696911e-25	1.68984562001499e-23
"YKR093W"	568.913229588976	1.40400097494474	0.138509634664491	10.136486016627	3.80542907453874e-24	6.09844402970953e-22
"YHR018C"	2545.82318256607	-1.50869955809158	0.149978459298256	-10.0594416368239	8.34704047266653e-24	1.30422507385414e-21
"YBL045C"	2780.04669153383	1.18961063309322	0.118849617236515	10.009377066195	1.3862262549371e-23	2.11314977886752e-21
"YLL052C"	196.428988530993	2.81440323369675	0.282000977835605	9.98011870489838	1.86243836214183e-23	2.77148565794916e-21
"YIL116W"	1289.0606964377	-0.933088415437595	0.0960208669539526	-9.71755874569496	2.53793117312702e-22	3.68885344931253e-20
"YLR023C"	1329.23429043924	0.832342701097573	0.0874895665365377	9.51362241290757	1.84136344594519e-21	2.6155730766267e-19
"YML081C-A"	1284.34086918916	0.985747917592368	0.104684898039766	9.41633355002097	4.67114641533578e-21	6.48770335463302e-19
"YNL217W"	1110.61924250703	0.837752380670951	0.0897523891120709	9.33403989530437	1.01910667923952e-20	1.38465581418413e-18
"YJL159W"	37322.4061371256	1.29772833375831	0.139201081675827	9.32268857493849	1.13428904931921e-20	1.50836309749895e-18
"YNL007C"	2367.76335735724	-2.28995419728775	0.245871880639099	-9.31360752329803	1.23562627986024e-20	1.60888838523469e-18
"YLR216C"	2268.06331869402	-1.46457088998059	0.158381311310875	-9.24711935934089	2.30624171033808e-20	2.94163483461489e-18
"YMR096W"	504.348756108457	-1.43414609852473	0.156186525855879	-9.18226518366953	4.22116803935174e-20	5.27646004918968e-18
"YFR033C"	1190.17031500406	0.848586315841784	0.0928875298345204	9.13563227866588	6.5025672162069e-20	7.96883237280258e-18
"YJR048W"	543.134560923441	1.55715987208961	0.170584581406558	9.12837408428142	6.95357355571941e-20	8.35766052370122e-18
"YLL053C"	218.691737059314	3.0482224164832	0.335867814631368	9.0756609704588	1.12989604442549e-19	1.33242458069043e-17
"YGR035C"	591.128497255171	-1.50060007177891	0.167126622975488	-8.97882123782873	2.73683021508319e-19	3.16762756375369e-17
"YCR097W"	155.104458034642	-10.6710771300199	1.19189403538614	-8.95304180842116	3.45818819230694e-19	3.9297593094397e-17
"YGR161C"	589.839176470087	-1.89941786366506	0.212548525970606	-8.93639631228366	4.02068052389812e-19	4.4873666561363e-17
"YJL034W"	6101.55020493721	-0.995617796176554	0.111551723219502	-8.92516733441636	4.45025920415322e-19	4.87967017999256e-17
"YMR145C"	2316.04968640817	1.13879201517512	0.128217916957097	8.88169174949378	6.58511038054566e-19	7.0960241169673e-17
"YKL163W"	277.781847840136	1.88391076593054	0.212713987148147	8.85654390286271	8.25333910200303e-19	8.74294396398626e-17
"YKL161C"	745.433011646623	2.33697931841094	0.264064766965915	8.85002321688977	8.7501091236776e-19	9.11469700383084e-17
"YCL054W-A"	93.2292700478205	-7.48772054494394	0.853586127965792	-8.77207384190762	1.75405307292779e-18	1.79718552554077e-16
"YBR068C"	3708.94995461231	0.701892634936531	0.0803071885525599	8.74009721405142	2.32909921256311e-18	2.34788227072894e-16
