""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YML123C"	1167.2374335636	-2.21388440652777	0.155075359325667	-14.2761842768231	3.08010501413151e-46	2.04426569787908e-42
"YDR477W"	534.416414582142	-12.6141040589451	1.18688662565011	-10.6278929986559	2.21050035777244e-26	7.33554543726785e-23
"YHR092C"	538.802852179136	-2.68386862950181	0.301416176623668	-8.9041957189071	5.37745013300848e-19	1.18967121775924e-15
"YJR121W"	14851.4481296527	-0.914622910569208	0.111313802835802	-8.21661723226146	2.09323835627356e-16	3.47320574264691e-13
"YBR039W"	5081.18193541583	-0.835673914670356	0.103172947612345	-8.09973868159956	5.50773665677339e-16	7.310969638201e-13
"YBL015W"	1226.97478389637	-1.04925565807165	0.142702791111339	-7.35273395776129	1.94193215865311e-13	2.14810062283012e-10
"YDR298C"	2598.25755314052	-0.837626184174781	0.115624981686942	-7.24433571321701	4.3456380497269e-13	4.12028567657677e-10
"YIR042C"	99.2760556978799	1.83049194173925	0.258326645338624	7.08595870681391	1.38084983576007e-12	1.14558754499245e-09
"YNL055C"	10024.736126697	-0.97684754487816	0.139974617390659	-6.97874774075536	2.97822674011007e-12	2.19627676379006e-09
"YJR077C"	5828.32366149849	-0.721346872520969	0.104377628161731	-6.9109337434192	4.81473909715384e-12	3.195542338781e-09
"YNL054W-B"	641.787078792179	-1.37454658607903	0.202061294554059	-6.80262189308741	1.02732027115041e-11	6.19847694511389e-09
"YPL078C"	3214.70893924491	-0.730031922030727	0.110156319308946	-6.62723597348298	3.42030642212999e-11	1.89171447697306e-08
"YOL109W"	6534.7419126717	0.975000675924342	0.147957393244336	6.5897394820564	4.40599004892374e-11	2.2494273811313e-08
"YBL099W"	6765.96388464454	-0.866701526593377	0.133517801450907	-6.49128069197614	8.5109737156989e-11	4.03480946793526e-08
"YDL004W"	2220.25527113849	-0.826083166700196	0.129512347439354	-6.37841242964898	1.7893310955736e-10	7.91719365421466e-08
"YGR254W"	15765.0495743974	-0.954011900157271	0.150359059666118	-6.34489137053474	2.22582446985925e-10	9.23299812903489e-08
"YKL016C"	2535.64176682376	-0.904248228585871	0.143264232676799	-6.31175145177956	2.75895074099335e-10	1.07712682752782e-07
"YLL041C"	1534.69442865367	-1.38295857487556	0.219867833395255	-6.28995407613548	3.17559901529711e-10	1.17091392580705e-07
"YBL045C"	4778.49810106251	-0.815201786446793	0.130229948770434	-6.25971056691276	3.85692631252344e-10	1.34728525980095e-07
"YDR377W"	1842.2460031965	-0.715778888207091	0.115169795652058	-6.21498791549086	5.13286000266821e-10	1.70020862734225e-07
"YFL061W"	17.7918955099962	-7.70411736245122	1.24107596796441	-6.20761142856339	5.37959638001916e-10	1.70020862734225e-07
"YBL100C"	597.139723033326	-0.838139485050293	0.135694468080106	-6.17666657240226	6.54691321663054e-10	1.97508468267168e-07
"RDN5-1"	149.725193089703	-4.76750237972385	0.790261465053965	-6.03281646714014	1.61126380129991e-09	4.64954689096848e-07
"YBR092C"	4795.58801147996	0.611267979089286	0.101964834691838	5.99489011026874	2.03623088266922e-09	5.63102682011485e-07
"YDL181W"	658.803569154513	-1.28223871070744	0.21524078486795	-5.95722930249528	2.5655016372544e-09	6.81089374658299e-07
"YDL066W"	2094.84931019206	-0.751762371497485	0.12663730099078	-5.93634233844117	2.91450916589596e-09	7.43984512848133e-07
"YPR020W"	705.86993850029	-0.737022521155832	0.124565163587986	-5.91676276036228	3.28339751320455e-09	8.071077516718e-07
"YIL125W"	1586.92981425031	-0.8571114241235	0.14938429245338	-5.73762749782403	9.60119970978762e-09	2.2758272312093e-06
"YLR194C"	1489.30056431276	1.3896201155294	0.244584457701198	5.68155527374949	1.33475362991776e-08	3.05474477302212e-06
"YPR191W"	2987.00221581067	-0.88656020733339	0.162848446095602	-5.44408146708949	5.20733853794463e-08	1.15203686254462e-05
"YNL057W"	98.5587844271668	1.21365985202405	0.223202231114987	5.43748978655509	5.40364467865315e-08	1.15690289458777e-05
"YMR122W-A"	11099.0557844007	0.914495870625162	0.169714915694002	5.38842368029695	7.10783341981434e-08	1.47420907522837e-05
"YIL117C"	1386.6775426516	1.42532360555865	0.265839736146389	5.36158975411327	8.24927169963403e-08	1.61030636089621e-05
"YNL046W"	654.069938937684	0.707025926987901	0.13178541417112	5.36497860127258	8.0958816710254e-08	1.61030636089621e-05
"YHR051W"	1267.3406274194	-0.722579328885892	0.13629619078167	-5.30153722376129	1.14831627603673e-07	2.17753574973021e-05
"YDR529C"	2102.01722553059	-0.845461909880009	0.16415634288583	-5.15034567057834	2.60006804854922e-07	4.79351434395033e-05
"YLR395C"	1311.43768840416	-0.772453761895993	0.150232016291432	-5.14173863178088	2.72207626300796e-07	4.88281625880644e-05
"YMR272C"	2129.83619863196	-0.684991545887525	0.134777840275673	-5.08237514777246	3.72744312370007e-07	6.51027368736772e-05
"YPR010C-A"	480.881240172803	-1.27721044694666	0.252069512304374	-5.0668977587596	4.04351320239011e-07	6.88123003186235e-05
"YDR178W"	1012.62603311604	-0.751424368647677	0.149019606737127	-5.04245303756035	4.5960157459292e-07	7.45737165185715e-05
"YHR136C"	34.2809576412385	-2.85269963541999	0.565786711910698	-5.04200536238513	4.60678375359565e-07	7.45737165185715e-05
"YGR183C"	816.449015771643	-0.889056097279065	0.177187897123535	-5.01758930328757	5.23238816795753e-07	8.26841911207956e-05
"YJL107C"	219.210767425535	0.9858832551752	0.196932095886446	5.00620912369548	5.55124455124335e-07	8.56828141548887e-05
"YGL187C"	1530.78586129588	-0.75161561153655	0.150325229539037	-4.99992991090939	5.73511585917459e-07	8.65090089939585e-05
"YDR148C"	1962.74709196375	-0.869357344796264	0.174691147299273	-4.97653921355798	6.47311675604552e-07	9.33958171953785e-05
"YER125W"	1671.01096090215	-0.630215713657945	0.126557597305373	-4.97967508135671	6.36911117077222e-07	9.33958171953785e-05
"YJR078W"	166.127573806108	-0.924402837855847	0.186229063768661	-4.96379468998549	6.91290202958814e-07	9.76190016390989e-05
"YJL166W"	1023.52496083842	-0.590537293806934	0.119881010882501	-4.92602864673655	8.39177000592071e-07	0.000116033703186033
"YBL030C"	7939.09877713177	-0.8884018311414	0.181129521759267	-4.90478759349978	9.35284933447519e-07	0.000126683389863085
"YKR091W"	709.913807131076	1.97497663586286	0.404236045757325	4.88570145238483	1.03061266186719e-06	0.00013680352473625
"YKL096W"	5962.31562641997	1.52045809096201	0.313259532798323	4.85366902446633	1.21197949018649e-06	0.000157723683850347
"YHR001W-A"	656.7355923529	-1.05316438569423	0.217986991898397	-4.83131757781722	1.35632457090651e-06	0.000173113964944356
"YMR291W"	437.377483782608	-0.649453145135695	0.134661068491993	-4.82287235953659	1.41505529246012e-06	0.000177202301435054
"YLR042C"	465.624233578848	0.841912472985152	0.17719686269895	4.75128317827797	2.02129823612094e-06	0.000248432525798791
"YNL058C"	649.938743960228	1.14559710383697	0.241624472653674	4.74122960830618	2.12425022781083e-06	0.000256339068399645
"YKL085W"	3852.60783313356	-0.958151557283057	0.20236791171082	-4.73470101649434	2.19378249466221e-06	0.000257948885108952
"YLL058W"	309.85309781429	-0.738016484046114	0.155939215750832	-4.73271896676301	2.21532114678473e-06	0.000257948885108952
"YHR215W"	168.707080466283	-1.80515740429219	0.383851912700681	-4.70274432551755	2.56687771151786e-06	0.000293730471919725
"YKL141W"	1895.26282882942	-0.829866211476065	0.177819854073803	-4.66689288324145	3.05788641268324e-06	0.000343986307135232
"YOR153W"	2646.49720849061	0.798012653192363	0.171261006357429	4.65962842427119	3.16780705623548e-06	0.000350412257203915
