""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YPL187W"	15171.9511678728	10.1855837868089	0.398092705767845	25.5859593487474	2.186361263696e-144	1.44584070368216e-140
"YNL145W"	1303.84229090697	-8.50931195944836	0.337470851341989	-25.2149539007893	2.74606129904041e-140	9.0798516852771e-137
"YDR461W"	947.455667770349	-7.75930196415426	0.356382651157345	-21.7723897023497	4.2394161857901e-105	9.34508641220998e-102
"YGL089C"	3564.55866160615	5.48663323600997	0.258163343067374	21.2525650265464	3.1213898647591e-100	5.16043779391299e-97
"YIL015W"	895.989144617149	-5.02143894012694	0.240661315358302	-20.8651686817672	1.11002261120125e-96	1.46811590557477e-93
"YJR004C"	6993.30167092835	4.45485757930726	0.21656597931076	20.5704404426089	5.05052807608206e-94	5.56652369452178e-91
"YFL026W"	1906.31869464374	-6.07577368580819	0.322304299045692	-18.8510476087284	2.88080574556218e-79	2.72153834220038e-76
"YLR040C"	2542.92531289133	4.17025324471762	0.227549435754403	18.3268010790351	5.05790169693928e-75	4.18098799023243e-72
"YKL178C"	2057.35124011042	4.75863563788668	0.272747676986619	17.4470253622733	3.62632665643465e-68	2.66454424211137e-65
"YGL032C"	275.101454986273	-6.65655321059209	0.391194160861664	-17.0159830502839	6.25150753602853e-65	4.13412193357567e-62
"YKL209C"	647.240457592027	-4.14294286077806	0.287727204341487	-14.398856966827	5.26063500114035e-47	3.16259811477647e-44
"YCR005C"	2841.2998455006	2.55304517619712	0.285363639672072	8.94663797788313	3.66473764106334e-19	2.01957583502932e-16
"YLR041W"	260.302666425365	3.4090966601846	0.38757646274898	8.79593315859471	1.418640245953e-18	7.21651380499014e-16
"YCR097W"	62.312046144579	-10.4149198316817	1.27540775401256	-8.16595304436195	3.18907314036395e-16	1.50638147694477e-13
"YNR044W"	3801.40423551403	1.81270697977951	0.235643293970543	7.69258886699364	1.44187264499417e-14	6.35673586756431e-12
"YEL071W"	4162.34989559761	1.75059081839761	0.24147946836496	7.24943959107884	4.18499560309513e-13	1.72971099520426e-10
"YOR028C"	272.667610976381	-2.70828205888779	0.37999620333694	-7.12712925841097	1.02483843849399e-12	3.98662152574164e-10
"YJL170C"	86.2886000996484	-3.05255380425235	0.43005214313185	-7.09810159768573	1.26482193860023e-12	4.6468152666463e-10
"YEL011W"	293.36080624197	-2.60660962793302	0.369382912310108	-7.05666001611004	1.70552220386931e-12	5.93611491273041e-10
"YGL009C"	1731.01934314521	-1.47649334076565	0.211130759543955	-6.99326495085272	2.68561634319709e-12	8.87999043878117e-10
"YKL177W"	151.822512562145	6.03874406753167	0.895806283240587	6.74112716165202	1.57162580367969e-11	4.94912449511133e-09
"YFR015C"	182.682530283531	-2.71183616514371	0.431482460571116	-6.2849279239631	3.28005833248978e-10	9.85955716034314e-08
"YGR052W"	267.099647171912	-2.58103602850952	0.417948718948382	-6.17548496141768	6.59606851040973e-10	1.88725288687796e-07
"YLR327C"	272.171221592294	-2.77925632542577	0.4504809087096	-6.16953187513968	6.84924682974006e-10	1.88725288687796e-07
"YDL023C"	219.95782540245	-2.11390398921308	0.365685863174055	-5.78065548081341	7.44101323938666e-09	1.96829682208256e-06
"YMR120C"	1644.08815110358	1.66321053468657	0.297363909026165	5.59318223967869	2.2294506332731e-08	5.67052193762886e-06
"YAL061W"	405.502416096044	-2.42871192377916	0.437042900972927	-5.55714763555811	2.74218812056944e-08	6.71632964493545e-06
"YJR048W"	1021.70566730243	-1.17630927121796	0.216025164704929	-5.44524186719032	5.17350388461408e-08	1.22187075674832e-05
"YIL101C"	205.900928379734	-1.7044506038065	0.328398638423058	-5.19018779125007	2.10082096163076e-07	4.79059621353939e-05
"YDL022W"	3046.04110838196	-1.92170123083616	0.378707194340426	-5.07437212589288	3.88777570022082e-07	8.56995356852008e-05
"YLR177W"	274.732887436373	-1.4074608492827	0.278672364853189	-5.05059355284182	4.40439336840839e-07	9.39556559525312e-05
"YDR074W"	2456.34082542884	-2.00208040154198	0.402456139927644	-4.97465488264616	6.5363985469545e-07	0.000135078761221907
