""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YPL187W"	12483.1829092223	10.1839243001973	0.263145787324194	38.7006928887323	0	0
"YJR004C"	5833.8774362346	4.49631736887648	0.128527270988755	34.9833722780114	4.02754612166776e-268	1.17604346752699e-264
"YNL145W"	2080.95070191956	-8.47055555721559	0.25686166929285	-32.9771101329963	1.72950161835989e-238	3.36676315040725e-235
"YIL015W"	1368.84779300527	-4.97460831973757	0.151072559784751	-32.9286028304904	8.56562230248703e-238	1.25058085616311e-234
"YGL089C"	2950.05485228679	5.62629505896631	0.171454761168009	32.8150412425881	3.59308521454751e-236	4.19672353059149e-233
"YDR461W"	1502.24616368765	-7.7182682311416	0.25094729599697	-30.7565307706475	1.00007367929116e-207	9.73405047843397e-205
"YLR040C"	2121.52063338866	4.33596219001314	0.141493759882952	30.6441937340556	3.15796466028559e-206	2.63464480229541e-203
"YFL026W"	3249.37766847976	-6.15943305770617	0.21759360898207	-28.3070494878998	2.8300791169833e-176	2.06595775539781e-173
"YKL178C"	1710.42661965011	4.8458560752012	0.184544488375684	26.2584708860896	5.7205354864481e-152	3.71199191565077e-149
"YKL209C"	1033.17996569964	-4.21244660046508	0.177942312186843	-23.6731025279807	6.82609345044773e-124	3.98643857506148e-121
"YGL032C"	427.907653552564	-6.59696331176591	0.296647589559057	-22.2383850196516	1.46121437775757e-109	7.75771996918566e-107
"YGL009C"	2186.57255162595	-1.55575532892086	0.116223994388578	-13.3858360066289	7.31694120621887e-41	3.56091138702652e-38
"YLR041W"	220.236238692956	3.44758335187962	0.267503847975146	12.8879766701522	5.26059207559059e-38	2.36321982472685e-35
"YCR005C"	2474.35859407988	2.48756383594157	0.195081631164785	12.7513996119928	3.06197979191389e-37	1.27728299891265e-34
"YNR044W"	3434.16317702331	1.71984371904633	0.147266513138262	11.6784439476179	1.64275205259617e-31	6.39578132477444e-29
"YKL177W"	128.6874415509	4.22173592297786	0.376526417375917	11.2123233009783	3.54757351445121e-29	1.29486433277469e-26
"YEL071W"	3781.15292016285	1.64182086405081	0.152763176842874	10.7474909725105	6.08955611537286e-27	2.09194163022221e-24
"YJL170C"	117.885480566033	-2.97836716454188	0.288303043989529	-10.3306823380264	5.1195102298489e-25	1.66099665235098e-22
"YJR048W"	1167.54526876175	-1.10653218370355	0.120729745182716	-9.16536502275302	4.93795689275891e-20	1.51777201335327e-17
"YFR015C"	236.550067426114	-2.58794411554917	0.286848450103891	-9.02199093148968	1.84701515440447e-19	5.39328425086105e-17
"YCR097W"	90.5926498168729	-10.2360466192998	1.20233970310098	-8.51343974826732	1.68848247688837e-17	4.69558936429908e-15
"YEL011W"	331.602216450754	-2.24600801600617	0.268546914768543	-8.3635591864534	6.0853977500651e-17	1.61539649365365e-14
"YMR120C"	1480.15523709605	1.67008521366039	0.202209358170665	8.25918853988367	1.46666106047427e-16	3.72404373616076e-14
