	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YOR153W	15945.1889231123	-1.91550864289039	0.115052054781895	-16.649060692759	3.0738904049365797e-62	1.87261403468737e-58	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YMR102C	1154.49193252003	-1.17827898425698	0.0997409311132967	-11.8133946726301	3.3284583038505503e-32	1.01384839935288e-28	YMR102C	Protein of unknown function; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; mutant shows increased resistance to azoles; not an essential gene; YMR102C has a paralog, DGR2, that arose from the whole genome duplication
YLR303W	1723.21153884159	-13.9679157218122	1.1967729799389	-11.6713160774447	1.78638107810865e-31	3.6275445092793096e-28	MET17	O-acetyl homoserine-O-acetyl serine sulfhydrylase; required for Methionine and cysteine biosynthesis
YGL009C	3890.43021949741	2.03089872427107	0.174408367063626	11.6445028324253	2.4474472741595103e-31	3.72746219854494e-28	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YBR115C	633.153944965387	12.9854890288316	1.18611872711238	10.9478829833881	6.80187402747601e-28	8.287403315076771e-25	LYS2	Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p
YBR047W	122.944516543917	-2.45901384975741	0.245060117695252	-10.0343290164226	1.0768906633094601e-23	1.0934029868135301e-20	FMP23	Putative protein of unknown function; proposed to be involved in iron or copper homeostasis; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YER175C	680.563637290627	-1.72260611851741	0.178192533260844	-9.66710606215918	4.15974392441147e-22	3.6201657125021e-19	TMT1	Trans-aconitate methyltransferase; cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate, an intermediate of the leucine biosynthetic pathway, and trans-aconitate, which inhibits the citric acid cycle
YMR096W	735.258487822976	-2.09191519439631	0.237638975839178	-8.80291285134984	1.33310078988692e-18	1.0151562514988901e-15	SNZ1	Protein involved in vitamin B6 biosynthesis; member of a stationary phase-induced gene family; coregulated with SNO1; interacts with Sno1p and with Yhr198p, perhaps as a multiprotein complex containing other Snz and Sno proteins
YBL005W	968.121482641868	-0.913157165913153	0.10551937356338	-8.65392899024997	4.9756173614261e-18	3.36794010731198e-15	PDR3	Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); has a role in response to drugs and organic solvents; post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate
YGL117W	425.237644612424	-1.99828870282487	0.231746157769498	-8.62274793272917	6.53662361903206e-18	3.951404834683631e-15	YGL117W	Putative protein of unknown function
