	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YMR303C	6245.31254324469	4.83895469888405	0.100920665906101	47.9481051322661	0.0	0.0	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YPL134C	1262.10044539903	3.35327304182766	0.113154142291377	29.6345584343951	5.36302477298638e-193	1.73654742149299e-189	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YDL215C	3215.30308877319	3.02931329608635	0.106142740094028	28.5399952309767	3.73873007596369e-179	8.07067199064695e-176	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YNL117W	896.35126337048	5.27934895243712	0.205975924543848	25.6309030491243	6.90424437250226e-145	1.11779716390812e-141	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YJR095W	2073.94155704091	7.71530890537725	0.301161836388208	25.6184814049013	9.496472811372121e-145	1.22998315852892e-141	SFC1	Mitochondrial succinate-fumarate transporter; transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YLR174W	1772.83003957079	5.51845536889317	0.227005307721916	24.3098076616487	1.54393066383038e-130	1.66641582982759e-127	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YLR377C	1821.12311580725	5.70395891374271	0.23942144713148	23.8239263110391	1.88733971214995e-125	1.7460588536975798e-122	FBP1	Fructose-1,6-bisphosphatase; key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; glucose starvation results in redistribution to the periplasm; interacts with Vid30p
YKL217W	1704.03673049277	5.04262962973088	0.214518959956302	23.5066850536571	3.4847015674189097e-122	2.82086591882561e-119	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YBR039W	4250.72454121542	1.92825131955129	0.0829638866269058	23.2420562481935	1.7116182791443498e-119	1.2316044417487599e-116	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YKL016C	2814.89500728951	1.9337766788398	0.0835950732305359	23.1326632552482	2.17295779685366e-118	1.40720746924243e-115	ATP7	Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YIL162W	5946.94703194413	3.73080714940245	0.166233835564603	22.4431273978068	1.49363128753333e-111	8.7934147436962e-109	SUC2	Invertase; sucrose hydrolyzing enzyme; a secreted, glycosylated form is regulated by glucose repression, and an intracellular, nonglycosylated enzyme is produced constitutively
YJR121W	14007.0773941991	1.75669237660885	0.0824196846059162	21.3139905231178	8.42037252002475e-101	4.5441943699733605e-98	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YBL045C	5068.33735457881	2.35525804565188	0.111037770158425	21.2113233388195	7.50713195863099e-100	3.73970665877648e-97	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YLR038C	1251.18636330667	2.10056208402566	0.0994881139452575	21.1136989206718	5.95266462423001e-99	2.75353257903668e-96	COX12	Subunit VIb of cytochrome c oxidase; cytochrome c oxidase is also known as respiratory Complex IV and is the terminal member of the mitochondrial inner membrane electron transport chain; required for assembly of cytochrome c oxidase but not required for activity after assembly; phosphorylated; easily released from the intermembrane space, suggesting a loose association with Complex IV
YDR028C	655.866312374679	-8.24348867989925	0.415057277588586	-19.8610869511614	8.83770986600657e-88	3.8155339394839e-85	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YBL043W	389.762766355881	3.76041294765874	0.190659750810693	19.7231609276175	1.36429821895436e-86	5.52199704121776e-84	ECM13	Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; ECM13 has a paralog, YJR115W, that arose from the whole genome duplication
YPR010C-A	768.111737019309	2.91348508159583	0.148078403407381	19.6752869733509	3.51183185633486e-86	1.3378013589190899e-83	YPR010C-A	Putative protein of unknown function; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the cytosol; conserved among Saccharomyces sensu stricto species
YDR377W	1549.35539275719	1.89777185904271	0.097301303661949	19.5040743301454	1.01375741708967e-84	3.6472739072625896e-82	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YER065C	2704.14104883328	3.35395679473183	0.172786368657462	19.4110034303738	6.22985241868811e-84	2.1233960138644298e-81	ICL1	Isocitrate lyase; catalyzes the formation of succinate and glyoxylate from isocitrate, a key reaction of the glyoxylate cycle; expression of ICL1 is induced by growth on ethanol and repressed by growth on glucose
YPL078C	3213.13276508211	1.61204020116406	0.086320197008335	18.6751218953822	7.89095926857201e-78	2.55509261116362e-75	ATP4	Subunit b of the stator stalk of mitochondrial F1F0 ATP synthase; ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; contributes to the oligomerization of the complex, which in turn determines the shape of inner membrane cristae; phosphorylated
YLR452C	906.529642723838	-1.97436174893106	0.106676272396235	-18.5079746843566	1.78071013219396e-76	5.49137086480387e-74	SST2	GTPase-activating protein for Gpa1p; regulates desensitization to alpha factor pheromone; also required to prevent receptor-independent signaling of the mating pathway; member of the RGS (regulator of G-protein signaling) family
YDL004W	2499.79579859593	1.7275242445787	0.0935987697577624	18.4566981921836	4.60655347162434e-76	1.3560018310108701e-73	ATP16	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YJL166W	1057.18798185088	1.93996793381086	0.105535071935092	18.3822107498444	1.82382032820854e-75	5.1352436719471804e-73	QCR8	Subunit 8 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the intermembrane space; expression is regulated by Abf1p and Cpf1p
YGL187C	1775.88563201384	2.22345479964902	0.123899799189814	17.9455884044064	5.195734595130299e-72	1.40198238491933e-69	COX4	Subunit IV of cytochrome c oxidase; the terminal member of the mitochondrial inner membrane electron transport chain; precursor N-terminal 25 residues are cleaved during mitochondrial import; phosphorylated; spermidine enhances translation
YKR097W	3400.34349036646	6.21366174149728	0.35239257185781	17.6327829747912	1.38003885582687e-69	3.5748526521339204e-67	PCK1	Phosphoenolpyruvate carboxykinase; key enzyme in gluconeogenesis, catalyzes early reaction in carbohydrate biosynthesis, glucose represses transcription and accelerates mRNA degradation, regulated by Mcm1p and Cat8p, located in the cytosol
YNL052W	1831.4128709699	1.92863474087959	0.111501056945429	17.2970085998692	4.9545588632189404e-67	1.23406627685407e-64	COX5A	Subunit Va of cytochrome c oxidase; cytochrome c oxidase is the terminal member of the mitochondrial inner membrane electron transport chain; Cox5Ap is predominantly expressed during aerobic growth while its isoform Vb (Cox5Bp) is expressed during anaerobic growth; COX5A has a paralog, COX5B, that arose from the whole genome duplication
YNR044W	1340.22674737371	-2.54205816355189	0.150872296787577	-16.8490718155568	1.06574217105413e-63	2.55620233323947e-61	AGA1	Anchorage subunit of a-agglutinin of a-cells; highly O-glycosylated protein with N-terminal secretion signal and C-terminal signal for addition of GPI anchor to cell wall, linked to adhesion subunit Aga2p via two disulfide bonds; AGA1 has a paralog, FIG2, that arose from the whole genome duplication
YLR395C	1542.58052894632	1.60204429505225	0.0952684952001331	16.8160974064594	1.8601578232614e-63	4.30227930837173e-61	COX8	Subunit VIII of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain
YDR298C	2755.37311016996	1.74513198867272	0.103853001797284	16.8038666044447	2.2864112026407e-63	5.1057927407935205e-61	ATP5	Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated
YPR020W	779.386916672509	2.0418782933011	0.121870848783011	16.7544438533995	5.25500189352247e-63	1.13437974208172e-60	ATP20	Subunit g of the mitochondrial F1F0 ATP synthase; reversibly phosphorylated on two residues; unphosphorylated form is required for dimerization of the ATP synthase complex, which in turn determines oligomerization of the complex and the shape of inner membrane cristae
YDR322C-A	1087.12192339073	1.78814044675293	0.1090382674226	16.3992008404042	1.93770267169834e-60	4.04792338771563e-58	TIM11	Subunit e of mitochondrial F1F0-ATPase; ATPase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; essential for the dimeric and oligomeric state of ATP synthase, which in turn determines the shape of inner membrane cristae
YLR295C	1172.57993792256	1.51998896565651	0.0931843514809464	16.3116332463537	8.158190191937411e-60	1.65101374009333e-57	ATP14	Subunit h of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; protein abundance increases in response to DNA replication stress
YGR067C	300.433879551469	2.89908066445781	0.177902728648225	16.2958752037485	1.05581386366515e-59	2.0719547215441e-57	YGR067C	Putative protein of unknown function; contains a zinc finger motif similar to that of Adr1p
YBR297W	489.6334374399	2.72194266809034	0.170325970610527	15.9807847172903	1.73942356428878e-57	3.31309029480417e-55	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YJR048W	1220.01662895062	2.89184797558189	0.185707691451034	15.5720420246805	1.1274944843502501e-54	2.0861869373292e-52	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YHR001W-A	949.88815547381	2.64287881737091	0.170792761725032	15.4741851509247	5.18253316528384e-54	9.32280132732726e-52	QCR10	Subunit of the ubiqunol-cytochrome c oxidoreductase complex; this complex comprises part of the mitochondrial respiratory chain; members include Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p and comprises part of the mitochondrial respiratory chain
