	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
ETS2-2	4.51678472835661	-0.853819212756161	0.903501804573682	-0.945011076274536	0.344653221273451	0.999994150757677	ETS2-2	ETS2-2
HRA1	19.6301744401551	-0.384828628360985	0.401552292150653	-0.958352463386279	0.337885057170429	0.999994150757677	HRA1	HRA1
ICR1	93.3914470516702	0.0229507462249962	0.278690553168172	0.0823520781888395	0.934366742612991	0.999994150757677	ICR1	Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11, repressing FLO11 transcription in cis
IRT1	72.0920611539856	0.125841443365473	0.237236859658095	0.530446421971845	0.595802447238478	0.999994150757677	IRT1	IRT1
LSR1	28.8164471728313	-0.0253169093952616	0.441847144216129	-0.0572978907449447	0.95430790053634	0.999994150757677	LSR1	LSR1
NME1	8.29643203827837	-0.529561583111432	0.608634564923076	-0.870081348696262	0.384255949624136	0.999994150757677	NME1	NME1
Q0020	2.40641062308999	3.59393819848155	1.8745283404089	1.91724932667467	0.0552062642052017	0.999994150757677	Q0020	Q0020
Q0050	0.178412284226602	0.893024319540633	4.0804728567969	0.218853145427278	0.826764446158224	0.999994150757677	AI1	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0055	0.338263432284138	-0.0687448046318969	3.3516050945446	-0.0205110097080926	0.983635729447727	0.999994150757677	AI2	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0085	0.178412284226602	0.893024319540633	4.0804728567969	0.218853145427278	0.826764446158224	0.999994150757677	ATP6	Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase; mutations in human ortholog MT-ATP6 are associated with neurodegenerative disorders such as Neurogenic Ataxia and Retinitis Pigmentosa (NARP), Leigh syndrome (LS), Charcot-Marie-Tooth (CMT), and ataxia telangiectasia
Q0158	7.29815606835919	0.19239219559912	0.677284689094819	0.284063996568783	0.776361337467871	0.999994150757677	Q0158	Q0158
RDN5-1	9.08370037121638	-1.29983238249559	0.619989325697506	-2.0965399380598	0.0360343209340825	0.999994150757677	RDN5-1	RDN5-1
RDN5-2	0.17668687390801	-1.03052903210186	4.0804728567969	-0.252551375359669	0.800614908884416	0.999994150757677	RDN5-2	RDN5-2
RME2	142.889065388028	0.212158265912454	0.186219699787711	1.13929012963888	0.25458216385068	0.999994150757677	RME2	RME2
RNA170	8.37826690699747	0.215642945823478	0.612116256720165	0.352290832756074	0.724620162441445	0.999994150757677	RNA170	RNA170
RPR1	12.7964206181948	0.0130870921129493	0.57061045402367	0.0229352477170115	0.981701924171819	0.999994150757677	RPR1	RPR1
RUF20	40.4572123481249	0.346042503391817	0.352080967591011	0.982849217211287	0.325681654567987	0.999994150757677	RUF20	RUF20
RUF21	1.98305354898231	-0.558973882833191	1.19719979480167	-0.466901084731469	0.64057064918064	0.999994150757677	RUF21	RUF21
RUF22	0.356824568453204	1.90583155785257	4.027900933062	0.473157505491019	0.636100812525252	0.999994150757677	RUF22	RUF22
RUF23	6.16125844875171	0.478986787231642	0.706859337679673	0.677626738021114	0.498008388523676	0.999994150757677	RUF23	RUF23
RUF5-2	1.14618653752631	-0.441252182547685	1.79204623624846	-0.246228123818624	0.805505645951496	0.999994150757677	RUF5-2	RUF5-2
SCR1	18.3277086973347	0.101205151602739	0.417001629960489	0.242697256632614	0.808239932817049	0.999994150757677	SCR1	SCR1
SRG1	125.398601148959	0.286335903631869	0.252459570025796	1.13418518300816	0.256716877919722	0.999994150757677	SRG1	SRG1
YAL001C	449.940940938225	-0.210407274303111	0.148769891184016	-1.4143135592057	0.157269857522718	0.999994150757677	TFC3	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)
YAL002W	345.056994299671	-0.0044944401835516	0.127041476464177	-0.0353777388978868	0.971778535384208	0.999994150757677	VPS8	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
YAL003W	21588.1072895682	0.148538717630783	0.156795288960988	0.947341712975455	0.343464681786782	0.999994150757677	EFB1	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants
YAL005C	5653.7843740435	-0.227190017757696	1.1944688202577	-0.190201714690786	0.849151067519795	0.999994150757677	SSA1	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils
YAL007C	1263.93470117343	0.0707242224240343	0.103789530820843	0.681419617804376	0.495606013075572	0.999994150757677	ERP2	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication
YAL008W	253.096313568825	-0.0467039773976172	0.182510159785226	-0.255897959064731	0.798029630598949	0.999994150757677	FUN14	Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis
YAL009W	265.141109428193	-0.11663665692719	0.176460976774169	-0.660977056000655	0.508627027753086	0.999994150757677	SPO7	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation
YAL010C	242.809244167099	-0.125372475142357	0.158815374156188	-0.789422786102928	0.429864942457324	0.999994150757677	MDM10	Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase
YAL011W	385.774372077795	0.028207257130329	0.132675276037137	0.212603719192064	0.831636070270112	0.999994150757677	SWC3	Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae
YAL012W	7694.2232235842	0.0869487090609551	0.147809847498654	0.588247065620895	0.55636647031886	0.999994150757677	CYS3	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress
YAL013W	555.719982201535	-0.0916345072789868	0.141396014926243	-0.648069942613211	0.516939713563452	0.999994150757677	DEP1	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation
YAL014C	599.412969240358	-0.168938751533756	0.117834118576232	-1.43369979404108	0.151657951009948	0.999994150757677	SYN8	Endosomal SNARE related to mammalian syntaxin 8
YAL015C	314.155925784137	-0.0342168147433334	0.266909800397742	-0.128196172236255	0.897993729189949	0.999994150757677	NTG1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication
YAL016C-A	70.7222013829878	0.196696918435599	0.288883753746011	0.680886051517235	0.495943594710219	0.999994150757677	YAL016C-A	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF TPD3/YAL016W
YAL016W	1436.11704481623	0.0191023689382374	0.1169459308587	0.163343596463547	0.870247909804346	0.999994150757677	TPD3	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III
YAL017W	419.322718230659	-0.164716703725646	0.248105818849059	-0.663896979481384	0.50675624962149	0.999994150757677	PSK1	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication
YAL018C	3.67342491871599	-0.267032935145268	1.04951756834203	-0.254433983003364	0.799160299936367	0.999994150757677	LDS1	Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants
YAL019W	914.3285587253	-0.0133014624386031	0.192882313264616	-0.0689615455843004	0.945020228774003	0.999994150757677	FUN30	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate
YAL019W-A	11.2052606712963	0.0433065279925153	0.566152794486485	0.0764926507724746	0.939027160680401	0.999994150757677	YAL019W-A	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF ATS1/YAL020C
YAL020C	244.156825824235	0.048808230537813	0.20663154086683	0.236209004361387	0.81327049272597	0.999994150757677	ATS1	Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p
YAL021C	1192.94249909013	-0.17193012989398	0.205969942573307	-0.834734076952945	0.403867450429821	0.999994150757677	CCR4	Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening
YAL022C	771.413078661888	-0.0281136741011772	0.113860935873887	-0.246912375042448	0.804976038898797	0.999994150757677	FUN26	High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member
