	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YML123C	10341.7224031811	-5.3800825180891	0.144207914093941	-37.3078173406236	1.22573357521206e-304	7.930496231622e-301	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YHR136C	474.324450882164	-6.20960288668363	0.299899656448293	-20.7056018677176	3.0835908483809e-95	9.975416394512219e-92	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YHR215W	991.296249225775	-4.82962567958833	0.261266410700959	-18.485444288957	2.7046201330836202e-76	5.832964087017e-73	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YDR281C	234.062746688738	-3.89906692615538	0.230440300988676	-16.9200739168753	3.20028610669078e-64	5.1764627775723306e-61	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YDR377W	1559.62747011577	-1.9895558425979	0.125446493030986	-15.8597964321447	1.20283128337306e-56	1.55646368068474e-53	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YER072W	2936.30968920995	-2.05397351587491	0.130837160709411	-15.6987013837512	1.54369814186341e-55	1.6646211629760401e-52	VTC1	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; VTC complex is involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; also has mRNA binding activity; protein abundance increases in response to DNA replication stress
YAR071W	456.97768167784	-4.21102259294488	0.271804426952763	-15.4928403490526	3.8777340360224203e-54	3.58413417329501e-51	PHO11	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication
YBR039W	4414.03745138518	-2.07523861571628	0.135427932076541	-15.3235642300393	5.32174956529668e-53	4.30396496093369e-50	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YPL271W	1574.54363953231	-2.22434657021024	0.147237381385048	-15.1072135981096	1.4514892429248302e-51	1.0434594890804099e-48	ATP15	Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YJR048W	1534.21566989291	-3.33136992996479	0.220667469653049	-15.0967876470539	1.70016831717878e-51	1.10000890121467e-48	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YML081C-A	1447.33617706557	-1.89176984036929	0.131940708058955	-14.3380300757822	1.2659815104932e-46	7.446273066264551e-44	ATP18	Subunit of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; termed subunit I or subunit j; does not correspond to known ATP synthase subunits in other organisms
YBL045C	4706.36695687153	-2.30283003611055	0.162887678455755	-14.1375336547391	2.22962525579164e-45	1.20213961708099e-42	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YBR296C	155.10093220652	-3.49378923528231	0.247531325912076	-14.1145336753188	3.09053520629333e-45	1.53813559882445e-42	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YPL019C	3261.33260080739	-2.96369010447816	0.211832091816783	-13.990751255204	1.77526691021893e-44	8.20426922079746e-42	VTC3	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC3 has a paralog, VTC2, that arose from the whole genome duplication
YJL166W	1033.53795038546	-1.97846570197333	0.149102152386479	-13.2691961202885	3.4930777384343096e-40	1.50668086451133e-37	QCR8	Subunit 8 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the intermembrane space; expression is regulated by Abf1p and Cpf1p
YJL012C	3381.8822025726	-1.82666477653602	0.138370027555396	-13.2013038430936	8.62294941352251e-40	3.48690516909316e-37	VTC4	Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion; protein abundance increases in response to DNA replication stress
YMR256C	716.991243238338	-2.04410432959335	0.1575227602666	-12.9765649493051	1.66167368888201e-38	6.3241345688627e-36	COX7	Subunit VII of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain
YGL187C	1681.06808499995	-2.20417202903896	0.173387014483115	-12.7124400613843	5.04357383789472e-37	1.8128845961765999e-34	COX4	Subunit IV of cytochrome c oxidase; the terminal member of the mitochondrial inner membrane electron transport chain; precursor N-terminal 25 residues are cleaved during mitochondrial import; phosphorylated; spermidine enhances translation
YLR038C	1016.05700394517	-1.80220362256922	0.142393999056048	-12.6564576774043	1.03045016682283e-36	3.50895398912828e-34	COX12	Subunit VIb of cytochrome c oxidase; cytochrome c oxidase is also known as respiratory Complex IV and is the terminal member of the mitochondrial inner membrane electron transport chain; required for assembly of cytochrome c oxidase but not required for activity after assembly; phosphorylated; easily released from the intermembrane space, suggesting a loose association with Complex IV
YKL016C	2472.6294654254	-1.7756339973631	0.141418719971831	-12.5558624609019	3.69136991841105e-36	1.19415816860597e-33	ATP7	Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YOL077W-A	858.116431868609	-1.80936187322899	0.144181898275366	-12.5491611282116	4.01743440584255e-36	1.2377524098000599e-33	ATP19	Subunit k of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; associated only with the dimeric form of ATP synthase
