	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YOR153W	15945.1889231123	1.91550882366724	0.115052054795631	16.6490622620326	3.0738098069852497e-62	1.87256493441542e-58	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YMR102C	1154.49193252003	1.17827908384614	0.0997409311760098	11.8133956636806	3.32841906022109e-32	1.01383644574335e-28	YMR102C	Protein of unknown function; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; mutant shows increased resistance to azoles; not an essential gene; YMR102C has a paralog, DGR2, that arose from the whole genome duplication
YLR303W	1723.21153884159	13.9679128598905	1.19677131951927	11.671329879046	1.78609126359103e-31	3.62695599259884e-28	MET17	O-acetyl homoserine-O-acetyl serine sulfhydrylase; required for Methionine and cysteine biosynthesis
YGL009C	3890.43021949741	-2.03089837185867	0.174408367034376	-11.6445008137618	2.4475052235951103e-31	3.7275504555353597e-28	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YBR115C	633.153944965387	-12.9854926684582	1.18612037220352	-10.9478708677218	6.80278370121878e-28	8.28851166156496e-25	LYS2	Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p
YBR047W	122.944516543917	2.45901421555532	0.245060118750476	10.0343304659014	1.07687484792459e-23	1.0933869289261e-20	FMP23	Putative protein of unknown function; proposed to be involved in iron or copper homeostasis; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YER175C	680.563637290627	1.72260640789074	0.178192533441201	9.66710767631101	4.1596783351018e-22	3.62010863106288e-19	TMT1	Trans-aconitate methyltransferase; cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate, an intermediate of the leucine biosynthetic pathway, and trans-aconitate, which inhibits the citric acid cycle
YMR096W	735.258487822976	2.0919157098902	0.23763897608271	8.80291501155983	1.33307512050517e-18	1.01513670426469e-15	SNZ1	Protein involved in vitamin B6 biosynthesis; member of a stationary phase-induced gene family; coregulated with SNO1; interacts with Sno1p and with Yhr198p, perhaps as a multiprotein complex containing other Snz and Sno proteins
YBL005W	968.121482641868	0.913157275217906	0.105519373625008	8.65393002106952	4.975572398128739e-18	3.3679096721555904e-15	PDR3	Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); has a role in response to drugs and organic solvents; post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate
YGL117W	425.237644612424	1.99828915058893	0.231746158085691	8.6227498530959	6.53651396203832e-18	3.9513312718466106e-15	YGL117W	Putative protein of unknown function
YLR346C	136.053773432723	3.01007647047781	0.349491961206722	8.61272018985686	7.13470846853459e-18	3.9513312718466106e-15	CIS1	Protein of unknown function found in mitochondria; expression is regulated by transcription factors involved in pleiotropic drug resistance, Pdr1p and Yrr1p; not an essential gene; YLR346C has a paralog, YGR035C, that arose from the whole genome duplication
YPL250C	403.652592359692	1.77982214091577	0.207728945686774	8.56800257196459	1.05295446393103e-17	5.345498828556541e-15	ATG41	Protein of unknown function; required for selective and nonselective autophagy, and mitophagy; regulates the rate of autophagosome formation; interacts with Atg9p, and has a similar peri-mitochondrial localization; elevated Gcn4p-dependent expression under autophagy-inducing conditions; mobilized into polysomes upon a shift from a fermentable to nonfermentable carbon source; potential Cdc28p substrate; ATG41 has a paralog, ICY1, that arose from the whole genome duplication
