	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YNL145W	2413.03716926384	-8.3240798201347	0.276755197196933	-30.0774110276652	9.56813496473074e-199	6.339846227630589e-195	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YFL026W	4197.51253798398	-6.61176893025761	0.227475625376068	-29.0658347210911	9.70768956110092e-186	3.2161575515927304e-182	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YDR461W	1514.02628351741	-7.86019096552399	0.275737298005729	-28.506085402203	9.846768870477439e-179	2.17482301785945e-175	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YIL015W	1583.73013493149	-5.08914343847826	0.180349824764582	-28.2181778946629	3.49942879505935e-175	5.79680379901581e-172	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YHR092C	12145.0880189607	6.14045052501318	0.220965779009425	27.7891470459381	5.86728122053678e-170	7.775321073455341e-167	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YKL178C	1587.02089157903	4.9519298746459	0.19176797743349	25.8225066610162	4.95576532611593e-147	5.472816841807361e-144	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YOR153W	15556.3791671406	-2.8615699119379	0.11538448188495	-24.8003012640051	8.89807344304801e-136	8.42266209051945e-133	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YPL187W	8784.6544879819	12.2163704016655	0.508085041176078	24.0439481811706	9.657866823323119e-128	7.99912819641737e-125	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YDL215C	4286.19315065924	2.99589005916389	0.127231784139375	23.5467110630318	1.3566349886266e-122	9.987848260710951e-120	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YLR040C	1673.80266675814	3.17645087847772	0.155055609202276	20.48588177377	2.8772688550024e-93	1.90647834332459e-90	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YGL032C	627.421721679347	-7.57835313519384	0.409006606105251	-18.5286814982242	1.21220972268878e-76	7.30191056594166e-74	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YPL134C	1194.66018343934	2.86798353789325	0.159512986874366	17.9796240675507	2.8139397955724897e-72	1.55376375712194e-69	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YDR277C	1674.10808438486	3.31607832307144	0.190331385977689	17.4226563109258	5.5537834609521405e-68	2.8307207086360703e-65	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YMR303C	6815.79613403555	4.96483576011263	0.287022301867872	17.2977351509018	4.89247829771029e-67	2.31554008575917e-64	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YMR102C	1087.17967964568	-1.99579709328412	0.117928188748956	-16.9238340252367	3.00233751247632e-64	1.32623255717787e-61	YMR102C	Protein of unknown function; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; mutant shows increased resistance to azoles; not an essential gene; YMR102C has a paralog, DGR2, that arose from the whole genome duplication
YBR298C	736.590058604381	2.48428048870277	0.148826709140683	16.6924371508775	1.4877165012103098e-62	6.1610059606372e-60	MAL31	Maltose permease; high-affinity maltose transporter (alpha-glucoside transporter); encoded in the MAL3 complex locus; member of the 12 transmembrane domain superfamily of sugar transporters; functional in genomic reference strain S288C
YDR028C	779.229508383023	-9.30400392291465	0.561864350870105	-16.5591639841653	1.37491168674094e-61	5.35892049196794e-59	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YKR075C	3145.99920958459	2.9204933040277	0.192332938216563	15.1845717697053	4.47475976016744e-52	1.6472087872705199e-49	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YPR030W	724.080502037404	2.26587526588168	0.149339599990949	15.172635161866	5.36777470900783e-52	1.87194080115189e-49	CSR2	Nuclear ubiquitin protein ligase binding protein; may regulate utilization of nonfermentable carbon sources and endocytosis of plasma membrane proteins; overproduction suppresses chs5 spa2 lethality at high temp; ubiquitinated by Rsp5p, deubiquitinated by Ubp2p; CSR2 has a paralog, ECM21, that arose from the whole genome duplication
YBR296C	599.679750255052	4.49650456707477	0.303600882557054	14.8105780497188	1.25159336421146e-49	3.9490750625072203e-47	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YDR216W	1456.69547901039	1.83654155116057	0.123979499718772	14.8132679622557	1.2024903139382299e-49	3.9490750625072203e-47	ADR1	Carbon source-responsive zinc-finger transcription factor; required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization
YKL217W	3355.9432081764	5.63885361493346	0.410391505410552	13.740181121177	5.8329688747028995e-43	1.7567841710809699e-40	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YJR048W	679.997769744285	2.35127190211617	0.171400675852758	13.7179850103744	7.92370077577079e-43	2.28271484088075e-40	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YGR035C	580.112945120572	-1.98908915757184	0.145338897972915	-13.6858692704724	1.2332344577493098e-42	3.4047547987695596e-40	YGR035C	Putative protein of unknown function, potential Cdc28p substrate; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; YGR035C has a paralog, YLR346C, that arose from the whole genome duplication
YER065C	2233.42667104364	2.63864174497714	0.193258010577109	13.6534663535943	1.9249946259490898e-42	5.10200575661546e-40	ICL1	Isocitrate lyase; catalyzes the formation of succinate and glyoxylate from isocitrate, a key reaction of the glyoxylate cycle; expression of ICL1 is induced by growth on ethanol and repressed by growth on glucose
YGR292W	293.922034122622	4.03884140905576	0.303855266948111	13.2919907876583	2.57631234921156e-40	6.56563293302915e-38	MAL12	Maltase (alpha-D-glucosidase); inducible protein involved in maltose catabolism; encoded in the MAL1 complex locus; hydrolyzes the disaccharides maltose, turanose, maltotriose, and sucrose
YER011W	498.961160259549	-1.98307423064656	0.152123199108045	-13.0359750667489	7.63842222170442e-39	1.8075780586076198e-36	TIR1	Cell wall mannoprotein; expression is downregulated at acidic pH and induced by cold shock and anaerobiosis; abundance is increased in cells cultured without shaking; member of the Srp1p/Tip1p family of serine-alanine-rich proteins
YKL177W	112.951449174971	5.32440161333773	0.408388089700667	13.0376025834649	7.47713772719152e-39	1.8075780586076198e-36	YKL177W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene STE3
YJL212C	791.721712534141	-2.87932505535181	0.224271033637778	-12.8385953756393	9.96663661158887e-38	2.27720462718579e-35	OPT1	Proton-coupled oligopeptide transporter of the plasma membrane; also transports glutathione and phytochelatin; member of the OPT family
YMR191W	1172.10040883932	1.57584576572492	0.124268972638234	12.6809269624562	7.54344433204678e-37	1.66609540480473e-34	SPG5	Protein required for proteasome assembly during quiescence; binds to base of the proteasome regulartory particle; required for survival at high temperature during stationary phase; not required for growth on nonfermentable carbon sources
YBR093C	911.042214156661	1.92246275905029	0.151637007921547	12.6780578527698	7.82466785193048e-37	1.6724596511900399e-34	PHO5	Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
YBL005W	980.824215801505	-1.21854865540625	0.0965624803517381	-12.6192766690289	1.6533287882510098e-36	3.42342392217226e-34	PDR3	Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); has a role in response to drugs and organic solvents; post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate
YDR377W	1224.41419821184	1.22229380452843	0.098659389202913	12.3890266745371	2.99658253837689e-35	6.01677451493494e-33	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YJR095W	1281.04787180151	6.15556218617223	0.503482196590267	12.225977855542	2.25847496490135e-34	4.40136915218716e-32	SFC1	Mitochondrial succinate-fumarate transporter; transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YFR033C	1558.27381409947	1.78120356310769	0.14597599427497	12.202030696585	3.03167623597893e-34	5.73939621131326e-32	QCR6	Subunit 6 of the ubiquinol cytochrome-c reductase complex; the complex, also known as the cytochrome bc(1) complex or Complex III, is a component of the mitochondrial inner membrane electron transport chain; highly acidic protein; required for maturation of cytochrome c1; may be loosely associated with the complex since it is easily released into the intermembrane space
YNL117W	581.149122868821	4.00407353453124	0.330837449473062	12.1028424711552	1.02016490134404e-33	1.8776701767515502e-31	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YKL209C	1486.72291102531	-3.95184730858601	0.330169197742808	-11.9691580426118	5.15490633360578e-33	9.23146199093834e-31	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YKL016C	2050.5914741797	1.19171728606983	0.0996457885571367	11.9595349018339	5.78852200181527e-33	1.00933544168495e-30	ATP7	Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YDR011W	2984.39170499537	-1.39668028428687	0.117254555706158	-11.9115225491705	1.03077687946669e-32	1.75126348803751e-30	SNQ2	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter involved in multidrug resistance and resistance to singlet oxygen species
YJL170C	134.88024868122	-4.15342403643908	0.3511264405193	-11.8288558113036	2.76890331508316e-32	4.5866883414352595e-30	ASG7	Protein that regulates signaling from G protein beta subunit Ste4p; contributes to relocalization of Ste4p within the cell; specific to a-cells and induced by alpha-factor
YLR303W	1869.44918801063	-14.1941905789143	1.20047587991772	-11.8238032236743	2.94063699616883e-32	4.75235627722309e-30	MET17	O-acetyl homoserine-O-acetyl serine sulfhydrylase; required for Methionine and cysteine biosynthesis
YBR299W	156.779906739211	2.96912208278759	0.252256867546022	11.7702329045448	5.55708798433159e-32	8.76696785337646e-30	MAL32	Maltase (alpha-D-glucosidase); inducible protein involved in maltose catabolism; encoded in the MAL3 complex locus; functional in genomic reference strain S288C; hydrolyzes the disaccharides maltose, turanose, maltotriose, and sucrose
YGR289C	280.598401731206	2.05901540844471	0.175564692006347	11.7279584232704	9.16423972033512e-32	1.41214540434745e-29	MAL11	High-affinity maltose transporter (alpha-glucoside transporter); inducible; encoded in the MAL1 complex locus; broad substrate specificity that includes maltotriose; required for isomaltose utilization
YNR044W	1421.97318096677	-2.1754348896154	0.187525427713933	-11.600746182187	4.0850079414274205e-31	6.15165059543139e-29	AGA1	Anchorage subunit of a-agglutinin of a-cells; highly O-glycosylated protein with N-terminal secretion signal and C-terminal signal for addition of GPI anchor to cell wall, linked to adhesion subunit Aga2p via two disulfide bonds; AGA1 has a paralog, FIG2, that arose from the whole genome duplication
YLR174W	1296.26822856867	3.75374504925784	0.325000658120579	11.5499613784325	7.38536176084332e-31	1.08745348949662e-28	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YJR078W	176.828296540535	2.6248074105978	0.233977769786541	11.2181914247342	3.31990482278114e-29	4.78210638168431e-27	BNA2	Tryptophan 2,3-dioxygenase or indoleamine 2,3-dioxygenase; required for de novo biosynthesis of NAD from tryptophan via kynurenine; interacts genetically with telomere capping gene CDC13; regulated by Hst1p and Aftp
YBR115C	656.671285950729	12.91973359424	1.18581850374714	10.8952032317038	1.21495015496274e-27	1.7128212184645001e-25	LYS2	Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p
YOR375C	7502.38598966434	2.5467569324384	0.238511022133945	10.677732666829	1.2939333998729499e-26	1.78616723074128e-24	GDH1	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh3p; expression regulated by nitrogen and carbon sources; GDH1 has a paralog, GDH3, that arose from the whole genome duplication
YGL009C	5512.67029636253	2.49613695315649	0.234504409290606	10.644307118606	1.85358124894225e-26	2.50649578683496e-24	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YNL231C	1955.37797608008	-1.24894764827559	0.122922541545934	-10.1604443950492	2.97716336763298e-24	3.94533689478722e-22	PDR16	Phosphatidylinositol transfer protein (PITP); controlled by the multiple drug resistance regulator Pdr1p; localizes to lipid particles and microsomes; controls levels of various lipids, may regulate lipid synthesis; homologous to Pdr17p; protein abundance increases in response to DNA replication stress
