	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YGL037C	2530.00240820085	3.30354662520999	0.301359293838837	10.9621527948519	5.8100571019619095e-28	3.37854820479085e-24	PNC1	Nicotinamidase that converts nicotinamide to nicotinic acid; part of the NAD(+) salvage pathway; required for life span extension by calorie restriction; lacks a peroxisomal targeting signal but is imported into peroxisomes via binding to Gpd1p; PNC1 expression responds to all known stimuli that extend replicative life span; protein increases in abundance and relative distribution to cytoplasmic foci decreases upon DNA replication stress
YCL040W	3855.19618464182	3.48335633288316	0.325652018203245	10.6965599418123	1.05627100698737e-26	3.07110795281576e-23	GLK1	Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication
YPL061W	17200.2311258709	2.10635386469846	0.221248944383821	9.52028887895787	1.72698313375165e-21	3.34746897425527e-18	ALD6	Cytosolic aldehyde dehydrogenase; activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress
YOL052C-A	542.947216332079	4.39786809947654	0.464412594707915	9.46974339109497	2.8053199770958302e-21	4.07823391670306e-18	DDR2	Multi-stress response protein; expression is activated by a variety of xenobiotic agents and environmental or physiological stresses; DDR2 has a paralog, HOR7, that arose from the whole genome duplication
YML100W	2673.47437754765	4.4503207633334	0.475842680403164	9.35250440242732	8.559649663571e-21	9.95487255873307e-18	TSL1	Large subunit of trehalose 6-phosphate synthase/phosphatase complex; Tps1p-Tps2p complex converts uridine-5'-diphosphoglucose and glucose 6-phosphate to trehalose; contributes to survival to acute lethal heat stress; mutant has aneuploidy tolerance; protein abundance increases in response to DNA replication stress; TSL1 has a paralog, TPS3, that arose from the whole genome duplication
YPR149W	6166.63337973732	1.87949159134814	0.203954067622303	9.21526897334903	3.10498857316547e-20	3.00925142549287e-17	NCE102	Protein of unknown function; contains transmembrane domains; involved in secretion of proteins that lack classical secretory signal sequences; component of the detergent-insoluble glycolipid-enriched complexes (DIGs); NCE102 has a paralog, FHN1, that arose from the whole genome duplication
YDR171W	666.599292358456	4.10366617109865	0.458435673008135	8.95145472465409	3.50827999776213e-19	2.91437831242668e-16	HSP42	Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress
YPR160W	849.205085557421	3.41225327301689	0.383511847700853	8.89738685642514	5.71769270513349e-19	4.1560478850439004e-16	GPH1	Glycogen phosphorylase required for the mobilization of glycogen; non-essential; regulated by cyclic AMP-mediated phosphorylation; phosphorylation by Cdc28p may coordinately regulate carbohydrate metabolism and the cell cycle; expression is regulated by stress-response elements and by the HOG MAP kinase pathway
YGR248W	263.318054251923	4.9829386270575	0.572411490645547	8.70516876144102	3.17102560734118e-18	2.04883487852099e-15	SOL4	6-phosphogluconolactonase; protein abundance increases in response to DNA replication stress; SOL4 has a paralog, SOL3, that arose from the whole genome duplication
YFR053C	5793.5194458847	2.55975943297831	0.305196457342979	8.38725146177454	4.97639795624325e-17	2.89377541155545e-14	HXK1	Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication
YLL026W	3144.3035171356	2.66494163859696	0.319253599533835	8.34741297353649	6.97744072742926e-17	3.68852889363647e-14	HSP104	Disaggregase; heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; potentiated Hsp104p variants decrease TDP-43 proteotoxicity by eliminating its cytoplasmic aggregation
YMR105C	1342.74077117814	2.89793693129977	0.348485542993516	8.31580244737354	9.11335178750117e-17	4.41617838702661e-14	PGM2	Phosphoglucomutase; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism; functions as the acceptor for a Glc-phosphotransferase; protein abundance increases in response to DNA replication stress; PGM2 has a paralog, PGM1, that arose from the whole genome duplication
YDR258C	956.218614347029	2.72634717560608	0.332175190263463	8.20755810644283	2.25732227429694e-16	1.00971761731051e-13	HSP78	Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates
YML128C	1617.64930967827	3.0816480889612	0.381220246472041	8.08364224481767	6.28605586726192e-16	2.61095820486629e-13	MSC1	Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria and is phosphorylated
YNL036W	3913.0582921048	2.24690910011407	0.279929138910052	8.02670671893165	1.00124056266182e-15	3.88147591458565e-13	NCE103	Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate, which is an important metabolic substrate, and protons; not expressed under conditions of high CO2, such as inside a growing colony, but transcription is induced in response to low CO2 levels, such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress
YKL103C	1268.42095925533	2.08946561628234	0.262652754301517	7.95523969218955	1.78785040788256e-15	6.49771882614819e-13	APE1	Vacuolar aminopeptidase yscI; zinc metalloproteinase that belongs to the peptidase family M18; often used as a marker protein in studies of autophagy and cytosol to vacuole targeting (CVT) pathway; protein increases in abundance and relative distribution to cytoplasmic foci increases upon DNA replication stress
YFR015C	309.5858682861	3.46248905321841	0.470209122866735	7.36372155458951	1.78852563915025e-13	6.117809759799229e-11	GSY1	Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, environmental stress, and entry into stationary phase; GSY1 has a paralog, GSY2, that arose from the whole genome duplication; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YEL007W	1235.72637984232	1.41691259291324	0.19657330619481	7.20806207282811	5.67537599271371e-13	1.8334617443127901e-10	MIT1	Transcriptional regulator of pseudohyphal growth; protein with sequence similarity to S. pombe gti1+ (gluconate transport inducer 1) and C. albicans Wor1
YLR327C	532.742089818222	2.70022370107237	0.379751361069698	7.11050434017215	1.15619666469418e-12	3.53857031852455e-10	TMA10	Protein of unknown function that associates with ribosomes; protein abundance increases in response to DNA replication stress; TMA10 has a paralog, STF2, that arose from the whole genome duplication
YPL240C	2523.92462170664	3.07655264955592	0.441812444468786	6.96348119676669	3.3196548790794798e-12	9.65189656092358e-10	HSP82	Hsp90 chaperone; redundant in function with Hsc82p; required for pheromone signaling, negative regulation of Hsf1p; docks with Tom70p for mitochondrial preprotein delivery; promotes telomerase DNA binding, nucleotide addition; protein abundance increases in response to DNA replication stress; contains two acid-rich unstructured regions that promote solubility of chaperone-substrate complexes; HSP82 has a paralog, HSC82, that arose from the whole genome duplication
YBR054W	1280.73221283515	3.2366405487473	0.473141909942494	6.84073949217623	7.878541381108249e-12	2.18160562529259e-09	YRO2	Protein with a putative role in response to acid stress; null mutant is sensitive to acetic acid; transcription is regulated by Haa1p and induced in the presence of acetic acid; protein observed in plasma membrane foci in the presence of acetic acid; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies
YMR250W	1031.4254012651	2.79970550226814	0.410630786039137	6.81806040232283	9.22778468064296e-12	2.43907126899722e-09	GAD1	Glutamate decarboxylase; converts glutamate into gamma-aminobutyric acid (GABA) during glutamate catabolism; involved in response to oxidative stress
YLR258W	1253.06416446835	2.45417174886453	0.360981248400222	6.79861283582126	1.05631264490838e-11	2.6706339261487904e-09	GSY2	Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, heat shock, and stationary phase; activity regulated by cAMP-dependent, Snf1p and Pho85p kinases as well as by the Gac1p-Glc7p phosphatase; GSY2 has a paralog, GSY1, that arose from the whole genome duplication; relocalizes from cytoplasm to plasma membrane upon DNA replication stress
YBR214W	877.667472279776	2.09299771990794	0.310066306940566	6.75016173333894	1.47680441221205e-11	3.5781740237554603e-09	SDS24	Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; may play an indirect role in fluid-phase endocytosis; protein abundance increases in response to DNA replication stress; SDS24 has a paralog, SDS23, that arose from the whole genome duplication
YBR085C-A	1230.99741582391	1.57276960245668	0.235907719458038	6.66688485679857	2.6128992230337697e-11	6.07760359277656e-09	YBR085C-A	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus; protein abundance increases in response to DNA replication stress
YIL101C	414.767702461833	1.91921001041292	0.289946528901519	6.61918601917383	3.6118211810379296e-11	8.0779769875906e-09	XBP1	Transcriptional repressor; binds promoter sequences of cyclin genes, CYS3, and SMF2; not expressed during log phase of growth, but induced by stress or starvation during mitosis, and late in meiosis; represses 15% of all yeast genes as cells transition to quiescence; important for maintaining G1 arrest and for longevity of quiescent cells; member of Swi4p/Mbp1p family; phosphorylated by Cdc28p; relative distribution to nucleus increases upon DNA replication stress
YDL124W	3682.84952752878	1.59676758991894	0.242303561643694	6.58994683811944	4.3998409198551797e-11	9.475953684799221e-09	YDL124W	NADPH-dependent alpha-keto amide reductase; reduces aromatic alpha-keto amides, aliphatic alpha-keto esters, and aromatic alpha-keto esters; member of the aldo-keto reductase (AKR) family; protein abundance increases in response to DNA replication stress
YER150W	682.580704692141	2.41521957680119	0.367436299108735	6.57316542393776	4.92566808865281e-11	1.02295571198272e-08	SPI1	GPI-anchored cell wall protein involved in weak acid resistance; basal expression requires Msn2p/Msn4p; expression is induced under conditions of stress and during the diauxic shift; SPI1 has a paralog, SED1, that arose from the whole genome duplication
YBR139W	811.005544837555	1.6872999453111	0.260617002911198	6.47425120565148	9.528326793187469e-11	1.91059380353052e-08	YBR139W	Putative serine type carboxypeptidase; role in phytochelatin synthesis; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; expression induced by nitrogen limitation in a GLN3, GAT1-independent manner
YOL151W	1738.18471520335	1.22910761165185	0.190576479228023	6.44941923909317	1.1227957223070901e-10	2.17635237507191e-08	GRE2	3-methylbutanal reductase and NADPH-dependent methylglyoxal reductase; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway; restores resistance to glycolaldehyde by coupling reduction of glycolaldehyde to ethylene glycol and oxidation of NADPH to NADP+; protein abundance increases in response to DNA replication stress; methylglyoxal reductase (NADPH-dependent) is also known as D-lactaldehyde dehydrogenase
YBR072W	1052.64416250441	2.6036089884956	0.415183489612198	6.27098392310228	3.58773665670251e-10	6.72989956733067e-08	HSP26	Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity
