	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YGL089C	2501.31409287146	5.82125917725011	0.169524255384834	34.3387980913727	2.06992697612436e-258	1.3483504322474101e-254	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YJR004C	5042.75962745488	4.21186931039707	0.130029581225958	32.3916240495916	3.6012285369266296e-230	1.172920134477e-226	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YNL145W	2511.38672194069	-8.40321787292385	0.265277331939841	-31.6771049055542	3.21186969812147e-220	6.974039737854409e-217	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YIL015W	1654.28140824176	-4.92757246291322	0.156556539320919	-31.4747150408862	1.92733641249389e-217	3.1386673477462996e-214	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YDR461W	1578.40595711967	-7.45037733086426	0.251761771700872	-29.5929651294175	1.84057608632253e-192	2.397902525261e-189	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YPL187W	10535.2484261318	12.4290660702594	0.433887387754978	28.6458339675877	1.8065167826036202e-180	1.9612750536466698e-177	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YKL178C	1463.03457085387	4.77112778549133	0.171112744653613	27.8829481412949	4.29548112201707e-171	3.9972520041170197e-168	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YKL209C	1519.36582100985	-4.47729758579122	0.167526292349411	-26.7259396898303	2.35163851294481e-157	1.9148216591653102e-154	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YFL026W	4381.59320008692	-6.2614885603981	0.244801940879427	-25.5777733538562	2.6965432833855e-144	1.95169810533035e-141	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YLR040C	1907.43431187547	3.32065826465862	0.13889176665035	23.9082441295325	2.51405369329551e-126	1.6376545758126997e-123	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YGL032C	655.597484203304	-6.8816414335403	0.309381360628391	-22.2432321700404	1.31159800438146e-109	7.767044909582579e-107	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YOR153W	16111.3205657348	-2.92480624138477	0.156294932503647	-18.7133785755756	3.8516547485286696e-78	2.09080658599298e-75	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YJL191W	3252.37328927779	1.68891256125825	0.109401204738709	15.4377875937656	9.117445939877151e-54	4.56854175787383e-51	RPS14B	Protein component of the small (40S) ribosomal subunit; required for ribosome assembly and 20S pre-rRNA processing; mutations confer cryptopleurine resistance; homologous to mammalian ribosomal protein S14 and bacterial S11; RPS14B has a paralog, RPS14A, that arose from the whole genome duplication
YER175C	689.129383803106	-2.57249291801655	0.167934428955134	-15.3184366899763	5.75859222788892e-53	2.67939069803346e-50	TMT1	Trans-aconitate methyltransferase; cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate, an intermediate of the leucine biosynthetic pathway, and trans-aconitate, which inhibits the citric acid cycle
YBL005W	970.398206966175	-1.48007950985535	0.0996448543686952	-14.8535468211828	6.59832454507185e-50	2.8654324057732e-47	PDR3	Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); has a role in response to drugs and organic solvents; post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate
YHL047C	1536.8974909926	-2.42454493966286	0.164429658359289	-14.7451801813337	3.3043672085995797e-49	1.34529049980111e-46	ARN2	Transporter; member of the ARN family of transporters that specifically recognize siderophore-iron chelates; responsible for uptake of iron bound to the siderophore triacetylfusarinine C
YDR011W	2984.33121812296	-1.61963991448097	0.10996507403612	-14.7286757061517	4.21892395178496e-49	1.61659238952513e-46	SNQ2	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter involved in multidrug resistance and resistance to singlet oxygen species
YOR383C	3808.96594913286	-4.04609394459492	0.306652814650276	-13.1943805870796	9.45286569334474e-40	3.42088706258042e-37	FIT3	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
YJR048W	520.718826573775	1.80521555230517	0.140859045893381	12.8157587668993	1.33822836933719e-37	4.58801031466446e-35	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YJL088W	783.326086537986	-3.71442780366988	0.303507533766383	-12.2383380655353	1.93963606064042e-34	6.31739464950584e-32	ARG3	Ornithine carbamoyltransferase; also known as carbamoylphosphate:L-ornithine carbamoyltransferase; catalyzes the biosynthesis of the arginine precursor citrulline
YKL177W	107.768235532167	5.19323104753888	0.430805785725305	12.0546919740076	1.8321615522248e-33	5.683190643424941e-31	YKL177W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene STE3
YBR039W	2991.15296228101	1.09040705076287	0.0907064575005775	12.0212725842141	2.7470773795245298e-33	8.1338463864649e-31	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YLR303W	1946.55441395849	-14.3212629901959	1.19600016317987	-11.9742985252771	4.84518240812798e-33	1.3722399220237299e-30	MET17	O-acetyl homoserine-O-acetyl serine sulfhydrylase; required for Methionine and cysteine biosynthesis
YMR096W	808.683346067549	-2.30515387717477	0.192798344621799	-11.9562949655852	6.0187954925021695e-33	1.6336014099233e-30	SNZ1	Protein involved in vitamin B6 biosynthesis; member of a stationary phase-induced gene family; coregulated with SNO1; interacts with Sno1p and with Yhr198p, perhaps as a multiprotein complex containing other Snz and Sno proteins
YDR377W	1160.27897475975	1.02339968569795	0.0881355857451802	11.6116512648685	3.59603188582037e-31	9.369820681693559e-29	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YDL047W	918.670026751693	-13.2381714014202	1.18668183410225	-11.1556198308497	6.722270166199949e-29	1.68418722548563e-26	SIT4	Ceramide-activated, type 2A-related serine-threonine phosphatase; functions in G1/S transition of mitotic cycle; controls lifespan, mitochondrial function, cell cycle progression by regulating HXK2 phosphorylation; regulator of COPII coat dephosphorylation; required for ER to Golgi traffic; interacts with Hrr25p kinase; cytoplasmic and nuclear protein that modulates functions mediated by Pkc1p including cell wall and actin cytoskeleton organization; similar to human PP6
YJL170C	149.157972237477	-3.06568699015844	0.278394448712944	-11.0120262969737	3.34397006669671e-28	8.06763741276384e-26	ASG7	Protein that regulates signaling from G protein beta subunit Ste4p; contributes to relocalization of Ste4p within the cell; specific to a-cells and induced by alpha-factor
YDR477W	688.413665132238	-12.8219822841315	1.18691404123733	-10.802789282672	3.33903196846529e-27	7.768019372351031e-25	SNF1	AMP-activated S/T protein kinase; forms a complex with Snf4p and members of the Sip1p/Sip2p/Gal83p family; required for transcription of glucose-repressed genes, thermotolerance, sporulation, and peroxisome biogenesis; regulates nucleocytoplasmic shuttling of Hxk2p; regulates filamentous growth and acts as a non-canonical GEF, activating Arf3p during invasive growth; SUMOylation by Mms21p inhibits its function and targets Snf1p for destruction via the Slx5-Slx8 Ub ligase
YML081C-A	1283.09223126452	0.984865671466272	0.0963215461700474	10.2247701643781	1.53591860446406e-24	3.4499909618892796e-22	ATP18	Subunit of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; termed subunit I or subunit j; does not correspond to known ATP synthase subunits in other organisms
YMR291W	657.299979623992	-1.29788937114891	0.129818578924566	-9.99771667430656	1.55951335782681e-23	3.3862233376279402e-21	TDA1	Protein kinase of unknown cellular role; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene; relocalizes from nucleus to cytoplasm upon DNA replication stress
YLR307W	59.1696179005736	3.65474610506371	0.365884998556764	9.98878368744244	1.70662925728901e-23	3.5861235425744e-21	CDA1	Chitin deacetylase; together with Cda2p involved in the biosynthesis ascospore wall component, chitosan; required for proper rigidity of the ascospore wall
YKR075C	500.736706986834	-1.68937195561627	0.170761636421422	-9.89315862168874	4.4573753399143305e-23	9.07354467631311e-21	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YMR102C	1293.67526639875	-1.21578939269944	0.125258791153795	-9.70622007046731	2.83661992905117e-22	5.59931582358768e-20	YMR102C	Protein of unknown function; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; mutant shows increased resistance to azoles; not an essential gene; YMR102C has a paralog, DGR2, that arose from the whole genome duplication
YGL117W	476.248529092687	-2.06090374667007	0.216554249521828	-9.51680122288405	1.78591729841776e-21	3.42160743585096e-19	YGL117W	Putative protein of unknown function
YOL058W	5690.87607204971	-2.49808325617908	0.268942813408934	-9.28852950006397	1.5643456270747002e-20	2.9114706899327398e-18	ARG1	Arginosuccinate synthetase; catalyzes the formation of L-argininosuccinate from citrulline and L-aspartate in the arginine biosynthesis pathway; potential Cdc28p substrate
YLR041W	200.463197541304	2.78969343361437	0.310739660339824	8.97759053531684	2.76760898369947e-19	5.00783469994954e-17	YLR041W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YLR040C
YLR346C	146.706719835983	-3.76466787471483	0.421071966512271	-8.94067564245011	3.8679814115401704e-19	6.8097380850737e-17	CIS1	Protein of unknown function found in mitochondria; expression is regulated by transcription factors involved in pleiotropic drug resistance, Pdr1p and Yrr1p; not an essential gene; YLR346C has a paralog, YGR035C, that arose from the whole genome duplication
YCR097W	151.29762830134	-10.6370566933535	1.19099507914702	-8.93123479651288	4.21279914693353e-19	7.22162464292764e-17	HMRA1	Silenced copy of a1 at HMR; homeobox corepressor that interacts with Alpha2p to repress haploid-specific gene transcription in diploid cells
YDR019C	1332.77148959123	-2.4169420969088	0.271067671769329	-8.91637900282536	4.817826420546431e-19	8.04700546242038e-17	GCV1	T subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm
YGR035C	636.433627654408	-1.64363048546273	0.186287763565959	-8.82307272361862	1.11360974073818e-18	1.81351346279213e-16	YGR035C	Putative protein of unknown function, potential Cdc28p substrate; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; YGR035C has a paralog, YLR346C, that arose from the whole genome duplication
YLL027W	913.579546095819	-1.02604160969779	0.117008513136038	-8.76894836279885	1.80342718852934e-18	2.86460349652803e-16	ISA1	Protein required for maturation of mitochondrial [4Fe-4S] proteins; functions in a complex with Isa2p and possibly Iba57p; isa1 deletion causes loss of mitochondrial DNA and respiratory deficiency; depletion reduces growth on nonfermentable carbon sources; functional ortholog of bacterial A-type ISC proteins; human ISCA1 can complement isa1 null mutant
YMR256C	460.452711591452	1.3133478039916	0.149818490746145	8.76625974170948	1.84699642085013e-18	2.86460349652803e-16	COX7	Subunit VII of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain
YNL217W	1057.85550438311	1.03649728344948	0.1184603435918	8.74974064756328	2.1384364139964798e-18	3.23948251180769e-16	YNL217W	Putative protein of unknown function; weak sequence similarity to bis (5'-nucleotidyl)-tetraphosphatases; (GFP)-fusion protein localizes to the vacuole; null mutant is highly sensitive to azaserine and resistant to sodium-O-vandate
YFR033C	1130.39774278387	1.06452124132857	0.122497388865171	8.69015455096967	3.6194676074684004e-18	5.35845727160208e-16	QCR6	Subunit 6 of the ubiquinol cytochrome-c reductase complex; the complex, also known as the cytochrome bc(1) complex or Complex III, is a component of the mitochondrial inner membrane electron transport chain; highly acidic protein; required for maturation of cytochrome c1; may be loosely associated with the complex since it is easily released into the intermembrane space
YMR189W	1716.81586257444	-3.00402506620134	0.346708568552997	-8.66440964738416	4.53858657973436e-18	6.56985621786436e-16	GCV2	P subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of 5,10-methylene-THF in the cytoplasm
YKL218C	304.646310773622	-1.29217609879952	0.152909921160899	-8.45057069540846	2.89882320681928e-17	4.1049857324393e-15	SRY1	3-hydroxyaspartate dehydratase; deaminates L-threo-3-hydroxyaspartate to form oxaloacetate and ammonia; required in the presence of hydroxyaspartate; highly similar to mouse serine racemase (Srr) but has no serine racemase activity
YLL052C	198.306684835661	2.68317384399484	0.317915158848947	8.43990533106261	3.1759478735433503e-17	4.40172860601306e-15	AQY2	Water channel that mediates water transport across cell membranes; only expressed in proliferating cells; controlled by osmotic signals; may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains
YNL040W	599.912537991698	-0.874618766047923	0.104665335640819	-8.35633651478804	6.46959874895789e-17	8.779784635564941e-15	YNL040W	Protein of unknown function; has strong similarity to alanyl-tRNA synthases from Eubacteria; null mutant displays decreased translation rate and increased readthrough of premature stop codons; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YNL040W is not an essential gene
YPL095C	2508.03532806247	2.99347192873586	0.359291154855314	8.33160485106105	7.97537588068031e-17	1.06023670381126e-14	EEB1	Acyl-coenzymeA:ethanol O-acyltransferase; responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short-chain esterase activity; may be involved in lipid metabolism and detoxification; EEB1 has a paralog, EHT1, that arose from the whole genome duplication
YMR122W-A	10835.7104093741	1.56022217608408	0.187429865101699	8.32429866626378	8.482947707336991e-17	1.10515842731186e-14	YMR122W-A	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and endoplasmic reticulum
YGR161C	758.966592842658	-2.3477913183425	0.283629430816488	-8.2776717196938	1.25606927725908e-16	1.60432064158151e-14	RTS3	Putative component of the protein phosphatase type 2A complex
YIL117C	1384.11380482561	2.13885356370779	0.26004680249308	8.22487930327355	1.9538751190497598e-16	2.44760433182503e-14	PRM5	Pheromone-regulated protein, predicted to have 1 transmembrane segment; induced during cell integrity signaling; PRM5 has a paralog, YNL058C, that arose from the whole genome duplication
YBR047W	139.659515534751	-2.40262831865794	0.294560616002976	-8.1566515960629	3.4444011333246003e-16	4.23336395895781e-14	FMP23	Putative protein of unknown function; proposed to be involved in iron or copper homeostasis; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
