	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YMR303C	6245.31254324469	-4.8389545895639	0.100920665738296	-47.9481041287632	0.0	0.0	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YPL134C	1262.10044539903	-3.35327292538137	0.113154142016644	-29.6345574772519	5.36317706757374e-193	1.73659673448038e-189	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YDL215C	3215.30308877319	-3.02931317393571	0.106142739983371	-28.5399941099157	3.7388498453313696e-179	8.07093053278866e-176	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YNL117W	896.35126337048	-5.27934865004927	0.205975923466727	-25.6309017150836	6.90448080935257e-145	1.11783544303418e-141	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YJR095W	2073.94155704091	-7.71530831116614	0.30116183577567	-25.6184794839447	9.49694087314638e-145	1.23004378188992e-141	SFC1	Mitochondrial succinate-fumarate transporter; transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YLR174W	1772.83003957079	-5.51845493160647	0.227005307095959	-24.3098058023539	1.5440005673745499e-130	1.66649127905293e-127	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YLR377C	1821.12311580725	-5.70395843103232	0.239421446489435	-23.823924358773	1.88742764969929e-125	1.7461402084932298e-122	FBP1	Fructose-1,6-bisphosphatase; key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; glucose starvation results in redistribution to the periplasm; interacts with Vid30p
YKL217W	1704.03673049277	-5.04262922590128	0.214518959440742	-23.5066832276624	3.4848514144897296e-122	2.82098722002944e-119	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YBR039W	4250.72454121542	-1.92825123896824	0.0829638865587729	-23.2420552959779	1.7116562300211e-119	1.23163174951296e-116	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YKL016C	2814.89500728951	-1.93377660135371	0.0835950731503367	-23.1326623505194	2.17300335937002e-118	1.40723697552803e-115	ATP7	Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YIL162W	5946.94703194413	-3.73080683128781	0.166233835447666	-22.4431254999368	1.4936950346369701e-111	8.79379004028095e-109	SUC2	Invertase; sucrose hydrolyzing enzyme; a secreted, glycosylated form is regulated by glucose repression, and an intracellular, nonglycosylated enzyme is produced constitutively
YJR121W	14007.0773941991	-1.75669228483236	0.0824196845549923	-21.3139894227605	8.42057043819206e-101	4.54430117981098e-98	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YBL045C	5068.33735457881	-2.35525789971281	0.111037770089694	-21.21132203763	7.50733961645449e-100	3.7398101043199403e-97	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
