	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YHR092C	19724.1153603454	8.56082242581111	0.138617439666902	61.7586246462408	0.0	0.0	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YLR174W	1887.93801906746	5.4121217120283	0.135043227003113	40.0769578166518	0.0	0.0	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YMR011W	17759.8494026233	4.92874254582706	0.111593780419689	44.1668211910264	0.0	0.0	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YMR303C	6610.7292739258	5.03081373604987	0.0959953217828082	52.406863611877	0.0	0.0	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YFR053C	13031.8555839203	6.17452710436675	0.16565959478592	37.2723784115614	4.59978531033123e-304	6.08827583675441e-301	HXK1	Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication
YDR342C	3332.03505106186	8.77435779158746	0.244986171637394	35.8157267936512	6.28591713206485e-281	6.93336659666753e-278	HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication
YDL215C	3384.52846862348	3.16438326072059	0.0885062342022477	35.7532244959104	5.89487027790471e-280	5.573178785596199e-277	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YDR277C	1416.56141324635	5.06217706438066	0.141730158940884	35.717006896832	2.1527572216958503e-279	1.7808684116478898e-276	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YBL045C	5326.78375633859	2.45908480017069	0.0725480419883015	33.8959499495138	7.642895855148679e-252	5.620076085486001e-249	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YKL148C	3631.08700340057	3.62423157907474	0.108762992913221	33.3222862115096	1.83653759520885e-243	1.21542058050921e-240	SDH1	Flavoprotein subunit of succinate dehydrogenase; couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; FAD binding to Sdh1p is required for the assembly of the succinate dehydrogenase subunits; mutations in human ortholog SDHA are associated with Leigh syndrome
