	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YDR342C	3691.96801056708	8.6694886119847	0.225796463770702	38.3951478566494	0.0	0.0	HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication
YGL009C	6591.39302160113	3.08119156696673	0.0788358917107886	39.0836140760627	0.0	0.0	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YHR092C	21856.2284348802	8.46340708509628	0.166710197434959	50.7671829037228	0.0	0.0	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YLR174W	2107.51648997579	5.0013549136986	0.130005731887722	38.4702646650839	0.0	0.0	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YMR011W	19556.4279646792	5.23619166131687	0.123652353111373	42.3460737265604	0.0	0.0	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YMR303C	7285.11791913816	5.31596685714727	0.137007791859224	38.8004710170749	0.0	0.0	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YDR277C	1575.96320783468	4.85957527621844	0.132503360200972	36.6751097394644	1.82129609554599e-294	1.6901627766666802e-291	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YPL134C	1497.12605459467	3.24136863973433	0.0939095958681745	34.5158405780427	4.6414950066694905e-261	3.7688939454156197e-258	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YJR121W	15251.3214934248	2.33647936310934	0.0701270951574596	33.3177833455548	2.1341162038577499e-243	1.5403576511399902e-240	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YKR075C	2654.68857475399	4.95221697807403	0.148806721239313	33.2795248549951	7.63815235463717e-243	4.9617437695723e-240	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YBL045C	5802.83572559678	2.62511762893311	0.0794633006004378	33.0355976796495	2.50475003543702e-239	1.4791687481999002e-236	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YPR191W	4182.58424556854	2.5216211837066	0.0809601731294263	31.1464401104408	5.6674514909171596e-213	3.06798040708315e-210	QCR2	Subunit 2 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; phosphorylated; transcription is regulated by Hap1p, Hap2p/Hap3p, and heme
