	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YMR303C	6459.22133296541	-4.56098844328061	0.103195947921294	-44.197359830051	0.0	0.0	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YLR174W	1847.16330565348	-4.77472490434524	0.155523300399417	-30.7010260975862	5.51497405634315e-207	1.7907120760946202e-203	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YML123C	11204.0904426348	4.91131126263064	0.179547040821059	27.3538970075556	9.7057373989537e-165	2.1009686222935103e-161	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YKL217W	1761.51361416539	-4.74095322372882	0.173985517269899	-27.2491256635707	1.7019767782355e-163	2.7631592994653398e-160	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YNL117W	928.419689422407	-4.86107432229096	0.186938570676784	-26.0035920072147	4.509925926003641e-149	5.85749179269353e-146	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YLR377C	1890.74543391657	-5.05724600830003	0.195804941579988	-25.8279794549215	4.30167332644331e-147	4.65584443032047e-144	FBP1	Fructose-1,6-bisphosphatase; key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; glucose starvation results in redistribution to the periplasm; interacts with Vid30p
YJR095W	2141.64365520729	-6.65798054698549	0.260143551841409	-25.5934867493636	1.80276442050057e-144	1.67245030667581e-141	SFC1	Mitochondrial succinate-fumarate transporter; transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YHR092C	19163.4643882373	-6.88654303193829	0.288510454651685	-23.8693015137089	6.384111150090929e-126	5.18230222608631e-123	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YDL215C	3341.26372294619	-2.87854612835647	0.121935186270877	-23.6071819496124	3.25215518104349e-123	2.34661063841072e-120	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YER065C	2763.85260804466	-3.43679898799631	0.148030435458368	-23.2168403568797	3.07797544030562e-119	1.99883725093447e-116	ICL1	Isocitrate lyase; catalyzes the formation of succinate and glyoxylate from isocitrate, a key reaction of the glyoxylate cycle; expression of ICL1 is induced by growth on ethanol and repressed by growth on glucose
YPL019C	3437.24670022306	3.21673411812322	0.139552404478964	23.0503668505985	1.4584927463948701e-117	8.6104108137166e-115	VTC3	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC3 has a paralog, VTC2, that arose from the whole genome duplication
YHR136C	512.575297919	5.64741997614829	0.249051220977688	22.6757369587609	7.77687819235548e-114	4.20858724842971e-111	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YIL162W	6117.80398823091	-3.69023631375634	0.170301007962617	-21.6689047111594	4.03233592653759e-104	2.0143068851488598e-101	SUC2	Invertase; sucrose hydrolyzing enzyme; a secreted, glycosylated form is regulated by glucose repression, and an intracellular, nonglycosylated enzyme is produced constitutively
YDR277C	1444.88348244381	-3.5134947890353	0.164100477413007	-21.4106311232267	1.06362539206076e-101	4.93370235431611e-99	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YJL212C	599.788362919648	2.5010168741307	0.11986103757625	20.8659704997103	1.09156423361419e-96	4.7257454220603796e-94	OPT1	Proton-coupled oligopeptide transporter of the plasma membrane; also transports glutathione and phytochelatin; member of the OPT family
YDR028C	763.098346192894	8.42403875981132	0.404261281923109	20.8381043065449	1.95425480444476e-96	7.931831687540179e-94	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
