	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YHR092C	20915.1946905828	8.12994068715015	0.145499675947255	55.8760054565162	0.0	0.0	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YJR004C	4633.54086891192	-4.22616261148237	0.108415940320576	-38.9810077649651	0.0	0.0	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YMR303C	7093.8928383691	4.50462663568588	0.0926074944164453	48.6421392142313	0.0	0.0	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YPL187W	9689.27092647502	-10.9597027816314	0.291962153627788	-37.5380940490101	0.0	0.0	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YGL089C	2298.9912694552	-5.82876286914844	0.16654322574227	-34.9984986970807	2.37129955853679e-268	3.15240563311881e-265	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YDR342C	3528.58695622738	8.8910893108181	0.267857297539912	33.1933809251297	1.3413698891931001e-241	1.4860142755777498e-238	HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication
YGL009C	6209.47497662486	3.29687971983814	0.0993602004162613	33.1810896719827	2.017731375411e-241	1.9159800646224097e-238	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YDR277C	1509.84396839197	4.77708906106009	0.150963497012719	31.6440010703886	9.17041430556856e-220	7.61946798613928e-217	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YLR040C	1676.98590622827	-4.27143054648017	0.136448151597289	-31.3044222034374	4.06251268896639e-215	3.0003913159510703e-212	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YKL178C	1346.15169593533	-4.7339459067438	0.167060478182198	-28.3367194817969	1.2201203778266e-176	8.11014015141341e-174	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YDL215C	3726.38262554703	2.6866851253237	0.0962943110741	27.9007668818177	2.61150994615903e-171	1.5780642374653698e-168	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YKL217W	1913.96199158413	5.16084513472196	0.185152847636997	27.8734310629675	5.60255638120249e-171	3.10334935548775e-168	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YNL117W	997.267027044251	6.25932866612404	0.227640935590471	27.4964985971796	1.93332158780605e-166	9.885221995497559e-164	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YLR377C	2050.86801881778	5.74675146196472	0.210807796173922	27.2606211262865	1.24366461629801e-163	5.90474193180919e-161	FBP1	Fructose-1,6-bisphosphatase; key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; glucose starvation results in redistribution to the periplasm; interacts with Vid30p
YNL145W	799.100432245717	6.86384388936362	0.254310506091882	26.9900130940077	1.9359247687592998e-160	8.57872795862871e-158	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YJR095W	2344.63796015934	6.95863102425246	0.2588623713484	26.8815857167859	3.60597612551883e-159	1.49805770664523e-156	SFC1	Mitochondrial succinate-fumarate transporter; transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YLR174W	1998.22214329946	5.47003715976556	0.203535282592301	26.8751299042462	4.29028716657673e-159	1.6775022821315002e-156	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YNR044W	2438.27120650506	-3.32553518274497	0.131179574200662	-25.3510137001816	8.75806797203449e-142	3.23415987833962e-139	AGA1	Anchorage subunit of a-agglutinin of a-cells; highly O-glycosylated protein with N-terminal secretion signal and C-terminal signal for addition of GPI anchor to cell wall, linked to adhesion subunit Aga2p via two disulfide bonds; AGA1 has a paralog, FIG2, that arose from the whole genome duplication
YPL134C	1463.0704486559	2.9411364354271	0.117314593003949	25.0705079403728	1.04340601845628e-138	3.65027358140993e-136	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YKR075C	2567.69601960562	4.49640722161527	0.179477643496529	25.0527426927256	1.62974405826602e-138	5.41645437764712e-136	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YMR011W	18851.8648257592	4.84179818660504	0.194862676983157	24.8472322230467	2.77027647756704e-136	8.7685846411372e-134	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YFL026W	1619.011280346	4.91780198991183	0.202961642168446	24.230203980269	1.06929242105606e-129	3.2307212376179998e-127	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YKL209C	823.418656662067	3.66841192727178	0.157160679280867	23.3417922603645	1.6698175572576203e-120	4.82577274047453e-118	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YIL162W	6598.54397651257	4.0602258750623	0.174873301817637	23.2181003781607	2.98907351637239e-119	8.278488193053031e-117	SUC2	Invertase; sucrose hydrolyzing enzyme; a secreted, glycosylated form is regulated by glucose repression, and an intracellular, nonglycosylated enzyme is produced constitutively
YIL015W	563.426330855698	3.41182467893017	0.148654025187298	22.9514449718493	1.4253194311055e-116	3.7896393034233e-114	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YJL153C	4968.81719122747	6.33215623042776	0.280767179204611	22.5530499981023	1.2534254789244901e-112	3.2044304455427203e-110	INO1	Inositol-3-phosphate synthase; involved in synthesis of inositol phosphates and inositol-containing phospholipids; transcription is coregulated with other phospholipid biosynthetic genes by Ino2p and Ino4p, which bind the UASINO DNA element
YER065C	2961.22351680453	3.8970654099139	0.174423829737168	22.342505698827	1.42804182982151e-110	3.515627423268e-108	ICL1	Isocitrate lyase; catalyzes the formation of succinate and glyoxylate from isocitrate, a key reaction of the glyoxylate cycle; expression of ICL1 is induced by growth on ethanol and repressed by growth on glucose
YBR297W	526.278307681114	3.33959328796387	0.150601221463943	22.175074381873	5.97766245104207e-109	1.41905436828845e-106	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YJL191W	2883.81572839021	-1.9226733867186	0.0894918263614495	-21.4843462793249	2.1811257516637e-102	4.999290645278819e-100	RPS14B	Protein component of the small (40S) ribosomal subunit; required for ribosome assembly and 20S pre-rRNA processing; mutations confer cryptopleurine resistance; homologous to mammalian ribosomal protein S14 and bacterial S11; RPS14B has a paralog, RPS14A, that arose from the whole genome duplication
YDR028C	780.221027105311	-8.32265248043661	0.401338435727899	-20.737242535323	1.59829146100647e-95	3.54128111377e-93	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YCL027W	418.143761239091	-2.98233512225531	0.144186139642121	-20.6839237783719	4.83441619192881e-95	1.0365924008951899e-92	FUS1	Membrane protein localized to the shmoo tip; required for cell fusion; expression regulated by mating pheromone; proposed to coordinate signaling, fusion, and polarization events required for fusion; potential Cdc28p substrate
YFR033C	2779.1907113708	1.56272948598148	0.0780079099170238	20.0329618835287	2.84239087194167e-89	5.90417878931133e-87	QCR6	Subunit 6 of the ubiquinol cytochrome-c reductase complex; the complex, also known as the cytochrome bc(1) complex or Complex III, is a component of the mitochondrial inner membrane electron transport chain; highly acidic protein; required for maturation of cytochrome c1; may be loosely associated with the complex since it is easily released into the intermembrane space
YDR461W	283.459351951321	5.05922931355906	0.253806824727438	19.9333856329204	2.08938203258857e-88	4.20852193048978e-86	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YBR298C	585.602894552144	3.74064991981448	0.195996827204031	19.0852575175643	3.3482269862666798e-81	6.54578375815137e-79	MAL31	Maltose permease; high-affinity maltose transporter (alpha-glucoside transporter); encoded in the MAL3 complex locus; member of the 12 transmembrane domain superfamily of sugar transporters; functional in genomic reference strain S288C
YBR092C	4011.7606507811	-1.51598935122041	0.0803479358825962	-18.867807051516	2.09826919455212e-79	3.9849129531965495e-77	PHO3	Constitutively expressed acid phosphatase similar to Pho5p; brought to the cell surface by transport vesicles; hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake; expression is repressed by thiamin
YDR178W	2567.70021890462	2.4945061219207	0.133851506770343	18.6363693776019	1.6293077054936799e-77	3.00833564400458e-75	SDH4	Membrane anchor subunit of succinate dehydrogenase (SDH); involved in coupling the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; has similarity to human SDH subunit D (SDHD), which is implicated in paraganglioma
YGL032C	205.306730140539	5.30316119017072	0.295017738268576	17.9757367177118	3.01827661433755e-72	5.4222931501356e-70	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YKR097W	3870.64164903656	5.41679200690253	0.307145680385989	17.6359048907843	1.30588738658785e-69	2.2842719628024902e-67	PCK1	Phosphoenolpyruvate carboxykinase; key enzyme in gluconeogenesis, catalyzes early reaction in carbohydrate biosynthesis, glucose represses transcription and accelerates mRNA degradation, regulated by Mcm1p and Cat8p, located in the cytosol
YKL120W	1426.65948857051	2.11620294220364	0.122422063424797	17.2861237835908	5.98435761935898e-67	1.0199493614328e-64	OAC1	Mitochondrial inner membrane transporter; transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family
YMR191W	919.212861792057	1.85572017728191	0.10838785773869	17.1211076221825	1.0329117013090801e-65	1.71644101965036e-63	SPG5	Protein required for proteasome assembly during quiescence; binds to base of the proteasome regulartory particle; required for survival at high temperature during stationary phase; not required for growth on nonfermentable carbon sources
YGR292W	220.199830352753	4.21622696998889	0.248634202660837	16.9575501876556	1.69255532939716e-64	2.74400372548852e-62	MAL12	Maltase (alpha-D-glucosidase); inducible protein involved in maltose catabolism; encoded in the MAL1 complex locus; hydrolyzes the disaccharides maltose, turanose, maltotriose, and sucrose
YJR048W	1582.82775353459	1.70215814659436	0.100445406693783	16.9461023915563	2.05642936360212e-64	3.25454428091983e-62	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YNL052W	2133.73094294271	1.70635578692453	0.104570622123459	16.317735825555	7.38233072049469e-60	1.14117098370066e-57	COX5A	Subunit Va of cytochrome c oxidase; cytochrome c oxidase is the terminal member of the mitochondrial inner membrane electron transport chain; Cox5Ap is predominantly expressed during aerobic growth while its isoform Vb (Cox5Bp) is expressed during anaerobic growth; COX5A has a paralog, COX5B, that arose from the whole genome duplication
YOL119C	548.697520378162	-1.81876317382279	0.111574393405684	-16.3009012938101	9.72474559998957e-60	1.4690996364347898e-57	MCH4	Protein with similarity to mammalian monocarboxylate permeases; monocarboxylate permeases are involved in transport of monocarboxylic acids across the plasma membrane but mutant is not deficient in monocarboxylate transport
YLR327C	1177.23043720023	4.41036785139913	0.274662539676126	16.0574057772848	5.0733039129272e-58	7.49383357982824e-56	TMA10	Protein of unknown function that associates with ribosomes; protein abundance increases in response to DNA replication stress; TMA10 has a paralog, STF2, that arose from the whole genome duplication
YAR015W	3481.62831427748	1.6474017131509	0.104050724312308	15.8326789557584	1.8516665640467898e-56	2.67565818504761e-54	ADE1	N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress
YGR067C	348.379030119666	2.57070759210743	0.162990177746024	15.7721626398443	4.83649293481738e-56	6.840035859091731e-54	YGR067C	Putative protein of unknown function; contains a zinc finger motif similar to that of Adr1p
YPL198W	2700.91914384855	-1.65677915816716	0.105799038299889	-15.6596807002252	2.8532609320977797e-55	3.95117196159457e-53	RPL7B	Ribosomal 60S subunit protein L7B; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds to Domain II of 25S and 5.8S rRNAs; homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7B has a paralog, RPL7A, that arose from the whole genome duplication
YGR289C	240.100226089392	2.83448820021834	0.18236688971245	15.5427786518027	1.78091265716106e-54	2.4158625371733802e-52	MAL11	High-affinity maltose transporter (alpha-glucoside transporter); inducible; encoded in the MAL1 complex locus; broad substrate specificity that includes maltotriose; required for isomaltose utilization
YLR452C	956.231502597505	-1.85515932433084	0.119528669675252	-15.5206222019465	2.51599473280827e-54	3.34476339779531e-52	SST2	GTPase-activating protein for Gpa1p; regulates desensitization to alpha factor pheromone; also required to prevent receptor-independent signaling of the mating pathway; member of the RGS (regulator of G-protein signaling) family
YER015W	845.207798957128	2.2086706047895	0.146914752149055	15.0336883973955	4.41710611620225e-51	5.75696163811694e-49	FAA2	Medium chain fatty acyl-CoA synthetase; activates imported fatty acids; accepts a wide range of fatty acid chain lengths with a preference for medium chains, C9:0-C13:0; localized to the peroxisome; comparative analysis suggests that a mitochondrially targeted form may result from translation starting at a non-canonical codon upstream of the annotated start codon
YPL197C	622.118192235769	-1.79999608763011	0.119879723989823	-15.0150169496797	5.85469054962275e-51	7.48387078525816e-49	YPL197C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the ribosomal gene RPL7B
YKR093W	472.476175268097	-2.02390251970919	0.135871842556722	-14.8956728754471	3.51626764489845e-50	4.40993038408302e-48	PTR2	Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p
YIL125W	2625.13218494147	1.82169688988091	0.12553739571057	14.5111891127715	1.0292078841499301e-47	1.2668786677675101e-45	KGD1	Subunit of the mitochondrial alpha-ketoglutarate dehydrogenase complex; catalyzes a key step in the tricarboxylic acid (TCA) cycle, the oxidative decarboxylation of alpha-ketoglutarate to form succinyl-CoA
YLR041W	175.976697332055	-3.43650285720579	0.237239273390664	-14.4853877188659	1.4987457412948502e-47	1.81130235316124e-45	YLR041W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YLR040C
YKL096W	4894.38599169014	-3.66273655540539	0.257853506279939	-14.2047188275537	8.564571790950261e-46	1.0165840838293999e-43	CWP1	Cell wall mannoprotein that localizes to birth scars of daughter cells; linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond; required for propionic acid resistance
YHR214W-A	232.799111956002	3.13315003934679	0.222613638780774	14.0743849141798	5.45776808262515e-45	6.36452358687883e-43	YHR214W-A	Dubious open reading frame; induced by zinc deficiency; YHR214W-A has a paralog, YAR068W, that arose from a segmental duplication
YHR094C	7308.77579973212	-4.46320868978152	0.321159660706419	-13.8971646687019	6.59006051599369e-44	7.552436594794839e-42	HXT1	Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog, HXT6, what arose from the whole genome duplication
YLR058C	12941.0671047699	2.15361363035292	0.155428549991905	13.8559719592384	1.17061509738015e-43	1.31882687326879e-41	SHM2	Cytosolic serine hydroxymethyltransferase; converts serine to glycine plus 5,10 methylenetetrahydrofolate; major isoform involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis
YNL104C	3746.13656514374	1.04739149733498	0.0763806535837315	13.7127852170942	8.51262816308342e-43	9.43057323333592e-41	LEU4	Alpha-isopropylmalate synthase (2-isopropylmalate synthase); the main isozyme responsible for the first step in the leucine biosynthesis pathway; LEU4 has a paralog, LEU9, that arose from the whole genome duplication
YDR298C	3346.06224934144	1.32183999000032	0.0971722184932059	13.6030648522524	3.8399822348646e-42	4.18432162543361e-40	ATP5	Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated
YAL044C	1879.52574123767	1.89256318514123	0.141197549830678	13.4036545776521	5.75576129715553e-41	6.17073311970852e-39	GCV3	H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF
YPR020W	977.683654480928	1.37935394390005	0.103504485577166	13.3265136888361	1.62307036768593e-40	1.7124680530172e-38	ATP20	Subunit g of the mitochondrial F1F0 ATP synthase; reversibly phosphorylated on two residues; unphosphorylated form is required for dimerization of the ATP synthase complex, which in turn determines oligomerization of the complex and the shape of inner membrane cristae
YIL053W	18394.6630928402	-1.55954768719523	0.117355166519586	-13.2891267887634	2.6768381889599096e-40	2.78014741281508e-38	GPP1	Constitutively expressed DL-glycerol-3-phosphate phosphatase; also known as glycerol-1-phosphatase; involved in glycerol biosynthesis, induced in response to both anaerobic and osmotic stress; GPP1 has a paralog, GPP2, that arose from the whole genome duplication
YBR050C	119.193949661261	3.07764090645344	0.232143916176762	13.2574695780958	4.084464409952989e-40	4.17683614353193e-38	REG2	Regulatory subunit of the Glc7p type-1 protein phosphatase; involved with Reg1p, Glc7p, and Snf1p in regulation of glucose-repressible genes, also involved in glucose-induced proteolysis of maltose permease; REG2 has a paralog, REG1, that arose from the whole genome duplication
YDR322C-A	1319.46105328968	1.35861234596063	0.102583508435967	13.2439645190013	4.8897942541689895e-40	4.92461551628201e-38	TIM11	Subunit e of mitochondrial F1F0-ATPase; ATPase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; essential for the dimeric and oligomeric state of ATP synthase, which in turn determines the shape of inner membrane cristae
YBR296C	213.330930426503	3.77072133460065	0.294962566852545	12.7837283721689	2.02142000206943e-37	2.00542966473962e-35	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YLR038C	1503.93625570569	1.65997806377358	0.130037372194391	12.7653922542521	2.5585849882493502e-37	2.5010168260137404e-35	COX12	Subunit VIb of cytochrome c oxidase; cytochrome c oxidase is also known as respiratory Complex IV and is the terminal member of the mitochondrial inner membrane electron transport chain; required for assembly of cytochrome c oxidase but not required for activity after assembly; phosphorylated; easily released from the intermembrane space, suggesting a loose association with Complex IV
YMR081C	250.820520702609	2.50022340204267	0.197583257008678	12.6540246369805	1.06287383178016e-36	1.02390179128155e-34	ISF1	Serine-rich, hydrophilic protein; overexpression suppresses growth defects of hap2, hap3, and hap4 mutants; expression is under glucose control; cotranscribed with NAM7 in a cyp1 mutant; ISF1 has a paralog, MBR1, that arose from the whole genome duplication
YDL067C	1713.27446020154	1.16534372878976	0.0922896094396135	12.6270306686286	1.49825932629754e-36	1.42270424884282e-34	COX9	Subunit VIIa of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain
YBR299W	115.263322794302	3.1827402645208	0.252207112911852	12.6195499713491	1.64760117150607e-36	1.54247957563392e-34	MAL32	Maltase (alpha-D-glucosidase); inducible protein involved in maltose catabolism; encoded in the MAL3 complex locus; functional in genomic reference strain S288C; hydrolyzes the disaccharides maltose, turanose, maltotriose, and sucrose
YBL100C	899.532526628042	1.6295198516531	0.130290519119813	12.5068183215589	6.85139197351883e-36	6.3251670066638395e-34	YBL100C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the 5' end of ATP1
YJR121W	17451.4446421588	1.2053742478557	0.0966209858022755	12.475284099485	1.0184231561151901e-35	9.27323112150363e-34	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YPL078C	3966.32547848159	1.13669058049568	0.0911612072077643	12.4690163207807	1.1017771447255601e-35	9.89663875809567e-34	ATP4	Subunit b of the stator stalk of mitochondrial F1F0 ATP synthase; ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; contributes to the oligomerization of the complex, which in turn determines the shape of inner membrane cristae; phosphorylated
YBL099W	9257.92901069449	1.46870134161795	0.118597513103505	12.383913483381	3.19380969336651e-35	2.83056707090762e-33	ATP1	Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated; N-terminally propionylated in vivo
YBL045C	6549.89908835646	1.42694472892523	0.115501382029761	12.3543519899835	4.6145953167825804e-35	4.0359493514018196e-33	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YMR120C	6185.76624809685	2.46255366556351	0.19961113148136	12.3367552064273	5.74237820424553e-35	4.95708934072987e-33	ADE17	Enzyme of 'de novo' purine biosynthesis; contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities; ADE17 has a paralog, ADE16, that arose from the whole genome duplication; ade16 ade17 mutants require adenine and histidine
YKR098C	441.764231953776	2.06452427029573	0.167410337792236	12.3321193751959	6.08255521989875e-35	5.18342878803423e-33	UBP11	Ubiquitin-specific protease; cleaves ubiquitin from ubiquitinated proteins; UBP11 has a paralog, UBP7, that arose from the whole genome duplication
YMR189W	2247.58794342316	3.56612351814257	0.289973901901967	12.298084395706	9.274767076683961e-35	7.80371857705295e-33	GCV2	P subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of 5,10-methylene-THF in the cytoplasm
