	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YHR092C	12113.6703001663	7.60299712348021	0.18206294100002	41.760267530114	0.0	0.0	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YIL015W	2060.29173100605	-5.4643315577739	0.137241961131292	-39.8153124068701	0.0	0.0	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YMR011W	26451.2673935899	5.67536255308034	0.120998766902824	46.9043007491003	0.0	0.0	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YFL026W	4093.80258821192	-6.56703904729022	0.178435601076842	-36.803412590642	1.62820717013936e-296	2.646243703269e-293	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YNL145W	2804.5543455644	-8.52981770676893	0.252679940647659	-33.7573995185596	8.32610297437704e-250	1.0825599087285e-246	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YDR277C	1583.72834110519	4.86129032746844	0.14979384366777	32.4532050746383	4.88104276455766e-231	5.28860983539822e-228	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YLR174W	1278.48106609997	4.24328686634993	0.134682489258091	31.5058541739494	7.22218124213178e-218	6.70734289358553e-215	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YDR461W	1542.98059974344	-7.87829896815729	0.262392591364813	-30.0248529395551	4.65074934590348e-198	3.7793151872148194e-195	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YKL178C	1605.29071561142	4.72100178245751	0.16881823239821	27.9649994872684	4.3319514772792204e-172	3.1291129504213604e-169	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YKR075C	2879.24213707444	5.06726092203303	0.194665480616193	26.0306085392909	2.2307849882343303e-149	1.45023332085114e-146	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YPL187W	8842.88797582616	11.7233264539682	0.489525703835672	23.9483368536325	9.61631828914843e-127	5.6832441088867194e-124	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YDL215C	4293.34975339604	3.05515955008779	0.127770285567482	23.9113463393975	2.3340243548034197e-126	1.26445769421475e-123	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YPL134C	1200.86029670967	2.87937466281841	0.122200165579421	23.5627721874651	9.28683113483624e-123	4.64412993904388e-120	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YBR297W	907.091510612408	3.94273004632916	0.167777439313378	23.4997629148747	4.1015643398443096e-122	1.90459069809485e-119	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YGL032C	866.187426422496	-8.01951809760684	0.362092396182691	-22.147711971175	1.0975312689373e-108	4.75670051957424e-106	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YDR342C	3596.69039736726	8.63371129430418	0.413825790533103	20.8631542349789	1.15778215605506e-96	4.70421362282122e-94	HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication
YBR296C	593.832519770348	5.18321479115226	0.250197341219546	20.7165062821512	2.45893612117538e-95	9.40326101397714e-93	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YKL163W	435.052814898188	2.73283315392797	0.13333225549665	20.4964143428642	2.3175382219446702e-93	8.370175544923511e-91	PIR3	O-glycosylated covalently-bound cell wall protein; required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway; coding sequence contains length polymorphisms in different strains; PIR3 has a paralog, HSP150, that arose from the whole genome duplication
YBL045C	3312.17165935835	1.62011044237248	0.0872120230049227	18.5766868666838	4.962099153655869e-77	1.69782139989036e-74	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YMR303C	6824.15522983106	5.21154864253715	0.288605611512021	18.0576829924878	6.86439628034399e-73	2.23127201092581e-70	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YBR230C	1678.62021124588	2.71447649168657	0.152747442702837	17.7710110470881	1.1853499093102399e-70	3.66950464782185e-68	OM14	Mitochondrial outer membrane receptor for cytosolic ribosomes; integral protein of the outer membrane that interacts with the nascent chain-associated complex (NAC) bound to ribosomes, contributing to co-translational mitochondrial import; interacts with porin (Por1p) and Om45p; abundance is decreased in cells grown in glucose relative to other carbon sources
