	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YNL145W	1612.6050981124	7.93042319180306	0.301258837512885	26.324283985408	1.0113128647330101e-152	6.69489116453252e-149	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YKL178C	1409.35852665186	-4.54673797757216	0.18204770366203	-24.9755305126679	1.1278474054379e-137	3.73317491199945e-134	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YFL026W	3016.24132907594	6.3170590400628	0.25542441028206	24.7316183801188	4.8891161723332996e-135	1.07886496869488e-131	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YDR461W	1216.15143177983	7.73051205533949	0.326386422260921	23.6851521021899	5.12905826922426e-124	8.48859143556615e-121	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YLR040C	1382.55007852479	-4.54805584609834	0.192378291270991	-23.6412113656409	1.45348622130886e-123	1.92441575701294e-120	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YLR174W	1126.39022649549	-4.02981105655247	0.176420932490808	-22.8420233339512	1.75412451321907e-115	1.9353840462517102e-112	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YDL215C	3747.61947383105	-3.06977135672872	0.140252885820844	-21.8874024499573	3.4248155471957003e-106	3.23889698891936e-103	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YPL187W	7755.55633317656	-8.09984908511789	0.399631864066102	-20.268276414961	2.4509143283112202e-91	2.0281316066775302e-88	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YBR297W	812.748483675745	-3.44321518214546	0.18406979115375	-18.7060307971415	4.42100983070268e-78	3.25189834213908e-75	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YDR277C	1454.05240521392	-3.52790310593701	0.195075812534297	-18.0847797587246	4.20042522634092e-73	2.7806814998376898e-70	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YIL015W	791.933468069288	4.24736224096247	0.240958692015258	17.6269310122812	1.5305249019985399e-69	9.21097713748212e-67	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YDR281C	253.46040672199	3.67882785519914	0.213775561285533	17.2088326330504	2.27981207698016e-66	1.25769632913405e-63	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YHR092C	10693.1503202474	-6.0384437892843	0.354315060496606	-17.0425828945031	3.96813000090773e-65	2.0206938927699397e-62	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YDR028C	760.067646599692	9.45390147351545	0.564990526845172	16.7328495334333	7.55363338450035e-63	3.5717895003851604e-60	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YMR303C	6066.54649329842	-4.47077698674386	0.267449539505926	-16.7163383231205	9.96573075960831e-63	4.39820917524047e-60	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YKL029C	3095.64151558779	-1.68366335741762	0.103318240195953	-16.295896583453	1.05544470641822e-59	4.3669024728053896e-57	MAE1	Mitochondrial malic enzyme; catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids
YLL052C	271.645501143076	3.4587284771694	0.215527242532948	16.0477554323123	5.92690288988908e-58	2.3080057135921e-55	AQY2	Water channel that mediates water transport across cell membranes; only expressed in proliferating cells; controlled by osmotic signals; may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains
YER065C	1924.54398151242	-2.86033409208145	0.189076341078463	-15.1279323249357	1.05973032132848e-51	3.8974526262192e-49	ICL1	Isocitrate lyase; catalyzes the formation of succinate and glyoxylate from isocitrate, a key reaction of the glyoxylate cycle; expression of ICL1 is induced by growth on ethanol and repressed by growth on glucose
YLL053C	291.349878048816	3.80414066930348	0.257278731565757	14.7860674147144	1.80178031062832e-49	6.27778192439972e-47	YLL053C	Putative protein; in the Sigma 1278B strain background YLL053C is contiguous with AQY2 which encodes an aquaporin
YMR011W	23848.1191533793	-4.2703900879708	0.289492119608827	-14.7513172163067	3.0171784107353597e-49	9.98686053953406e-47	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YBR230C	1592.79821505325	-1.99266833507063	0.136117205842392	-14.639356742144	1.57551740222713e-48	4.966631048925511e-46	OM14	Mitochondrial outer membrane receptor for cytosolic ribosomes; integral protein of the outer membrane that interacts with the nascent chain-associated complex (NAC) bound to ribosomes, contributing to co-translational mitochondrial import; interacts with porin (Por1p) and Om45p; abundance is decreased in cells grown in glucose relative to other carbon sources
YBR298C	636.656599192352	-2.65642509502905	0.181959411563768	-14.5989980523657	2.85003134459417e-48	8.57600340964246e-46	MAL31	Maltose permease; high-affinity maltose transporter (alpha-glucoside transporter); encoded in the MAL3 complex locus; member of the 12 transmembrane domain superfamily of sugar transporters; functional in genomic reference strain S288C
YML123C	11602.6482873313	3.78268977235077	0.262333808698478	14.4193757987882	3.9086141937801104e-47	1.12500112881845e-44	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YJL212C	591.300439311119	2.60509202574194	0.18322117922977	14.2182909022489	7.0555091731064e-46	1.94614461358185e-43	OPT1	Proton-coupled oligopeptide transporter of the plasma membrane; also transports glutathione and phytochelatin; member of the OPT family
