	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YDR277C	1404.65105429234	4.91810168634416	0.144417304175024	34.0547949876128	3.44684796326081e-254	2.2380383825452398e-250	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YLR174W	1119.93880005115	4.69879317841815	0.165039835817779	28.4706607658415	2.70469449074878e-178	8.78079066421593e-175	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YDL215C	3867.06619397872	2.87234665557651	0.12376201573921	23.2086285797824	3.72565366969447e-119	8.06355642577539e-116	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YGR138C	1148.91451121369	-2.79360861174815	0.123894729970883	-22.5482440811218	1.39719829063676e-112	2.26800212527613e-109	TPO2	Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; transcription of TPO2 is regulated by Haa1p; TPO2 has a paralog, TPO3, that arose from the whole genome duplication
YMR011W	23858.9597582303	4.8171374044062	0.223324453623341	21.5701295861258	3.4273272057963897e-103	4.45072710944719e-100	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YKR075C	2660.6893027594	3.7907967251365	0.204864023991088	18.5039649777718	1.9182842528742e-76	2.07590327565203e-73	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YDR028C	777.149645506945	-9.46296613476275	0.56833118353799	-16.6504432782549	3.00369090993867e-62	2.78613786831883e-59	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YBR230C	1501.58544207005	2.63296803417079	0.16462438800837	15.9937908715987	1.41172640360142e-57	1.145792442323e-54	OM14	Mitochondrial outer membrane receptor for cytosolic ribosomes; integral protein of the outer membrane that interacts with the nascent chain-associated complex (NAC) bound to ribosomes, contributing to co-translational mitochondrial import; interacts with porin (Por1p) and Om45p; abundance is decreased in cells grown in glucose relative to other carbon sources
YJL212C	834.170855047137	-3.14502310191155	0.197357599123271	-15.9356574861206	3.5841099025553697e-57	2.5857361774768902e-54	OPT1	Proton-coupled oligopeptide transporter of the plasma membrane; also transports glutathione and phytochelatin; member of the OPT family
YMR303C	6165.56817916395	4.44196352304274	0.282037158029303	15.7495684401317	6.91516100724704e-56	4.4900140420055e-53	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YNL117W	509.774465133286	4.50371362851569	0.291679332800445	15.4406333327598	8.72393979502242e-54	5.14950373537096e-51	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YDR216W	1199.79349880951	2.47109828375565	0.168306462765063	14.6821354519525	8.39058000161349e-49	4.54000299587303e-46	ADR1	Carbon source-responsive zinc-finger transcription factor; required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization
YKL217W	2987.03296333149	5.79610821778784	0.404666200001924	14.3231834478893	1.5677399520131501e-46	7.83025808340107e-44	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YDR384C	3989.18175919882	1.27842433620087	0.0912347322188588	14.0124742530522	1.3076841574768702e-44	6.06485231035522e-42	ATO3	Plasma membrane protein, putative ammonium transporter; regulation pattern suggests a possible role in export of ammonia from the cell; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family of putative transporters
YLR205C	291.890613296982	2.65078000244553	0.192684572419673	13.757095179743	4.61708378593621e-43	1.99858166813892e-40	HMX1	ER localized heme oxygenase; involved in heme degradation during iron starvation and in the oxidative stress response; expression is regulated by AFT1 and oxidative stress; relocates to the perinuclear region in the presence of oxidants
YBR296C	539.800340700656	4.28539063221086	0.3132856868228	13.6788586662587	1.35807607321688e-42	5.51124246462325e-40	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YHR092C	11145.2710515639	4.60139943806893	0.33967385187035	13.5465223853181	8.30735521047108e-42	3.1729210224464e-39	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YER065C	1928.61477442461	3.02954291364862	0.2270439879488	13.3434183438136	1.29387659370178e-40	4.66730040161425e-38	ICL1	Isocitrate lyase; catalyzes the formation of succinate and glyoxylate from isocitrate, a key reaction of the glyoxylate cycle; expression of ICL1 is induced by growth on ethanol and repressed by growth on glucose
YPL134C	1137.5545587069	2.23709177472628	0.185384125961288	12.0673318879171	1.57147117161879e-33	5.37029595648462e-31	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YGR289C	236.018376413159	2.57617534466349	0.216185464721525	11.9165058020064	9.70959668826276e-33	3.1522205648445097e-30	MAL11	High-affinity maltose transporter (alpha-glucoside transporter); inducible; encoded in the MAL1 complex locus; broad substrate specificity that includes maltotriose; required for isomaltose utilization
YMR191W	1015.83348674419	1.75576231666484	0.147642785303593	11.8919614870075	1.30309812889364e-32	4.02905530995545e-30	SPG5	Protein required for proteasome assembly during quiescence; binds to base of the proteasome regulartory particle; required for survival at high temperature during stationary phase; not required for growth on nonfermentable carbon sources
YGR292W	265.293583807983	3.77920977673914	0.318011350775819	11.88388328756	1.43540616381408e-32	4.2364055552931e-30	MAL12	Maltase (alpha-D-glucosidase); inducible protein involved in maltose catabolism; encoded in the MAL1 complex locus; hydrolyzes the disaccharides maltose, turanose, maltotriose, and sucrose
YLL052C	145.789176297389	-2.41627230102014	0.206746917269319	-11.6871019550564	1.48363145940458e-31	4.18835611561475e-29	AQY2	Water channel that mediates water transport across cell membranes; only expressed in proliferating cells; controlled by osmotic signals; may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains
YBR297W	820.08088980626	3.57383794737112	0.306344584826725	11.6660718823953	1.8999504168664402e-31	5.14015752363075e-29	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YOL104C	110.211162986071	2.85434410439131	0.250407453622614	11.3987984906114	4.23929261804181e-30	1.10102907875782e-27	NDJ1	Protein that regulates meiotic SPB cohesion and telomere clustering; localizes to both spindle pole bodies (SPBs) and telomeres; required for bouquet formation, effective homolog pairing, ordered cross-over distribution, sister chromatid cohesion at meiotic telomeres, chromosomal segregation and telomere-led rapid prophase movement
YJR095W	1151.19067256679	5.88933040383991	0.521613604041481	11.2905997048566	1.46036833468359e-29	3.6469890758079e-27	SFC1	Mitochondrial succinate-fumarate transporter; transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YBR299W	141.417877269577	2.84860895567493	0.252948660907947	11.2616091559844	2.03017334707436e-29	4.88219094168659e-27	MAL32	Maltase (alpha-D-glucosidase); inducible protein involved in maltose catabolism; encoded in the MAL3 complex locus; functional in genomic reference strain S288C; hydrolyzes the disaccharides maltose, turanose, maltotriose, and sucrose
YDL047W	935.629364008618	13.2845894353941	1.19061981958001	11.1577089654699	6.566190200886519e-29	1.5226526062270099e-26	SIT4	Ceramide-activated, type 2A-related serine-threonine phosphatase; functions in G1/S transition of mitotic cycle; controls lifespan, mitochondrial function, cell cycle progression by regulating HXK2 phosphorylation; regulator of COPII coat dephosphorylation; required for ER to Golgi traffic; interacts with Hrr25p kinase; cytoplasmic and nuclear protein that modulates functions mediated by Pkc1p including cell wall and actin cytoskeleton organization; similar to human PP6
YNL104C	4000.38000498115	1.32584847565164	0.119237322797013	11.1194082905463	1.0093920868271699e-28	2.2599940757823399e-26	LEU4	Alpha-isopropylmalate synthase (2-isopropylmalate synthase); the main isozyme responsible for the first step in the leucine biosynthesis pathway; LEU4 has a paralog, LEU9, that arose from the whole genome duplication
YGL009C	4859.03462546838	2.64377264340023	0.241957635127934	10.9265931699256	8.601746009567869e-28	1.8617045613374701e-25	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YBR115C	586.857913869797	12.6118187059674	1.18811277145474	10.6150013777947	2.5379068841817598e-26	5.3156869029007e-24	LYS2	Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p
YLL053C	172.19852776226	-2.94437908212757	0.277549632087504	-10.6084776981411	2.7214683434703e-26	5.5220293606727e-24	YLL053C	Putative protein; in the Sigma 1278B strain background YLL053C is contiguous with AQY2 which encodes an aquaporin
YHR046C	734.08658058085	-1.24434537249718	0.117431897714588	-10.5963149426529	3.09953944320725e-26	6.09857866810445e-24	INM1	Inositol monophosphatase; involved in biosynthesis of inositol and in phosphoinositide second messenger signaling; INM1 expression increases in the presence of inositol and decreases upon exposure to antibipolar drugs lithium and valproate
YBR298C	628.287493053946	2.99406027821811	0.290345678873276	10.3120538588243	6.215850850407151e-25	1.18704469328511e-22	MAL31	Maltose permease; high-affinity maltose transporter (alpha-glucoside transporter); encoded in the MAL3 complex locus; member of the 12 transmembrane domain superfamily of sugar transporters; functional in genomic reference strain S288C
YBR050C	176.478751326097	3.47474190244502	0.340358771512958	10.2090564230184	1.80612639552811e-24	3.35062248176115e-22	REG2	Regulatory subunit of the Glc7p type-1 protein phosphatase; involved with Reg1p, Glc7p, and Snf1p in regulation of glucose-repressible genes, also involved in glucose-induced proteolysis of maltose permease; REG2 has a paralog, REG1, that arose from the whole genome duplication
YFL052W	75.3968265701766	2.85987483191301	0.284702460778559	10.0451356271817	9.65148193464427e-24	1.74075200560126e-21	ZNF1	Zinc cluster transcription factor that regulates respiratory growth; binds to promoters of genes involved in respiration, gluconeogenesis, and the glyoxylate shunt; required for normal carbon source utilization and stress response
YKL120W	1295.1997484185	2.2430370446133	0.228877719334068	9.80015464650527	1.12413407782468e-22	1.9727033965717902e-20	OAC1	Mitochondrial inner membrane transporter; transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family
YFL054C	809.897240354857	3.6455570403709	0.378725534142828	9.62585490471856	6.21876273643493e-22	1.06259016967558e-19	AQY3	Putative channel-like protein; similar to Fps1p; mediates passive diffusion of glycerol in the presence of ethanol
YJR008W	519.465572123712	1.60195629344156	0.167095575433636	9.58706590096278	9.062551431455109e-22	1.5087986267804601e-19	MHO1	Protein of unknown function; inhibits haploid invasive growth when overexpressed; synthetically lethal with phospholipase C (PLC1); expression induced by mild heat-stress on a non-fermentable carbon source, upon entry into stationary phase and upon nitrogen deprivation; repressed by inosine and choline in an Opi1p-dependent manner; highly conserved from bacteria to human; Memo, the human homolog, is an ErbB2 interacting protein with an essential function in cell motility
