	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YHR092C	16870.5891289696	6.68666374990566	0.337998028075772	19.7831442626247	4.15928845612858e-87	2.7455463098904696e-83	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YPL187W	12341.4722729519	10.0040983481926	0.544134583793495	18.3853381978553	1.72162731301398e-75	5.68223094660262e-72	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YNL145W	1203.12359822962	-8.41863455650308	0.474624479958633	-17.7374638519211	2.15441798621245e-70	4.74043770899612e-67	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YDR461W	870.972417607881	-8.15124646053145	0.463070747969481	-17.6025941959708	2.35295230857522e-69	3.88295954722626e-66	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YFL026W	1743.29406244168	-6.40322772451255	0.399992245828255	-16.0083796405941	1.1168056020214099e-57	1.47440675578867e-54	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YMR011W	36561.527870773	5.05391237799466	0.321377641241759	15.7257746944282	1.0071144273554799e-55	1.10799372249558e-52	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YIL015W	819.540620008655	-5.16666216656168	0.375473990027968	-13.7603730319025	4.41244258116584e-43	4.1609333540393895e-40	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YKL178C	2180.72410171325	4.96169405273687	0.381568900503821	13.0034026520125	1.17018490929702e-38	9.655488232837009e-36	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YDR028C	387.447743979256	-9.37424990182121	0.727721454512564	-12.8816456402267	5.71048132286325e-38	4.18832080135782e-35	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YLR174W	1722.83865325938	4.3083219696973	0.34291410347613	12.5638517810254	3.33684130430955e-36	2.2026489449747298e-33	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YBR297W	1201.91629489177	4.8823156548482	0.405276414814696	12.046878319037	2.01435063919923e-33	1.2087935063049198e-30	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YDR277C	2186.46567943348	3.82709599480035	0.324214525073349	11.8042089383087	3.71266087512985e-32	2.04227286972768e-29	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YLR040C	2159.39889268444	4.04842742968367	0.346169587777213	11.6949251829977	1.35306392224151e-31	6.87044226978171e-29	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YBR296C	812.535737205803	5.45478170653556	0.491261043663535	11.1036317186012	1.20447967591125e-28	5.67912167192156e-26	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YGL032C	250.480751533261	-7.37578504093698	0.70100187134959	-10.5217765349712	6.85683466928452e-26	3.01746437679647e-23	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
