	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
ETS2-2	4.51678472835661	0.853820899946574	0.90350174277754	0.945013008300086	0.344652234925675	0.999995299659281	ETS2-2	ETS2-2
HRA1	19.6301744401551	0.384829317812178	0.401552291432369	0.958354182065457	0.337884190811356	0.999995299659281	HRA1	HRA1
ICR1	93.3914470516702	-0.0229502382939032	0.278690553127373	-0.0823502556378867	0.934368191875674	0.999995299659281	ICR1	Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11, repressing FLO11 transcription in cis
IRT1	72.0920611539856	-0.12584109604662	0.237236859574251	-0.530444958142074	0.595803461923726	0.999995299659281	IRT1	IRT1
LSR1	28.8164471728313	0.0253178562063439	0.441847144194558	0.0573000335953188	0.954306193593504	0.999995299659281	LSR1	LSR1
NME1	8.29643203827837	0.52956269760874	0.608634556266618	0.870083192214869	0.384254942233861	0.999995299659281	NME1	NME1
Q0020	2.40641062308999	-3.59393917220386	1.87453072405488	-1.91724740815646	0.0552065078219774	0.999995299659281	Q0020	Q0020
Q0050	0.178412284226602	-0.893056999068689	4.0804728567969	-0.218861154187342	0.826758207311335	0.999995299659281	AI1	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0055	0.338263432284138	0.0687281593096446	3.3516050945446	0.0205060433347333	0.983639691207108	0.999995299659281	AI2	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0085	0.178412284226602	-0.893056999068689	4.0804728567969	-0.218861154187342	0.826758207311335	0.999995299659281	ATP6	Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase; mutations in human ortholog MT-ATP6 are associated with neurodegenerative disorders such as Neurogenic Ataxia and Retinitis Pigmentosa (NARP), Leigh syndrome (LS), Charcot-Marie-Tooth (CMT), and ataxia telangiectasia
Q0158	7.29815606835919	-0.192390883358929	0.677284694707717	-0.284062056713027	0.776362824045171	0.999995299659281	Q0158	Q0158
RDN5-1	9.08370037121638	1.2998335043708	0.61998930186613	2.09654182815475	0.0360341534565592	0.999995299659281	RDN5-1	RDN5-1
RDN5-2	0.17668687390801	1.0304963525738	4.0804728567969	0.252543366599606	0.80062109838567	0.999995299659281	RDN5-2	RDN5-2
RME2	142.889065388028	-0.212158017906653	0.186219699717797	-1.13928879827518	0.254582718966868	0.999995299659281	RME2	RME2
RNA170	8.37826690699747	-0.215641800522385	0.612116260973015	-0.352288959256862	0.724621567336324	0.999995299659281	RNA170	RNA170
RPR1	12.7964206181948	-0.0130858946299677	0.570610454213837	-0.0229331491095741	0.981703598177989	0.999995299659281	RPR1	RPR1
RUF20	40.4572123481249	-0.346041844124393	0.352080967643019	-0.982847344577997	0.325682576354981	0.999995299659281	RUF20	RUF20
RUF21	1.98305354898231	0.558975233852775	1.19719964417076	0.466902271959788	0.640569799732591	0.999995299659281	RUF21	RUF21
RUF22	0.356824568453204	-1.90585563079501	4.0279023181607	-0.473163319329279	0.63609666501074	0.999995299659281	RUF22	RUF22
RUF23	6.16125844875171	-0.478985496850806	0.706859355023999	-0.677624895881223	0.498009556821869	0.999995299659281	RUF23	RUF23
RUF5-2	1.14618653752631	0.441252750074415	1.79204588277049	0.246228489078774	0.805505363218126	0.999995299659281	RUF5-2	RUF5-2
SCR1	18.3277086973347	-0.101204422704974	0.417001630116288	-0.242695508592501	0.80824128707424	0.999995299659281	SCR1	SCR1
SRG1	125.398601148959	-0.286335460321105	0.252459569954665	-1.13418342736036	0.256717614202912	0.999995299659281	SRG1	SRG1
YAL001C	449.940940938225	0.210407469306246	0.148769891192276	1.41431486989734	0.157269472856288	0.999995299659281	TFC3	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)
YAL002W	345.056994299671	0.004494576245988	0.127041476454514	0.0353788099085681	0.971777681375937	0.999995299659281	VPS8	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
YAL003W	21588.1072895682	-0.148538363701541	0.156795288959984	-0.947339455711898	0.343465831640601	0.999995299659281	EFB1	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants
