	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YHR092C	19724.1153603454	-8.56082224353664	0.138617439155025	-61.7586235593527	0.0	0.0	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YLR174W	1887.93801906746	-5.41212156672984	0.135043226365144	-40.0769569300423	0.0	0.0	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YMR011W	17759.8494026233	-4.92874239032941	0.111593780383051	-44.1668198121012	0.0	0.0	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YMR303C	6610.7292739258	-5.03081363783927	0.0959953216703973	-52.4068626501687	0.0	0.0	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YFR053C	13031.8555839203	-6.17452679306984	0.165659594628691	-37.272376567801	4.60010165181043e-304	6.08869454633628e-301	HXK1	Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication
YDR342C	3332.03505106186	-8.77435749494656	0.244986169335074	-35.8157259193911	6.28611411462877e-281	6.93358386843554e-278	HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication
YDL215C	3384.52846862348	-3.16438317608869	0.0885062341496249	-35.7532235609427	5.89506748948179e-280	5.57336523505578e-277	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YDR277C	1416.56141324635	-5.06217690662617	0.141730158292129	-35.7170059472607	2.15283029266114e-279	1.7809288596039298e-276	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YBL045C	5326.78375633859	-2.45908473792735	0.0725480419773845	-33.8959490966541	7.64311699491358e-252	5.62023869692646e-249	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YKL148C	3631.08700340057	-3.62423145226426	0.108762992837571	-33.3222850687528	1.83660759341699e-243	1.2154669053233602e-240	SDH1	Flavoprotein subunit of succinate dehydrogenase; couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; FAD binding to Sdh1p is required for the assembly of the succinate dehydrogenase subunits; mutations in human ortholog SDHA are associated with Leigh syndrome
