	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YFL026W	4037.6143657679	6.70050669698906	0.154097636421254	43.4822159028579	0.0	0.0	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YHR092C	10896.6989106434	-7.70629115051449	0.138936082668975	-55.4664490496344	0.0	0.0	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YIL015W	2323.02474268452	5.7942182871248	0.128152781740418	45.2133633654661	0.0	0.0	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YMR011W	23907.6769940408	-5.37456349452167	0.112755670851669	-47.6655715311381	0.0	0.0	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YJL079C	3708.56707555501	-2.91662355674518	0.0795157473425267	-36.6798232327662	1.53194944867891e-294	2.0276882902714103e-291	PRY1	Sterol binding protein involved in the export of acetylated sterols; secreted glycoprotein and member of the CAP protein superfamily (cysteine-rich secretory proteins (CRISP), antigen 5, and pathogenesis related 1 proteins); sterol export function is redundant with that of PRY2; may be involved in detoxification of hydrophobic compounds; PRY1 has a paralog, PRY2, that arose from the whole genome duplication
YNL145W	2810.24264284098	8.68377627384383	0.246815450887966	35.1832765841939	3.6035380601507103e-271	3.9747024803462397e-268	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YDL215C	3787.82128883943	-3.34948527362833	0.0960761910413223	-34.8628025041888	2.7240034424546698e-266	2.57535068316643e-263	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YLR174W	1135.92810035366	-4.66086321052239	0.138403889402627	-33.6758109229403	1.30673465582385e-248	1.0809962440302802e-245	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YDR461W	1508.8123626182	7.99795110257559	0.25835341417395	30.9574043298323	2.01977033580294e-210	1.48520445359376e-207	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YDR277C	1419.13012249077	-5.0695496831376	0.175713386438676	-28.8512434134144	4.88811406373519e-183	3.2349538873799502e-180	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YKL178C	1439.61253087929	-4.8774009195599	0.169522054290202	-28.7714830968858	4.87922624843384e-182	2.93551993746683e-179	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YBR105C	2769.0233078202	-2.65738835807462	0.104990884968173	-25.3106577669117	2.43812177917131e-141	1.3446241612129798e-138	VID24	GID Complex regulatory subunit; binds GID Complex in response to glucose through interactions with complex member Vid28p; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; promotes proteasome-dependent catabolite degradation of FBPase; peripheral membrane protein located at Vid (vacuole import and degradation) vesicles
YBR297W	801.145331860779	-4.45955074524381	0.178477513769706	-24.9866252114991	8.5445675834811e-138	4.34984217442138e-135	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YPL187W	7954.5668858152	-11.9442949363604	0.482871843007651	-24.7359524257271	4.39136244897965e-135	2.07585976338195e-132	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YKR075C	2620.31480510348	-4.60565691431809	0.193632392588271	-23.7855704448754	4.71064882467137e-125	2.0783382614450098e-122	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YGL032C	899.446402662209	8.22249904202222	0.353359294134133	23.2695140003902	9.0276892204431e-120	3.73407795380578e-117	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YLR040C	1539.76539382019	-2.96518547685819	0.130639000708094	-22.6975517325315	4.73647465213166e-114	1.8438817204592503e-111	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YBL045C	3066.08510329861	-1.46103486194276	0.0655563613983285	-22.2866985106958	4.97343295112031e-110	1.82856551502857e-107	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YBR230C	1512.44796676676	-2.70457013905747	0.124571570587347	-21.710974071416	1.61596539758473e-104	5.6286626322188096e-102	OM14	Mitochondrial outer membrane receptor for cytosolic ribosomes; integral protein of the outer membrane that interacts with the nascent chain-associated complex (NAC) bound to ribosomes, contributing to co-translational mitochondrial import; interacts with porin (Por1p) and Om45p; abundance is decreased in cells grown in glucose relative to other carbon sources
YER062C	2224.0581496942	-2.03982590022976	0.095175476349766	-21.4322636299027	6.6849801740181e-102	2.2120599395825898e-99	GPP2	DL-glycerol-3-phosphate phosphatase involved in glycerol biosynthesis; also known as glycerol-1-phosphatase; induced in response to hyperosmotic or oxidative stress, and during diauxic shift; GPP2 has a paralog, GPP1, that arose from the whole genome duplication
YBR298C	635.68130680779	-3.02581404208061	0.141878069280679	-21.3268622657573	6.39567465922949e-101	2.0155511854657503e-98	MAL31	Maltose permease; high-affinity maltose transporter (alpha-glucoside transporter); encoded in the MAL3 complex locus; member of the 12 transmembrane domain superfamily of sugar transporters; functional in genomic reference strain S288C
YFR053C	22109.5245334834	-6.95012829153253	0.338643604585825	-20.5234299346442	1.32990408107627e-93	4.00059327661944e-91	HXK1	Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication
YDR216W	1216.20817318749	-2.47437509089682	0.123205256542764	-20.0833565087214	1.03181774732145e-89	2.9689434138145e-87	ADR1	Carbon source-responsive zinc-finger transcription factor; required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization
YBR296C	532.284672583434	-5.38507054317485	0.272329284433296	-19.7741148344766	4.97481383376549e-87	1.37180491466083e-84	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YDR178W	1390.98249528583	-1.88274346238023	0.101139144731419	-18.6153785201562	2.4114997015739497e-77	6.38372201000656e-75	SDH4	Membrane anchor subunit of succinate dehydrogenase (SDH); involved in coupling the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; has similarity to human SDH subunit D (SDHD), which is implicated in paraganglioma
YDR342C	3238.55494669286	-8.73460180867833	0.473810268159327	-18.4348090272733	6.90621618767036e-76	1.7578976434616302e-73	HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication
YPL134C	1073.59316916347	-2.9624628967239	0.162481098948203	-18.2326616197265	2.84149471038032e-74	6.96481925677665e-72	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YMR303C	6178.56670456014	-4.93520954643048	0.270915990030076	-18.216752528644	3.8005147072477804e-74	8.982787975916349e-72	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
