	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YGL009C	4119.96672962132	2.32429460903568	0.0634346889956479	36.6407504448418	6.42389681172601e-294	3.92114661387755e-290	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YOR382W	1773.481074627	-2.42682670646849	0.0878853968472953	-27.6135375560198	7.653497688671729e-168	2.3358474945826097e-164	FIT2	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
YOR383C	2192.88748536709	-2.62497769282518	0.104562532192467	-25.1043814431867	4.45456709667478e-139	9.06355918603429e-136	FIT3	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
YOR153W	12228.6636527499	-1.96327506629865	0.107104968282353	-18.3303827804048	4.73560694199625e-75	7.22653619348627e-72	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YOR375C	2971.70025164016	1.27593554731887	0.0702311597871371	18.1676559405553	9.30911817702609e-74	1.13645714705135e-70	GDH1	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh3p; expression regulated by nitrogen and carbon sources; GDH1 has a paralog, GDH3, that arose from the whole genome duplication
YOR221C	375.591918658814	1.99266519323787	0.119973692866413	16.6091844439318	5.98006813284811e-62	6.08372264715081e-59	MCT1	Predicted malonyl-CoA:ACP transferase; putative component of a type-II mitochondrial fatty acid synthase that produces intermediates for phospholipid remodeling
YKL120W	1306.17115432244	1.6629124014467	0.101312555402005	16.4136853013756	1.52651626204552e-60	1.33112218050369e-57	OAC1	Mitochondrial inner membrane transporter; transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family
YHR208W	5794.13188402743	1.6901627499521	0.104611420235194	16.1565797133063	1.0206990718634201e-58	7.787933918317869e-56	BAT1	Mitochondrial branched-chain amino acid (BCAA) aminotransferase; preferentially involved in BCAA biosynthesis; homolog of murine ECA39; highly expressed during logarithmic phase and repressed during stationary phase; BAT1 has a paralog, BAT2, that arose from the whole genome duplication
YJR148W	1633.77248226593	-1.14896482550441	0.0764170787646366	-15.0354455323162	4.30144551779683e-51	2.91733593784799e-48	BAT2	Cytosolic branched-chain amino acid (BCAA) aminotransferase; preferentially involved in BCAA catabolism; homolog of murine ECA39; highly expressed during stationary phase and repressed during logarithmic phase; BAT2 has a paralog, BAT1, that arose from the whole genome duplication
YHL047C	953.702546041323	-1.32712104055394	0.0901056079665414	-14.7285065880332	4.2294939749410595e-49	2.58168312230402e-46	ARN2	Transporter; member of the ARN family of transporters that specifically recognize siderophore-iron chelates; responsible for uptake of iron bound to the siderophore triacetylfusarinine C
