	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YEL071W	4071.73092773071	1.90332620488265	0.047401526308254	40.1532683252695	0.0	0.0	DLD3	2-hydroxyglutarate transhydrogenase, and minor D-lactate dehydrogenase; converts D-2-hydroxyglutarate (D-2HG), an oncometabolite, to alpha-ketoglutarate in the presence of FAD, with concomitant reduction of pyruvate to D-lactate; minor lactate dehydrogenase activity; component of the retrograde regulon that consists of genes whose expression are stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source; located in the cytoplasm
YER091C	8122.64711108919	2.08579619391866	0.0403547615887042	51.6864952685657	0.0	0.0	MET6	Cobalamin-independent methionine synthase; involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs
YKL096W	5093.81173106088	-1.90442300194746	0.0486682975281583	-39.1306681900186	0.0	0.0	CWP1	Cell wall mannoprotein that localizes to birth scars of daughter cells; linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond; required for propionic acid resistance
YOL155C	2594.49078141241	-2.36067676396357	0.0580906499493338	-40.6378094585365	0.0	0.0	HPF1	Haze-protective mannoprotein; reduces the particle size of aggregated proteins in white wines
YNL036W	3385.70236456873	-1.91889575732627	0.0539212225840843	-35.5870224257983	2.2242677094542302e-277	2.8239302839230996e-274	NCE103	Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate, which is an important metabolic substrate, and protons; not expressed under conditions of high CO2, such as inside a growing colony, but transcription is induced in response to low CO2 levels, such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress
YGR234W	5689.76788243771	-1.62801057292906	0.0460403546471357	-35.3605133020048	6.91145175062885e-274	7.312315952165321e-271	YHB1	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YKL029C	2923.75403766933	2.09536801351354	0.0606927453101076	34.52419235293	3.47811879592894e-261	3.1541568737938397e-258	MAE1	Mitochondrial malic enzyme; catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids
YMR145C	3057.84841957172	-1.73057261901151	0.050444703884638	-34.3063292227695	6.31465126920158e-258	5.01067578211146e-255	NDE1	Mitochondrial external NADH dehydrogenase; type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain; NDE1 has a paralog, NDE2, that arose from the whole genome duplication
YBL045C	3251.87596150343	-1.66487365251773	0.0485848419660767	-34.2673472866329	2.4060581542188997e-257	1.69707301810907e-254	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YJR121W	8930.1641439128	-1.3405766904959	0.0408217115205536	-32.8397962888185	1.59299238704689e-236	1.01123156729737e-233	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YKL216W	11263.3298486503	1.15033951513639	0.0359999085382463	31.9539566028138	4.7603690078019e-224	2.7471656783205897e-221	URA1	Dihydroorotate dehydrogenase; catalyzes the fourth enzymatic step in the de novo biosynthesis of pyrimidines, converting dihydroorotic acid into orotic acid
YBL030C	5922.41156319258	-1.33370418123116	0.042356050417848	-31.487926000512	1.27102250221823e-217	6.72370903673444e-215	PET9	Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog, AAC3, that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant
YKL085W	2709.33629850913	-1.74816095881685	0.0558856234907132	-31.2810495727465	8.44809198555404e-215	4.125268301869e-212	MDH1	Mitochondrial malate dehydrogenase; catalyzes interconversion of malate and oxaloacetate; involved in the tricarboxylic acid (TCA) cycle; phosphorylated
YBR067C	7047.75020874659	-1.35599060295964	0.0449722984407078	-30.1516855925743	1.0194184693822e-199	4.62233460259871e-197	TIP1	Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins
YER062C	2050.82850013392	-2.01077229182349	0.0676427791264205	-29.7263406056316	3.50745872862562e-194	1.48435653395436e-191	GPP2	DL-glycerol-3-phosphate phosphatase involved in glycerol biosynthesis; also known as glycerol-1-phosphatase; induced in response to hyperosmotic or oxidative stress, and during diauxic shift; GPP2 has a paralog, GPP1, that arose from the whole genome duplication
YCR005C	2005.34690118588	2.27387284339885	0.0790979386158634	28.7475613548141	9.71619722893521e-182	3.8549012505800396e-179	CIT2	Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication
YBR039W	3090.24740788668	-1.49894709002551	0.0525452323857771	-28.5267953335999	5.45125236567397e-179	2.0355617657234298e-176	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YLR058C	4917.19870366887	1.24846994343427	0.0449161812304151	27.7955496044902	4.90973242964148e-170	1.73149897018689e-167	SHM2	Cytosolic serine hydroxymethyltransferase; converts serine to glycine plus 5,10 methylenetetrahydrofolate; major isoform involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis
YDR074W	2659.23941323236	-1.82024287994886	0.0664057519865805	-27.4109218779225	2.03228713671535e-165	6.789978286246859e-163	TPS2	Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex; involved in synthesis of the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress
YOL058W	2343.82605249817	1.66481280902985	0.0614684444000928	27.0840237666295	1.51882083845254e-161	4.820737341248369e-159	ARG1	Arginosuccinate synthetase; catalyzes the formation of L-argininosuccinate from citrulline and L-aspartate in the arginine biosynthesis pathway; potential Cdc28p substrate
YOL143C	4435.62489504377	1.35823024891847	0.0507672566899668	26.7540603427346	1.10751343544994e-157	3.3478548991601204e-155	RIB4	Lumazine synthase (DMRL synthase); catalyzes synthesis of immediate precursor to riboflavin; DMRL synthase stands for 6,7-dimethyl-8-ribityllumazine synthase
