	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YDR028C	846.58796311978	9.52411074728752	0.55918988071045	17.0319797904553	4.7567332905578705e-65	3.2146003577590106e-61	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YKR075C	489.352399539898	2.14124461382368	0.127625865528411	16.7775129669699	3.56454984977673e-63	1.20446139423956e-59	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YLR303W	2032.55379237675	14.4406932632318	1.19468269453714	12.0874717021214	1.23014267726263e-33	2.77110140431361e-30	MET17	O-acetyl homoserine-O-acetyl serine sulfhydrylase; required for Methionine and cysteine biosynthesis
YDR477W	718.853234518298	12.941477345098	1.18655365084872	10.9067780760197	1.06981006994864e-27	1.80744411317823e-24	SNF1	AMP-activated S/T protein kinase; forms a complex with Snf4p and members of the Sip1p/Sip2p/Gal83p family; required for transcription of glucose-repressed genes, thermotolerance, sporulation, and peroxisome biogenesis; regulates nucleocytoplasmic shuttling of Hxk2p; regulates filamentous growth and acts as a non-canonical GEF, activating Arf3p during invasive growth; SUMOylation by Mms21p inhibits its function and targets Snf1p for destruction via the Slx5-Slx8 Ub ligase
YDR476C	678.682131548441	0.962471934503081	0.112154974206576	8.58162503546494	9.35421336813327e-18	1.2643154788368901e-14	YDR476C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YDR476C is not an essential gene
YER125W	1820.87967304046	0.899306908983563	0.112466519835965	7.99621887736213	1.2829822597331402e-15	1.44506568521276e-12	RSP5	NEDD4 family E3 ubiquitin ligase; regulates processes including: MVB sorting, the heat shock response, transcription, endocytosis and ribosome stability; ubiquitinates Sec23p, Sna3p, Ste4p, Nfi1p, Rpo21p and Sem1p; autoubiquitinates; deubiquitinated by Ubp2p; regulated by SUMO ligase Siz1p, in turn regulates Siz1p SUMO ligase activity; required for efficient Golgi-to-ER trafficking in COPI mutants; mutant tolerates aneuploidy; human homolog implicated in Liddle syndrome
YLR136C	1170.39260511589	0.976481314406451	0.128956954891269	7.57214928989119	3.6709923639826504e-14	3.54408091368496e-11	TIS11	mRNA-binding protein expressed during iron starvation; binds to a sequence element in the 3'-untranslated regions of specific mRNAs to mediate their degradation; involved in iron homeostasis; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; TIS11 has a paralog, CTH1, that arose from the whole genome duplication
YGL209W	2062.6126935561	1.00293071565217	0.134742055303336	7.44333840978109	9.81721693921309e-14	8.293094009400259e-11	MIG2	Zinc finger transcriptional repressor; cooperates with Mig1p in glucose-induced gene repression; under low glucose conditions relocalizes to mitochondrion, where it interacts with Ups1p, antagonizes mitochondrial fission factor Dnm1p, indicative of a role in mitochondrial fusion or regulating morphology; regulates filamentous growth in response to glucose depletion; activated in stochastic pulses of nuclear localization in response to low glucose
YMR291W	698.887794152168	1.20577846251441	0.169406987691944	7.11764301427188	1.09788279208669e-12	8.24387989880204e-10	TDA1	Protein kinase of unknown cellular role; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene; relocalizes from nucleus to cytoplasm upon DNA replication stress
YNL190W	5091.29749666534	0.626976676439857	0.0886699115759636	7.0709067517534	1.53924551431109e-12	1.04022211857143e-09	YNL190W	Hydrophilin essential in desiccation-rehydration process; cell wall protein; contains a putative GPI-attachment site
