	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YHR092C	12113.6703001663	-7.60299678690419	0.182062940653669	-41.7602657608781	0.0	0.0	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YIL015W	2060.29173100605	5.46433170951215	0.137241961805175	39.8153133169954	0.0	0.0	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YMR011W	26451.2673935899	-5.67536236701551	0.120998766855785	-46.9042992295933	0.0	0.0	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YFL026W	4093.80258821192	6.56703932731002	0.178435601709613	36.8034140294338	1.62812089130631e-296	2.64610347859558e-293	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YNL145W	2804.5543455644	8.52981802066701	0.252679942988934	33.7574004480466	8.32584150095795e-250	1.08252591195455e-246	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YDR277C	1583.72834110519	-4.86129013647509	0.149793843287799	-32.4532038819184	4.88123188062699e-231	5.28881474265935e-228	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YLR174W	1278.48106609997	-4.24328671067643	0.134682488944569	-31.5058530914351	7.22242781036918e-218	6.70757188503e-215	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YDR461W	1542.98059974344	7.87829927251101	0.26239259381869	30.0248538186821	4.65062645206013e-198	3.77921532060536e-195	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YKL178C	1605.29071561142	-4.72100153171365	0.168818232063484	-27.9649980574274	4.33212491693782e-172	3.12923823166809e-169	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YKR075C	2879.24213707444	-5.06726055577633	0.194665480345944	-26.0306066939613	2.2308923043641103e-149	1.45030308706711e-146	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YPL187W	8842.88797582616	-11.7233251856625	0.489525726034402	-23.9483331767505	9.61716656474073e-127	5.68374543976177e-124	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YDL215C	4293.34975339604	-3.05515936531811	0.127770285525255	-23.9113449011917	2.33410476186738e-126	1.2645012547416599e-123	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YPL134C	1200.86029670967	-2.87937452209759	0.12220016546347	-23.5627710582629	9.287078677553789e-123	4.6442537294444e-120	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YBR297W	907.091510612408	-3.94272981000402	0.167777438978544	-23.49976155321	4.1016958238881796e-122	1.90465175364979e-119	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YGL032C	866.187426422496	8.0195185359434	0.362092390789683	22.1477135116088	1.09749374898254e-108	4.75653790809033e-106	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YDR342C	3596.69039736726	-8.63370999327692	0.413825792489352	-20.8631509924531	1.1578606610037199e-96	4.70453259824076e-94	HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication
YBR296C	593.832519770348	-5.18321436593866	0.250197340599495	-20.716504633979	2.45902027616641e-95	9.40358283256343e-93	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YKL163W	435.052814898188	-2.73283301449742	0.133332255184119	-20.4964133451702	2.31758572639539e-93	8.37034711516469e-91	PIR3	O-glycosylated covalently-bound cell wall protein; required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway; coding sequence contains length polymorphisms in different strains; PIR3 has a paralog, HSP150, that arose from the whole genome duplication
YBL045C	3312.17165935835	-1.62011035527021	0.0872120230062909	-18.576685867651	4.9621915100577e-77	1.6978530003623701e-74	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
