	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YKL209C	1280.78971041629	4.46551384466261	0.137244891450823	32.5368310430896	3.2153877763149597e-232	2.0498097074007798e-228	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YNL145W	2717.72360643721	8.51909505607042	0.264391873236447	32.2214709241526	8.83235503199245e-228	2.81531316644759e-224	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YIL015W	1999.93174634964	5.38381553045074	0.181161512380579	29.7183185308178	4.4530791947165704e-194	9.46279328877272e-191	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YJR121W	12476.1417798932	-2.03043759149809	0.0779852359549144	-26.0361793695405	1.9292137888994902e-149	3.07468447605856e-146	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YBR039W	4186.85989776873	-2.0307447108657	0.0815998530229796	-24.88662216455	1.03858724542127e-136	1.32419873791212e-133	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YFL026W	3992.94261228605	5.84353531416408	0.240234248004174	24.3243224590632	1.08413168371895e-130	1.15188991395139e-127	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YBL045C	3934.9595509598	-1.99818712088748	0.0911768238069891	-21.9155157797272	1.84789350001612e-106	1.68290300894325e-103	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YOR153W	10619.3296310601	3.26901370148493	0.160694074624384	20.3430880020071	5.34562952817787e-92	4.25979853026674e-89	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YKL178C	1115.11500162233	-4.21949576121005	0.208025689948019	-20.2835321073296	1.7974866863048802e-91	1.27321973613262e-88	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YPL187W	8395.36177600685	-11.6809328816301	0.639199765589761	-18.2743072048104	1.32562647725167e-74	8.45086879247938e-72	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YHR051W	1054.64476413884	-1.76747207226984	0.0997898257856234	-17.7119466674576	3.3913762148004396e-70	1.9654566699411603e-67	COX6	Subunit VI of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; expression is regulated by oxygen levels
YDR028C	847.43371018408	-9.68676401293549	0.560305452553205	-17.2883629256056	5.756396869915781e-67	3.05808583714276e-64	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YGL187C	1261.849876784	-1.8780500443306	0.110408270902145	-17.0100485134408	6.918046714037081e-65	3.39250367707588e-62	COX4	Subunit IV of cytochrome c oxidase; the terminal member of the mitochondrial inner membrane electron transport chain; precursor N-terminal 25 residues are cleaved during mitochondrial import; phosphorylated; spermidine enhances translation
YPR191W	2605.8916299805	-1.72949379327684	0.101828909912088	-16.9843102000205	1.07307790258897e-64	4.88633687786048e-62	QCR2	Subunit 2 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; phosphorylated; transcription is regulated by Hap1p, Hap2p/Hap3p, and heme
YDR298C	2314.02883000843	-1.53668118051498	0.0906217818033402	-16.9570841572036	1.70603051714318e-64	7.25062969785849e-62	ATP5	Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated
YOL077W-A	862.464401919901	-1.72604533117115	0.102406187611259	-16.8548929652897	9.65827995260271e-64	3.84822091861514e-61	ATP19	Subunit k of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; associated only with the dimeric form of ATP synthase
YPL271W	1703.72149670784	-1.58677541194259	0.0980724889231962	-16.1796180495149	7.02287392740344e-59	2.63357772277629e-56	ATP15	Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YDL048C	865.706247351631	-2.43218132579927	0.150701426161953	-16.1390730515416	1.3556191418159802e-58	4.80115112726493e-56	STP4	Protein containing a Kruppel-type zinc-finger domain; similar to Stp1p, Stp2p; predicted transcription factor; relative distribution to the nucleus increases upon DNA replication stress; STP4 has a paralog, STP3, that arose from the whole genome duplication
YDR377W	1533.06626625794	-1.75406246534995	0.11237222740121	-15.6093948292696	6.28301158332966e-55	2.1081157286171902e-52	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YDL181W	566.89500307453	-2.50970092785221	0.16236149167383	-15.4574887307267	6.71664518391155e-54	2.14093065237181e-51	INH1	Protein that inhibits ATP hydrolysis by the F1F0-ATP synthase; inhibitory function is enhanced by stabilizing proteins Stf1p and Stf2p; has a calmodulin-binding motif and binds calmodulin in vitro; INH1 has a paralog, STF1, that arose from the whole genome duplication
YKL016C	2314.9420914479	-1.49007312174207	0.0970976628301654	-15.3461275823742	3.75969358837669e-53	1.14133555361435e-50	ATP7	Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YPL078C	2964.67355049	-1.21379417198642	0.0792331497986621	-15.319271984905	5.68506867115024e-53	1.6473778535719498e-50	ATP4	Subunit b of the stator stalk of mitochondrial F1F0 ATP synthase; ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; contributes to the oligomerization of the complex, which in turn determines the shape of inner membrane cristae; phosphorylated
YER175C	463.028880990266	1.90446254028784	0.125928576957348	15.1233547325234	1.1360456919091e-51	3.14882229822632e-49	TMT1	Trans-aconitate methyltransferase; cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate, an intermediate of the leucine biosynthetic pathway, and trans-aconitate, which inhibits the citric acid cycle
YDR529C	1862.63009750712	-1.57718216184653	0.106142452566878	-14.8591079601518	6.07284168847047e-50	1.61309857349997e-47	QCR7	Subunit 7 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the mitochondrial matrix; N-terminus appears to play a role in complex assembly
YLR040C	1314.72834675469	-2.84911621433819	0.193332988113501	-14.736834319581	3.73905337105076e-49	9.53458609617945e-47	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YLL041C	1450.63132064142	-1.90936830070412	0.129607241227547	-14.7319569695331	4.0189686374251e-49	9.85420194753271e-47	SDH2	Iron-sulfur protein subunit of succinate dehydrogenase; the complex couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; other members are Sdh1p, Sdh3p, and Sdh4p
YBL099W	6092.71746886772	-1.5144206777216	0.103137976210459	-14.6834438037773	8.23020640422164e-49	1.94324317877456e-46	ATP1	Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated; N-terminally propionylated in vivo
YJR077C	4916.46101583198	-1.68030010959627	0.114595890681875	-14.6628303999215	1.1152531111523699e-48	2.53919235128442e-46	MIR1	Mitochondrial phosphate carrier; imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated
YMR145C	2448.42106770365	-1.40098098017136	0.0962773104708394	-14.5515176246608	5.71215925142636e-48	1.2556901802704501e-45	NDE1	Mitochondrial external NADH dehydrogenase; type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain; NDE1 has a paralog, NDE2, that arose from the whole genome duplication
