	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YOR382W	2104.70761697298	3.34884468070517	0.113264192041201	29.5666672789841	4.01024052934845e-192	2.4971767776252803e-188	FIT2	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
YEL071W	5855.6848227837	2.31340229545352	0.087762102179868	26.3599234520638	3.94980749915998e-153	1.22977256486346e-149	DLD3	2-hydroxyglutarate transhydrogenase, and minor D-lactate dehydrogenase; converts D-2-hydroxyglutarate (D-2HG), an oncometabolite, to alpha-ketoglutarate in the presence of FAD, with concomitant reduction of pyruvate to D-lactate; minor lactate dehydrogenase activity; component of the retrograde regulon that consists of genes whose expression are stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source; located in the cytoplasm
YOR383C	2629.29825558327	3.60760111804999	0.140967166595791	25.5917828610008	1.88324178223082e-144	3.90898219265044e-141	FIT3	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
YGR234W	5691.26578011323	-2.22418356234871	0.102494271574724	-21.7005646088929	2.0265918625218998e-104	3.15489688198097e-101	YHB1	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YPR036W-A	7502.47893273771	2.67094457082832	0.126094057755378	21.1821605107669	1.39486146640794e-99	1.73716047026445e-96	SPO24	Small (67 amino acids) protein involved in sporulation; localizes to the prospore membrane; phosphorylated during meiosis; a longer, 5'-extended mRNA is also transcribed beginning in mid-meiosis, regulated by two MSEs (middle sporulation elements), and includes an uORF of 15 codons in its 5'-UTR; evidence transcription is regulated by Pdr1p
YMR145C	3266.75508001226	-1.9832526556232	0.0985351839222216	-20.1273552925894	4.25084683493527e-90	4.4116705401903305e-87	NDE1	Mitochondrial external NADH dehydrogenase; type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain; NDE1 has a paralog, NDE2, that arose from the whole genome duplication
YOR107W	827.113456183908	-2.85129490878964	0.144303093813906	-19.7590698399487	6.70285468771688e-87	5.962668020059e-84	RGS2	Negative regulator of glucose-induced cAMP signaling; directly activates the GTPase activity of the heterotrimeric G protein alpha subunit Gpa2p
YCR005C	3998.56373086493	3.18279712597131	0.166151640955594	19.1559776819896	8.628961349910959e-82	6.71656779073695e-79	CIT2	Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication
YOL155C	3085.66488154162	-2.03474151395595	0.106290300937671	-19.1432472766177	1.10184119080447e-81	7.62351677237716e-79	HPF1	Haze-protective mannoprotein; reduces the particle size of aggregated proteins in white wines
YBL045C	3535.11233060704	-1.82290339708755	0.0954787044460329	-19.0922510696393	2.928728483899e-81	1.8237192269239099e-78	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YJR121W	9584.2507997914	-1.52908237499593	0.0801865795375138	-19.0690559918519	4.5647084814596e-81	2.5840399740044497e-78	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YBR039W	3369.98338842602	-1.63062833241499	0.0857688441461813	-19.0118958538815	1.35949252709252e-80	7.05463330517092e-78	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YMR189W	1446.88610404723	2.10987166068974	0.111797076392888	18.8723330588273	1.9260441077240898e-79	9.225751275998389e-77	GCV2	P subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of 5,10-methylene-THF in the cytoplasm
YPR191W	2584.89712466096	-1.72524023917358	0.0923088196173278	-18.6898743405633	5.98538102166129e-78	2.66221197299177e-75	QCR2	Subunit 2 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; phosphorylated; transcription is regulated by Hap1p, Hap2p/Hap3p, and heme
YPL111W	2488.32788265865	-1.77824404010834	0.0995670672495657	-17.8597611562783	2.42675479021695e-71	1.0074268052454001e-68	CAR1	Arginase, catabolizes arginine to ornithine and urea; expression responds to both induction by arginine and nitrogen catabolite repression; disruption decreases production of carcinogen ethyl carbamate during wine fermentation and also enhances freeze tolerance
YOR153W	14537.9494500935	2.35107067905282	0.134958703746226	17.420667313712	5.7502565133471805e-68	2.23792795678831e-65	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YDR028C	702.5856426259	-9.58132409609741	0.560893199209155	-17.082261132078	2.0116964054917203e-65	7.36872559823349e-63	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YBL030C	6471.38109068633	-1.44723017092426	0.0863885468644673	-16.7525699117822	5.42320261297969e-63	1.87612681505692e-60	PET9	Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog, AAC3, that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant
YDL048C	844.85308355416	-2.46121099581833	0.147238680356936	-16.7157909175215	1.00576673893722e-62	3.29626814913793e-60	STP4	Protein containing a Kruppel-type zinc-finger domain; similar to Stp1p, Stp2p; predicted transcription factor; relative distribution to the nucleus increases upon DNA replication stress; STP4 has a paralog, STP3, that arose from the whole genome duplication
YJL088W	735.968613967659	3.48551157537767	0.209981872791107	16.5991070040846	7.07354549883516e-62	2.20234839106233e-59	ARG3	Ornithine carbamoyltransferase; also known as carbamoylphosphate:L-ornithine carbamoyltransferase; catalyzes the biosynthesis of the arginine precursor citrulline
YLR136C	522.024612585283	2.63297654616302	0.160077884480304	16.4480968418032	8.65452167725933e-61	2.56627173734733e-58	TIS11	mRNA-binding protein expressed during iron starvation; binds to a sequence element in the 3'-untranslated regions of specific mRNAs to mediate their degradation; involved in iron homeostasis; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; TIS11 has a paralog, CTH1, that arose from the whole genome duplication
YEL065W	1852.11345264309	1.77480773668143	0.108855117561737	16.3043114227023	9.196951856171421e-60	2.6031554185627e-57	SIT1	Ferrioxamine B transporter; member of the ARN family of transporters that specifically recognize siderophore-iron chelates; transcription is induced during iron deprivation and diauxic shift; potentially phosphorylated by Cdc28p
YMR120C	1866.41278906685	1.99910734154687	0.124055114708006	16.1146708561936	2.0123256267478503e-58	5.448152903373419e-56	ADE17	Enzyme of 'de novo' purine biosynthesis; contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities; ADE17 has a paralog, ADE16, that arose from the whole genome duplication; ade16 ade17 mutants require adenine and histidine
YHR137W	328.220139207024	-2.75247502912012	0.172482499892053	-15.9579959175147	2.50651430291611e-57	6.503360235107749e-55	ARO9	Aromatic aminotransferase II; catalyzes the first step of tryptophan, phenylalanine, and tyrosine catabolism
YJR048W	887.187515860006	-2.65294392622225	0.168115696034002	-15.7804654104736	4.240497540409909e-56	1.0562231273653002e-53	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
