	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YGL089C	2503.92840083684	-5.8334657222799	0.151985813535627	-38.3816461982649	0.0	0.0	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YIL015W	2153.7166828951	5.31735641870592	0.122606194135566	43.3693946394462	0.0	0.0	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YNL145W	2922.89575931543	8.62095478331909	0.2433773741167	35.4221702596944	7.78269720324234e-275	1.62139525067549e-271	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YFL026W	4277.69557552494	6.22425963648803	0.191500538595715	32.5025698733324	9.807648212763069e-232	1.5324450332442298e-228	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YPL187W	10546.1408804457	-11.9335780336339	0.367466072360787	-32.4753193048995	2.37918218436467e-231	2.97397773045584e-228	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YDR461W	1611.15693823272	7.47980869231894	0.231339070150417	32.332665154466	2.43158821339113e-229	2.5329043889491e-226	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YJR004C	5054.24786975427	-4.17721041324508	0.132156494997967	-31.6080599240267	2.86110337139894e-219	2.5545565816062e-216	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YKL178C	1473.36035249495	-4.52907207328738	0.145648223572792	-31.0959650738469	2.73086072947364e-212	2.13348494490129e-209	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YKL209C	1383.19682522248	4.3336554284528	0.152155717446872	28.4817126899355	1.97365104457702e-178	1.37059100317848e-175	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YGL032C	905.296241331017	7.34962415364339	0.277648100769468	26.4710046035784	2.0913265543144303e-154	1.30707909644652e-151	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YLR040C	1908.86329525543	-3.3320433730776	0.167606892393487	-19.8801094960643	6.0501671441797e-88	3.43759496828392e-85	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
