	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YML123C	10341.7224031811	5.38008275571817	0.144207914225242	37.3078189544777	1.22565972383965e-304	7.93001841324254e-301	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YHR136C	474.324450882164	6.20960332279133	0.299899656961762	20.7056032864455	3.08350005702377e-95	9.975122684471879e-92	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YHR215W	991.296249225775	4.82962623437133	0.261266411223417	18.4854463754293	2.70451551610234e-76	5.832738463060711e-73	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YDR281C	234.062746688738	3.89906724457848	0.230440302181862	16.9200752110686	3.20021578498095e-64	5.17634903220669e-61	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YDR377W	1559.62747011577	1.98955600363674	0.125446493101184	15.8597977069952	1.2028068677994998e-56	1.55643208693255e-53	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YER072W	2936.30968920995	2.05397370678882	0.130837160755372	15.6987028374084	1.54366277245054e-55	1.6645830229591701e-52	VTC1	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; VTC complex is involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; also has mRNA binding activity; protein abundance increases in response to DNA replication stress
YAR071W	456.97768167784	4.21102312808263	0.271804427491286	15.4928422871906	3.8776171188969604e-54	3.58402610846619e-51	PHO11	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication
YBR039W	4414.03745138518	2.07523883111993	0.135427932111742	15.3235658165972	5.32161963958035e-53	4.30385988351061e-50	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YPL271W	1574.54363953231	2.22434679082298	0.147237381474489	15.1072150872798	1.45145644698048e-51	1.04343591244041e-48	ATP15	Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YJR048W	1534.21566989291	3.33137040236795	0.220667469872543	15.0967897728294	1.70011351826314e-51	1.09997344631625e-48	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YML081C-A	1447.33617706557	1.89177001727169	0.13194070813042	14.338031408788	1.26595719784851e-46	7.44613006370896e-44	ATP18	Subunit of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; termed subunit I or subunit j; does not correspond to known ATP synthase subunits in other organisms
YBL045C	4706.36695687153	2.30283034832163	0.162887678501495	14.1375355674953	2.22956466513899e-45	1.2021069486207699e-42	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YBR296C	155.10093220652	3.49378958287622	0.247531327041004	14.1145350151881	3.0904764692860204e-45	1.53810636586773e-42	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
