	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YML123C	12049.5781333352	5.64540478412711	0.184992429860346	30.5169502794732	1.55284268801979e-204	1.00857132586885e-200	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YHR136C	552.400628322089	6.79427162462602	0.306457116042312	22.1703829637552	6.6343577845617e-109	2.15450769053641e-105	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YOR153W	14230.7538512934	-3.41254084690791	0.159403946218793	-21.4081327837641	1.12219585149148e-101	2.42955401847906e-98	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YPL019C	3712.07126035226	3.35627923214324	0.159771869134675	21.0066969255655	5.6961766143267406e-98	9.24916677751304e-95	VTC3	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC3 has a paralog, VTC2, that arose from the whole genome duplication
YJR048W	1738.50579451125	3.94630944952204	0.193745431476312	20.368529050991	3.1808941540866294e-92	4.13198150615854e-89	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YDR281C	273.552037670368	3.91099205542233	0.213932697034407	18.281413311932	1.16371123534928e-74	1.2597174122655999e-71	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YHR215W	1166.64160055898	4.59720387587442	0.273686312434265	16.7973466958768	2.55207619139939e-63	2.36796212330557e-60	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YDR377W	1807.01700320176	2.05961440553447	0.123167666240524	16.7220380835375	9.05682304984626e-63	7.35300821359393e-60	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YHL047C	1404.42038767245	-2.42405231279006	0.149404073546465	-16.2248073646812	3.36772485793538e-59	2.4303747724766996e-56	ARN2	Transporter; member of the ARN family of transporters that specifically recognize siderophore-iron chelates; responsible for uptake of iron bound to the siderophore triacetylfusarinine C
YBR039W	5046.66948543925	2.25629039075752	0.140148696856327	16.0992605808568	2.5817136057145402e-58	1.67682298691159e-55	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
