	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YNL145W	1612.6050981124	-7.93042269153126	0.301258837847804	-26.3242822955379	1.01135791833948e-152	6.69518941940735e-149	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YKL178C	1409.35852665186	4.54673826649494	0.18204770409181	24.9755320407773	1.12780429279146e-137	3.7330322091397396e-134	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YFL026W	3016.24132907594	-6.31705845579217	0.255424409823179	-24.7316161370999	4.8893878381643297e-135	1.07892491628826e-131	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YDR461W	1216.15143177983	-7.73051149011756	0.326386423720704	-23.6851502644998	5.12928191787824e-124	8.48896157408848e-121	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YLR040C	1382.55007852479	4.54805616897317	0.192378291702139	23.6412129909906	1.45343027226071e-123	1.9243416804731903e-120	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YLR174W	1126.39022649549	4.0298113274787	0.176420932872431	22.8420248202215	1.75406484901876e-115	1.9353182167507002e-112	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YDL215C	3747.61947383105	3.06977157527434	0.140252885898897	21.8874039960021	3.4246994162334003e-106	3.23878716220931e-103	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YPL187W	7755.55633317656	8.09985060788319	0.399631864483637	20.2682802042049	2.4507256457975802e-91	2.0279754718975e-88	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YBR297W	812.748483675745	3.4432154725892	0.184069791497813	18.7060323400763	4.42088186993832e-78	3.2518042198879603e-75	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YDR277C	1454.05240521392	3.5279034669604	0.195075812774515	18.0847815871373	4.2002859134174e-73	2.7805892746823198e-70	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
