	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YML123C	10828.2852591029	-5.92243474234185	0.123193341910696	-48.0743086475817	0.0	0.0	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YPL019C	3317.85617695358	-3.50898678419294	0.124075450397951	-28.2810723067172	5.9074865242535496e-176	1.91638862846785e-172	VTC3	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC3 has a paralog, VTC2, that arose from the whole genome duplication
YOR065W	2197.17246683888	-2.18832690355954	0.0843654369616856	-25.9386661453952	2.44094715229327e-148	5.27895504135958e-145	CYT1	Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex
YHR136C	498.970179118089	-6.57527467291425	0.295457538165775	-22.2545503957492	1.0191017442219701e-109	1.65298302912804e-106	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YHR215W	1048.52321786084	-4.73224048766144	0.212818025610834	-22.2360886681421	1.53792671517949e-109	1.99561370561691e-106	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YKL109W	1155.04051202004	-2.82129210739127	0.129385435729917	-21.8053298771626	2.06512597610989e-105	2.23308955550017e-102	HAP4	Transcription factor; subunit of the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex, a transcriptional activator and global regulator of respiratory gene expression; provides the principal activation function of the complex; involved in diauxic shift
YLR348C	1188.95396317051	2.12350983269083	0.0975463169845785	21.7692466341557	4.54031549395858e-105	4.20822384640047e-102	DIC1	Mitochondrial dicarboxylate carrier; integral membrane protein, catalyzes a dicarboxylate-phosphate exchange across the inner mitochondrial membrane, transports cytoplasmic dicarboxylates into the mitochondrial matrix
YKL150W	2126.27655915569	-1.63571670966025	0.0769955072030491	-21.2443137149107	3.7210001558062e-100	3.01773112635883e-97	MCR1	Mitochondrial NADH-cytochrome b5 reductase; involved in ergosterol biosynthesis
YNL055C	8427.77392534489	-1.88285684258717	0.0889418561133468	-21.1695249555808	1.82386467419693e-99	1.31480377846552e-96	POR1	Mitochondrial porin (voltage-dependent anion channel); outer membrane protein required for maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; couples the glutathione pools of the intermembrane space (IMS) and the cytosol; interacts with Om45 and Om14 in the outer membrane; phosphorylated; protein abundance increases in response to DNA replication stress
YDR028C	749.897356297103	-8.36820657968545	0.400339792313259	-20.902759956316	5.05369064047392e-97	3.2788344875394797e-94	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YJR048W	1658.88854305127	-2.98039487199917	0.144748404529624	-20.5901742522434	3.36157813432317e-94	1.98271990322625e-91	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YDL181W	729.955017748625	-3.00289753810705	0.146053007579997	-20.5603266092434	6.22128924908075e-94	3.36364372066966e-91	INH1	Protein that inhibits ATP hydrolysis by the F1F0-ATP synthase; inhibitory function is enhanced by stabilizing proteins Stf1p and Stf2p; has a calmodulin-binding motif and binds calmodulin in vitro; INH1 has a paralog, STF1, that arose from the whole genome duplication
YBL030C	9478.56385134022	-2.23218403263148	0.110894157541356	-20.1289597407243	4.11543405891899e-90	2.0539181672512602e-87	PET9	Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog, AAC3, that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant
YDR377W	1620.4518954979	-2.10181649035528	0.104579922399951	-20.0977055836509	7.72850840999742e-90	3.58161161171881e-87	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YLL053C	292.237602664717	-3.44583349576889	0.17276329106326	-19.9454031846797	1.64320060795387e-88	7.10739036293648e-86	YLL053C	Putative protein; in the Sigma 1278B strain background YLL053C is contiguous with AQY2 which encodes an aquaporin
YPL265W	1427.92455225359	2.88748374556004	0.147188613667838	19.617575528473	1.0945016179448e-85	4.43820406076616e-83	DIP5	Dicarboxylic amino acid permease; mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly; relocalizes from plasma membrane to vacuole upon DNA replication stress
YBR039W	4569.95326898539	-2.22226125094458	0.113353275235571	-19.6047378986295	1.40876176081913e-85	5.37649782599676e-83	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YLL041C	2180.55977674005	-2.91257185979767	0.148991661299732	-19.5485561701225	4.24361735250955e-85	1.52958829906011e-82	SDH2	Iron-sulfur protein subunit of succinate dehydrogenase; the complex couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; other members are Sdh1p, Sdh3p, and Sdh4p
YDR281C	244.649594446303	-4.12499714199383	0.21124224992442	-19.5273300841556	6.43151998375418e-85	2.1961948239261598e-82	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YPL271W	1697.72845576911	-2.05333213713966	0.105397052991428	-19.4818742921272	1.56446102322262e-84	5.07511155933418e-82	ATP15	Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YBL045C	4914.40759745927	-2.39289926402448	0.122894140266406	-19.4712234353667	1.92615793624361e-84	5.95091080492787e-82	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YCR005C	1496.60634345385	2.96356677110849	0.153705804169582	19.2807733391696	7.790309193754739e-83	2.29743300223094e-80	CIT2	Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication
YJL012C	3387.09692887077	-2.20471739341331	0.115630452417669	-19.066926984335	4.75435764914947e-81	1.30621904947092e-78	VTC4	Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion; protein abundance increases in response to DNA replication stress
YPR036W-A	2932.58097803841	2.90502182638108	0.152365965029061	19.0660809704253	4.83188304366556e-81	1.30621904947092e-78	SPO24	Small (67 amino acids) protein involved in sporulation; localizes to the prospore membrane; phosphorylated during meiosis; a longer, 5'-extended mRNA is also transcribed beginning in mid-meiosis, regulated by two MSEs (middle sporulation elements), and includes an uORF of 15 codons in its 5'-UTR; evidence transcription is regulated by Pdr1p
YPL240C	2001.18109912826	1.99469107429448	0.104982709109544	19.0001867089667	1.6993888562233898e-80	4.410253959670949e-78	HSP82	Hsp90 chaperone; redundant in function with Hsc82p; required for pheromone signaling, negative regulation of Hsf1p; docks with Tom70p for mitochondrial preprotein delivery; promotes telomerase DNA binding, nucleotide addition; protein abundance increases in response to DNA replication stress; contains two acid-rich unstructured regions that promote solubility of chaperone-substrate complexes; HSP82 has a paralog, HSC82, that arose from the whole genome duplication
YEL024W	1521.91462610074	-2.46606055257913	0.12998102270812	-18.9724661431293	2.8806974632694e-80	7.18844813141995e-78	RIP1	Ubiquinol-cytochrome-c reductase; a Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex; transfers electrons from ubiquinol to cytochrome c1 during respiration; during import, Rip1p is first imported into the mitochondrial matrix where it is processed, acquires its Fe-S cluster, and is folded, then is translocated into the inner membrane by the action of a homo-oligomer of Bcs1p, and finally is delivered by Bcs1p to Complex III for assembly
