	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YKL209C	1397.52648123935	4.8298976054497	0.14812352681898	32.6072279615125	3.23945575786141e-233	2.10175889570048e-229	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YNL145W	2452.15053145361	8.5975374882329	0.301675696288933	28.4992712173887	1.19604380294985e-178	3.8799660967693e-175	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YIL015W	1634.73533961471	5.31388847538413	0.236782191407523	22.4420951753017	1.5287063306616302e-111	3.30608222444422e-108	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YFL026W	4330.73526833635	6.19089189336877	0.277476752141037	22.3113894969552	2.8645809951481503e-110	4.64635037413031e-107	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YKL178C	933.868282283929	-5.01291976683689	0.247477718963378	-20.2560448182355	3.1421286650162e-91	4.07722615572503e-88	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YBR039W	3741.79668055609	-1.73757389710149	0.09532974653814	-18.2269853870462	3.15224993991505e-74	3.40863293502814e-71	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YLR040C	1144.66623653868	-2.6572019178066	0.164735052725922	-16.1301548992583	1.5662712470337902e-58	1.45170969296503e-55	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YJR121W	11699.3657854747	-1.4582882919963	0.0956542112718212	-15.2454165123192	1.76603175808456e-52	1.3732522103714199e-49	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YPL187W	7188.49428580581	-10.4730152426215	0.687184519495205	-15.2404702747303	1.9049429552008e-52	1.3732522103714199e-49	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YBL045C	3501.95372156758	-1.73584060158873	0.122818196389935	-14.1334155085426	2.36395003595927e-45	1.53373078333037e-42	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YDR377W	1332.09321955621	-1.66162498455636	0.118320852783427	-14.0433824255626	8.45775465241215e-45	4.98853747135e-42	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YKL016C	2030.81591989333	-1.35787819820908	0.0998505234182435	-13.59910946607	4.0533878761843896e-42	2.19153171172369e-39	ATP7	Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YML081C-A	1194.92715471559	-1.49283749624073	0.116639152010134	-12.7987684282121	1.66571970763407e-37	8.313222663946021e-35	ATP18	Subunit of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; termed subunit I or subunit j; does not correspond to known ATP synthase subunits in other organisms
YPL271W	1376.82558426212	-1.95044923392514	0.152661597629394	-12.7762925595742	2.22421693456922e-37	1.03076567653465e-34	ATP15	Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YGL009C	3418.78600054426	2.15840636413088	0.173804660500381	12.4185758766011	2.07217295079527e-35	8.96283873650646e-33	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YOR153W	3841.34271632043	1.80591149123754	0.148300010240647	12.1774198687315	4.100494550645919e-34	1.6627505402869202e-31	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YOL077W-A	760.899788648823	-1.54447972231203	0.126889934822202	-12.1718064121961	4.39252532959308e-34	1.67639437284705e-31	ATP19	Subunit k of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; associated only with the dimeric form of ATP synthase
YPL078C	2545.8041201266	-1.19751119515159	0.101626713664526	-11.7834292969919	4.75196211071942e-32	1.71281834301931e-29	ATP4	Subunit b of the stator stalk of mitochondrial F1F0 ATP synthase; ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; contributes to the oligomerization of the complex, which in turn determines the shape of inner membrane cristae; phosphorylated
YML123C	1096.0966190903	-1.77942781982872	0.152578467665002	-11.6623783621657	1.9842122860567403e-31	6.77556279575586e-29	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YGL089C	917.401590531231	-4.89679202251956	0.42368335564135	-11.5576690878193	6.75166388967836e-31	2.19023976581166e-28	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YMR256C	532.271754246326	-1.44897237457693	0.126459930583718	-11.4579564284807	2.14516645451111e-30	6.627542836603849e-28	COX7	Subunit VII of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain
YDL047W	733.546856117268	13.0331943202808	1.18679229779146	10.9818662832028	4.67171288616613e-28	1.37773060024754e-25	SIT4	Ceramide-activated, type 2A-related serine-threonine phosphatase; functions in G1/S transition of mitotic cycle; controls lifespan, mitochondrial function, cell cycle progression by regulating HXK2 phosphorylation; regulator of COPII coat dephosphorylation; required for ER to Golgi traffic; interacts with Hrr25p kinase; cytoplasmic and nuclear protein that modulates functions mediated by Pkc1p including cell wall and actin cytoskeleton organization; similar to human PP6
YDL004W	1820.70445966534	-1.14902976891803	0.10589603742865	-10.8505454672203	1.98238737893495e-27	5.59205622370867e-25	ATP16	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YJL166W	757.023337064249	-1.34975634243256	0.124894089032785	-10.8072075538999	3.18209356581883e-27	8.602259606263571e-25	QCR8	Subunit 8 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the intermembrane space; expression is regulated by Abf1p and Cpf1p
YBR115C	566.118752529709	12.6594091249243	1.18715686449909	10.6636363765338	1.50591784607524e-26	3.90815799413446e-24	LYS2	Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p
YDR298C	2090.6496364837	-1.25310655361936	0.118986393750573	-10.5315113276414	6.18336380534298e-26	1.5429870911178998e-23	ATP5	Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated
YGL187C	1154.638529253	-1.47383142453504	0.140253246957387	-10.5083586762368	7.90574385887023e-26	1.89972096875371e-23	COX4	Subunit IV of cytochrome c oxidase; the terminal member of the mitochondrial inner membrane electron transport chain; precursor N-terminal 25 residues are cleaved during mitochondrial import; phosphorylated; spermidine enhances translation
YBL015W	963.601874999238	-1.65430016291703	0.159574374463688	-10.3669537698453	3.50520858182608e-25	8.12206902817414e-23	ACH1	Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth
YHR051W	970.320694449812	-1.35504849086076	0.132740249576485	-10.2082713810176	1.8207967116259902e-24	4.07356174656187e-22	COX6	Subunit VI of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; expression is regulated by oxygen levels
YPR020W	538.592974260954	-1.39151724531734	0.138999493643592	-10.0109519023525	1.36433404689304e-23	2.9505997654140202e-21	ATP20	Subunit g of the mitochondrial F1F0 ATP synthase; reversibly phosphorylated on two residues; unphosphorylated form is required for dimerization of the ATP synthase complex, which in turn determines oligomerization of the complex and the shape of inner membrane cristae
YJR078W	114.15414476504	-2.42171842367537	0.252918186025991	-9.57510593337288	1.01752941317558e-21	2.1295905911881201e-19	BNA2	Tryptophan 2,3-dioxygenase or indoleamine 2,3-dioxygenase; required for de novo biosynthesis of NAD from tryptophan via kynurenine; interacts genetically with telomere capping gene CDC13; regulated by Hst1p and Aftp
YGL191W	1096.65012688168	-1.04121147147683	0.109724116322873	-9.48935845983913	2.32460479984989e-21	4.71313623169565e-19	COX13	Subunit VIa of cytochrome c oxidase; present in a subclass of cytochrome c oxidase complexes that may have a role in mimimizing generation of reactive oxygen species; not essential for cytochrome c oxidase activity but may modulate activity in response to ATP; required for assembly of Rcf2p into cytochrome c oxidase - cytochrome bc1 supercomplexes
