	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YDR277C	1398.96292172026	-4.90763760015761	0.137056774608635	-35.8073332323145	8.49206371294532e-281	5.74233348269362e-277	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YLR174W	1856.87926223394	-5.44583715984688	0.15370797413716	-35.4297634226012	5.945851956644e-275	2.01029254654133e-271	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YMR303C	6586.31493196617	-4.53566251960895	0.137062638611583	-33.091895541734	3.8870720328540403e-240	8.761460362053e-237	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YPL187W	7724.7115305748	10.7375877230971	0.326906729813997	32.8460283739235	1.29789668949138e-236	2.19409435358517e-233	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YKL209C	760.464305138287	-3.79836390697345	0.139379495600126	-27.2519561835035	1.57546992781121e-163	2.13066553037188e-160	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YNL117W	935.936055543949	-5.40280518113121	0.198786596555436	-27.1789208867737	1.15295998136218e-162	1.29938589899518e-159	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YLR377C	1908.30655389823	-5.58711035808747	0.214252872465115	-26.0771783071295	6.61826101505528e-150	6.39324014054341e-147	FBP1	Fructose-1,6-bisphosphatase; key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; glucose starvation results in redistribution to the periplasm; interacts with Vid30p
YKL217W	1783.43057763331	-5.02767816855382	0.194591804899119	-25.8370498755602	3.4019276909173e-147	2.87547938074785e-144	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YGL009C	5909.64025685963	-2.96156170256436	0.118557517805708	-24.9799570485085	1.00961526385476e-137	7.58557601576207e-135	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YDL215C	3463.23571980256	-2.68471321658038	0.110448305020176	-24.3074188969215	1.63639727223357e-130	1.10653183548434e-127	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
