	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YDR277C	1404.65105429234	-4.91810151835062	0.144417303577818	-34.0547939651881	3.44696808261701e-254	2.23811637604323e-250	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YLR174W	1119.93880005115	-4.69879296004166	0.165039835223799	-28.4706595451332	2.70478860802562e-178	8.781096215955159e-175	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YDL215C	3867.06619397872	-2.87234648352272	0.123762015679546	-23.2086272007723	3.7257731314530597e-119	8.063814980841579e-116	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YGR138C	1148.91451121369	2.79360875600382	0.123894730112386	22.5482452197095	1.39716235033191e-112	2.26794378517627e-109	TPO2	Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; transcription of TPO2 is regulated by Haa1p; TPO2 has a paralog, TPO3, that arose from the whole genome duplication
YMR011W	23858.9597582303	-4.81713675286912	0.223324453545238	-21.5701266762233	3.42754279591204e-103	4.45100707477138e-100	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YKR075C	2660.6893027594	-3.79079629287021	0.204864023804379	-18.5039628846203	1.91835876828361e-76	2.07598391374424e-73	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YDR028C	777.149645506945	9.46296662742568	0.568331078748746	16.6504472151331	3.00349331699912e-62	2.7859545867536103e-59	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YBR230C	1501.58544207005	-2.63296776454276	0.164624387882176	-15.9937892460211	1.4117632501471998e-57	1.14582234790072e-54	OM14	Mitochondrial outer membrane receptor for cytosolic ribosomes; integral protein of the outer membrane that interacts with the nascent chain-associated complex (NAC) bound to ribosomes, contributing to co-translational mitochondrial import; interacts with porin (Por1p) and Om45p; abundance is decreased in cells grown in glucose relative to other carbon sources
YJL212C	834.170855047137	3.14502344505539	0.197357599363523	15.9356592054123	3.58401132260754e-57	2.5856650575212e-54	OPT1	Proton-coupled oligopeptide transporter of the plasma membrane; also transports glutathione and phytochelatin; member of the OPT family
YMR303C	6165.56817916395	-4.44196262673001	0.282037157830814	-15.7495652732206	6.915507306215939e-56	4.49023889392601e-53	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YNL117W	509.774465133286	-4.50371301075609	0.291679332337737	-15.4406312393132	8.724222966533541e-54	5.14967088379111e-51	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YDR216W	1199.79349880951	-2.47109800951851	0.168306462629487	-14.6821338343877	8.390780190468639e-49	4.54011131472608e-46	ADR1	Carbon source-responsive zinc-finger transcription factor; required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization
YKL217W	2987.03296333149	-5.79610666177123	0.404666199481411	-14.3231796211274	1.5678262992913501e-46	7.8306893548452e-44	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YDR384C	3989.18175919882	-1.27842423788803	0.0912347322041243	-14.0124731777339	1.30770396099502e-44	6.06494415624334e-42	ATO3	Plasma membrane protein, putative ammonium transporter; regulation pattern suggests a possible role in export of ammonia from the cell; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family of putative transporters
YLR205C	291.890613296982	-2.65077972836927	0.192684571949156	-13.7570937909276	4.6171724623983194e-43	1.99862005322349e-40	HMX1	ER localized heme oxygenase; involved in heme degradation during iron starvation and in the oxidative stress response; expression is regulated by AFT1 and oxidative stress; relocates to the perinuclear region in the presence of oxidants
YBR296C	539.800340700656	-4.28538988721914	0.313285686419991	-13.6788563058516	1.3581201549540199e-42	5.51142135382277e-40	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YHR092C	11145.2710515639	-4.60139804539157	0.339673851693838	-13.5465182923147	8.307818315992759e-42	3.17309790151418e-39	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YER065C	1928.61477442461	-3.02954238857523	0.227043987782382	-13.3434160409436	1.2939165736235798e-40	4.66744461807663e-38	ICL1	Isocitrate lyase; catalyzes the formation of succinate and glyoxylate from isocitrate, a key reaction of the glyoxylate cycle; expression of ICL1 is induced by growth on ethanol and repressed by growth on glucose
YPL134C	1137.5545587069	-2.23709144105524	0.185384125832569	-12.0673300964058	1.5715053754490398e-33	5.37041284357401e-31	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YGR289C	236.018376413159	-2.57617501176185	0.216185464241103	-11.9165042885989	9.70977301419928e-33	3.1522778090598e-30	MAL11	High-affinity maltose transporter (alpha-glucoside transporter); inducible; encoded in the MAL1 complex locus; broad substrate specificity that includes maltotriose; required for isomaltose utilization
YMR191W	1015.83348674419	-1.75576210547338	0.147642785214737	-11.8919600637426	1.30312033838005e-32	4.0291239795722095e-30	SPG5	Protein required for proteasome assembly during quiescence; binds to base of the proteasome regulartory particle; required for survival at high temperature during stationary phase; not required for growth on nonfermentable carbon sources
YGR292W	265.293583807983	-3.77920909807844	0.318011350550349	-11.8838811619087	1.43544267729421e-32	4.2365133198505894e-30	MAL12	Maltase (alpha-D-glucosidase); inducible protein involved in maltose catabolism; encoded in the MAL1 complex locus; hydrolyzes the disaccharides maltose, turanose, maltotriose, and sucrose
YLL052C	145.789176297389	2.41627257457177	0.206746917868651	11.6871032443002	1.4836089435705101e-31	4.18829255243622e-29	AQY2	Water channel that mediates water transport across cell membranes; only expressed in proliferating cells; controlled by osmotic signals; may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains
YBR297W	820.08088980626	-3.5738371329147	0.306344584458047	-11.6660692378067	1.9000094595652402e-31	5.14031725873212e-29	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YOL104C	110.211162986071	-2.8543437503363	0.250407452684093	-11.3987971194182	4.23935938090987e-30	1.10104641840991e-27	NDJ1	Protein that regulates meiotic SPB cohesion and telomere clustering; localizes to both spindle pole bodies (SPBs) and telomeres; required for bouquet formation, effective homolog pairing, ordered cross-over distribution, sister chromatid cohesion at meiotic telomeres, chromosomal segregation and telomere-led rapid prophase movement
