	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YKL209C	1280.78971041629	-4.46551368963541	0.137244890890537	-32.5368300463513	3.21549215362427e-232	2.04987624793547e-228	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YNL145W	2717.72360643721	-8.51909470870704	0.264391870844332	-32.2214699018597	8.83264625229793e-228	2.81540599291997e-224	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YIL015W	1999.93174634964	-5.38381524859506	0.181161511768007	-29.7183170754808	4.45327201289553e-194	9.463203027403e-191	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YJR121W	12476.1417798932	2.0304376721471	0.0779852359598319	26.0361804020562	1.9291618507189702e-149	3.07460169958336e-146	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YBR039W	4186.85989776873	2.03074478850981	0.0815998530387248	24.8866231112705	1.0385627365085e-136	1.32416748904833e-133	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YFL026W	3992.94261228605	-5.84353475274576	0.240234247549903	-24.3243201680972	1.08419220170687e-130	1.15195421431355e-127	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YBL045C	3934.9595509598	1.99818721722442	0.0911768238244871	21.915516832116	1.84785079298165e-106	1.68286411503686e-103	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YOR153W	10619.3296310601	-3.2690133767814	0.160694074570843	-20.3430859881534	5.34584905910526e-92	4.25997346897451e-89	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YKL178C	1115.11500162233	4.21949613709509	0.208025690252369	20.2835338845705	1.79742173363866e-91	1.27317372799405e-88	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YPL187W	8395.36177600685	11.6809355303526	0.639199729390549	18.274312383533	1.32550065568974e-74	8.450066680022089e-72	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YHR051W	1054.64476413884	1.76747216901672	0.0997898258365164	17.7119476279308	3.3913183389529696e-70	1.96542312825683e-67	COX6	Subunit VI of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; expression is regulated by oxygen levels
