	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YKL209C	867.762249720109	4.06496818374729	0.13811293439441	29.4322048950096	2.1271717143510003e-190	1.32650428106929e-186	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YNL145W	1575.57032845946	7.91399317001929	0.306113815824983	25.8531067886986	2.2450563744083898e-147	7.00008577540536e-144	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YPL187W	7430.56271072298	-8.07012757426032	0.323975796763	-24.9096619404687	5.84669445686731e-137	1.21533288776749e-133	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YML123C	11442.846006638	3.59428660001326	0.157673155003508	22.7958056647836	5.0461452046595e-115	7.866940374064171e-112	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YLR040C	1073.58476981549	-4.2010412509772	0.195780647720879	-21.4578984178587	3.85331151993859e-102	4.80585012766741e-99	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YFL026W	2970.13073384441	5.59377601114229	0.279961188809164	19.9805409990429	8.13376885857729e-89	8.453697100348e-86	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YKL178C	990.158483838792	-4.04552081598848	0.216281237602301	-18.704908760636	4.515048843033109e-78	4.02226351216492e-75	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YIL015W	776.585148433869	4.15244287268287	0.246698076437687	16.8320845166044	1.42013095286703e-63	1.10699207775985e-60	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YER072W	3315.82347436459	1.55863227988084	0.111888546884808	13.9302218437558	4.15064273341417e-44	2.87593423173008e-41	VTC1	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; VTC complex is involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; also has mRNA binding activity; protein abundance increases in response to DNA replication stress
YCR005C	2246.33081450085	-3.62072973738174	0.267171684577575	-13.5520713697878	7.702548581736129e-42	4.80330929557065e-39	CIT2	Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication
YPL019C	3519.43819856207	2.60895400078207	0.198522397052702	13.1418622760709	1.89504752159512e-39	1.0743196676970099e-36	VTC3	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC3 has a paralog, VTC2, that arose from the whole genome duplication
YJR048W	1839.99761134493	1.94004247970145	0.16333202309998	11.8779063828402	1.54180684917637e-32	8.01225625955319e-30	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YKL177W	83.3029441514787	-5.09050949934515	0.439853275158678	-11.5731990344024	5.634198940467731e-31	2.70268189175052e-28	YKL177W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene STE3
YBR115C	800.96640550428	13.1163579941221	1.1848080903781	11.0704493838629	1.7452322309723199e-28	7.77376299453101e-26	LYS2	Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p
YDR281C	269.01604113859	2.5400547370577	0.235734818061983	10.7750512119505	4.51530780348509e-27	1.8771639641688702e-24	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YGL089C	959.382178252287	-4.3439777589904	0.411721162518489	-10.5507759970811	5.0379271423838006e-26	1.9635321037440802e-23	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YHR136C	516.995789800091	4.15421217819325	0.397684866286474	10.4459901051421	1.52851987352546e-25	5.606970547826331e-23	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YJR004C	2743.69075010672	-3.8770684968354	0.374189035637929	-10.3612562838076	3.72043023189352e-25	1.28892238478267e-22	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
