	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YPL187W	9791.28540302429	9.9554118608954	0.308437834313712	32.2768829026654	1.4765614385462098e-228	9.00850133657041e-225	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YKL209C	941.284760606484	-4.34593309485888	0.142515011681249	-30.4945636504528	3.0763400294283496e-204	9.384375259771181e-201	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YNL145W	1908.79301493037	-8.37108055399395	0.286775392137753	-29.1903726173718	2.5694327086638797e-187	5.22536965185279e-184	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YIL015W	1252.97194160365	-5.04196270015369	0.222539411330152	-22.6564933825299	1.2039318566493901e-113	1.83629706435449e-110	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YLR040C	1407.85528598269	3.85208194979623	0.190399964974857	20.2315265672707	5.1678049135519e-91	6.30575555551603e-88	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YFL026W	2998.12095039009	-5.77998232569334	0.287747012060275	-20.0870281304002	9.58289758653587e-90	9.74420969590923e-87	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YKL178C	1269.50910695615	4.53092733758078	0.256234948370158	17.6827063068516	5.6993599080340694e-70	4.96739925698798e-67	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YKL177W	110.984961474485	4.12952966687688	0.371649069483666	11.1113682394363	1.1045396147982e-28	8.42349523735476e-26	YKL177W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene STE3
YCR005C	2985.64080986928	2.92382230622028	0.278587115934727	10.4951813597343	9.09029806196801e-26	6.16221205289632e-23	CIT2	Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication
YLR041W	138.164685470318	2.86106796756895	0.287377395890223	9.95578639268435	2.3793423695506202e-23	1.45163677966283e-20	YLR041W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YLR040C
YGL234W	5285.33869879893	1.05680898151613	0.106633550348458	9.9106611199072	3.74162009915979e-23	2.0752385659067202e-20	ADE5,7	Enzyme of the 'de novo' purine nucleotide biosynthetic pathway; contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities
YLR108C	697.703682023721	-1.24677138773512	0.128017003345306	-9.73910773690082	2.0534943848458e-22	1.04403077016202e-19	YLR108C	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; YLR108C is not an esssential gene; protein abundance increases in response to DNA replication stress; YLR108C has a paralog, YDR132C, that arose from the whole genome duplication
YOR221C	358.335962821038	-2.1037446554011	0.216350247369062	-9.72379131054293	2.38723609458665e-22	1.12034826254409e-19	MCT1	Predicted malonyl-CoA:ACP transferase; putative component of a type-II mitochondrial fatty acid synthase that produces intermediates for phospholipid remodeling
YGL009C	2179.94680967485	-1.22448581986609	0.128397083677741	-9.53671052949593	1.47434665152671e-21	6.42499208640318e-19	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YPL274W	1878.47621481586	1.0799248877273	0.113358415507868	9.5266406370363	1.62455232674604e-21	6.60759583031838e-19	SAM3	High-affinity S-adenosylmethionine permease; required for utilization of S-adenosylmethionine as a sulfur source; has similarity to S-methylmethionine permease Mmp1p
YDR345C	22571.3945285421	1.63017742492748	0.177716784395277	9.17289512340967	4.60482382009361e-20	1.75587688289945e-17	HXT3	Low affinity glucose transporter of the major facilitator superfamily; expression is induced in low or high glucose conditions; HXT3 has a paralog, HXT5, that arose from the whole genome duplication
YGR204W	5292.8157135239	0.775254899601688	0.0863333617051461	8.97978353083727	2.71299994702252e-19	9.736478045167281e-17	ADE3	Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase; involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, methionine, and histidine; null mutation causes auxotrophy for adenine and histidine
YML123C	1442.21587167203	1.43042204364441	0.160790636334972	8.89617751536504	5.78030985360928e-19	1.95920391204835e-16	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YDL110C	523.533911460014	-1.17461097751693	0.133735228709476	-8.78310815221793	1.5901813793500298e-18	5.10615610284974e-16	TMA17	ATPase dedicated chaperone that adapts proteasome assembly to stress; Tma17p is induced upon stress; interacts with Rpt6p to assist its pairing to Rpt3p and early steps in proteasome biogenesis; associates with ribosomes; heterozygous deletion demonstrated increases in chromosome instability in a rad9 deletion background; protein abundance is decreased upon intracellular iron depletion
YDR477W	643.461490798033	12.6821011131729	1.44846434005782	8.75554942047565	2.03111604991119e-18	6.19591951025409e-16	SNF1	AMP-activated S/T protein kinase; forms a complex with Snf4p and members of the Sip1p/Sip2p/Gal83p family; required for transcription of glucose-repressed genes, thermotolerance, sporulation, and peroxisome biogenesis; regulates nucleocytoplasmic shuttling of Hxk2p; regulates filamentous growth and acts as a non-canonical GEF, activating Arf3p during invasive growth; SUMOylation by Mms21p inhibits its function and targets Snf1p for destruction via the Slx5-Slx8 Ub ligase
YER053C-A	57.5072871319985	-3.49985538066873	0.400364737517814	-8.74166741648421	2.29694830138046e-18	6.67318170796295e-16	YER053C-A	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; protein abundance increases in response to DNA replication stress
RDN5-1	176.541599045868	5.43154431284966	0.642045155578827	8.45975437343333	2.6794128029123e-17	7.43049886843998e-15	RDN5-1	RDN5-1
YCR097W	83.0723525918199	-10.0293654093151	1.20372524911625	-8.33193905060847	7.95288912253112e-17	2.1095902841983602e-14	HMRA1	Silenced copy of a1 at HMR; homeobox corepressor that interacts with Alpha2p to repress haploid-specific gene transcription in diploid cells
YFR015C	222.201134868657	-2.42246046970432	0.291253761119193	-8.31735343226332	8.994922282632461e-17	2.2257580213116802e-14	GSY1	Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, environmental stress, and entry into stationary phase; GSY1 has a paralog, GSY2, that arose from the whole genome duplication; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YMR205C	8621.74806853538	0.893954740068824	0.107501914652795	8.31570993834	9.1204639457125e-17	2.2257580213116802e-14	PFK2	Beta subunit of heterooctameric phosphofructokinase; involved in glycolysis; indispensable for anaerobic growth; activated by fructose-2,6-bisphosphate and AMP; mutation inhibits glucose induction of cell cycle-related genes
YER091C	6965.21279750715	1.84040729917702	0.224712932148321	8.19003731375045	2.6114520238897004e-16	6.127872614519631e-14	MET6	Cobalamin-independent methionine synthase; involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs
YDL023C	238.171287142025	-2.11624230172585	0.260013279906345	-8.13897775716729	3.9862919388591e-16	9.00754337739976e-14	YDL023C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in other Saccharomyces species; overlaps the verified gene GPD1; deletion confers sensitivity to GSAO; deletion in cyr1 mutant results in loss of stress resistance
YJR048W	1133.81726041472	-0.912984404093208	0.112670537218849	-8.10313349549264	5.35614100887434e-16	1.16706486768365e-13	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YDR232W	2828.90726862912	0.933856356886037	0.115408619668273	8.09173837769035	5.88191427905651e-16	1.2374330695352999e-13	HEM1	5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p
YLR257W	2379.24187961974	-1.04698913807037	0.130031113571649	-8.05183551314788	8.15614746909909e-16	1.65868852363245e-13	YLR257W	Protein of unknown function; protein abundance increases in response to DNA replication stress
YHR094C	9688.38565638593	-0.689302647153274	0.0884370164918946	-7.79427749257517	6.47780514091643e-15	1.27487384402359e-12	HXT1	Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog, HXT6, what arose from the whole genome duplication
YKL152C	43061.4578106282	0.681198080086932	0.0875894385137701	7.77717144493213	7.416406749529241e-15	1.41398429933993e-12	GPM1	Tetrameric phosphoglycerate mutase; mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis
YDL022W	3184.04685519173	-1.76028477562323	0.227051664238065	-7.75279397986512	8.9892396109498e-15	1.6257212401563998e-12	GPD1	NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases Ypk1p and Ypk2p, dephosphorylation increases catalytic activity; forms a heterodimer with Pnc1p to facilitate its peroxisomal import
YNL054W-B	676.640782076643	1.64446088798789	0.212139234908483	7.75179984361361	9.05991184483158e-15	1.6257212401563998e-12	YNL054W-B	YNL054W-B
YMR120C	2373.05458761758	2.60000315187806	0.342206604549819	7.59775853916795	3.01303846419942e-14	5.25215647716591e-12	ADE17	Enzyme of 'de novo' purine biosynthesis; contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities; ADE17 has a paralog, ADE16, that arose from the whole genome duplication; ade16 ade17 mutants require adenine and histidine
YJL170C	107.267370919354	-3.04129259250063	0.401910808150424	-7.56708336980666	3.8169695334445e-14	6.46870308987358e-12	ASG7	Protein that regulates signaling from G protein beta subunit Ste4p; contributes to relocalization of Ste4p within the cell; specific to a-cells and induced by alpha-factor
YKL060C	125955.796345144	0.747290515583235	0.0996836896458956	7.4966177339324	6.54855979017835e-14	1.07980441296968e-11	FBA1	Fructose 1,6-bisphosphate aldolase; required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress; N-terminally propionylated in vivo
YOL086C	94541.2771016531	0.774741557914665	0.103533686224502	7.48299018577122	7.2650308904766e-14	1.16641982796836e-11	ADH1	Alcohol dehydrogenase; fermentative isozyme active as homo- or heterotetramers; required for the reduction of acetaldehyde to ethanol, the last step in the glycolytic pathway; ADH1 has a paralog, ADH5, that arose from the whole genome duplication
YJL133C-A	564.477579128795	2.59963446311475	0.347589541653187	7.47903533216366	7.48701446850407e-14	1.1712378274959799e-11	YJL133C-A	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
