	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YML123C	1167.2374335636	2.21388464090429	0.155075359410657	14.2761857803707	3.0800385793447102e-46	2.04422160511108e-42	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YDR477W	534.416414582142	12.6141006014358	1.18688497956238	10.6279048253578	2.2102201130365e-26	7.33461544511163e-23	SNF1	AMP-activated S/T protein kinase; forms a complex with Snf4p and members of the Sip1p/Sip2p/Gal83p family; required for transcription of glucose-repressed genes, thermotolerance, sporulation, and peroxisome biogenesis; regulates nucleocytoplasmic shuttling of Hxk2p; regulates filamentous growth and acts as a non-canonical GEF, activating Arf3p during invasive growth; SUMOylation by Mms21p inhibits its function and targets Snf1p for destruction via the Slx5-Slx8 Ub ligase
YHR092C	538.802852179136	2.68386939901636	0.301416176839541	8.90419826552683	5.37732669608817e-19	1.18964390939791e-15	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YJR121W	14851.4481296527	0.914623081387766	0.111313802836454	8.21661876678099	2.0932115835985e-16	3.47316132008581e-13	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YBR039W	5081.18193541583	0.835674045051921	0.103172947617437	8.09973994491835	5.50767946420974e-16	7.31089372079201e-13	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YBL015W	1226.97478389637	1.04925586491834	0.14270279113359	7.35273540610772	1.94191110900761e-13	2.1480773384139102e-10	ACH1	Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth
YDR298C	2598.25755314052	0.837626334962394	0.115624981694613	7.24433701684575	4.34559625534694e-13	4.12024604953395e-10	ATP5	Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated
YIR042C	99.2760556978799	-1.83049152934194	0.258326644797233	-7.08595712524639	1.3808656079211e-12	1.1456006299715501e-09	YIR042C	Putative protein of unknown function; YIR042C is a non-essential gene
YNL055C	10024.736126697	0.97684780368099	0.139974617389674	6.97874958973135	2.97818755114254e-12	2.19624786410367e-09	POR1	Mitochondrial porin (voltage-dependent anion channel); outer membrane protein required for maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; couples the glutathione pools of the intermembrane space (IMS) and the cytosol; interacts with Om45 and Om14 in the outer membrane; phosphorylated; protein abundance increases in response to DNA replication stress
YJR077C	5828.32366149849	0.72134700829837	0.104377628164858	6.9109350440407	4.8146949483915295e-12	3.1955130372474603e-09	MIR1	Mitochondrial phosphate carrier; imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated
YNL054W-B	641.787078792179	1.37454695970632	0.202061294617867	6.80262374001827	1.02730709601537e-11	6.19839745113999e-09	YNL054W-B	YNL054W-B
YPL078C	3214.70893924491	0.730032062814962	0.110156319313992	6.62723725121993	3.42027682721311e-11	1.89169810851778e-08	ATP4	Subunit b of the stator stalk of mitochondrial F1F0 ATP synthase; ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; contributes to the oligomerization of the complex, which in turn determines the shape of inner membrane cristae; phosphorylated
YOL109W	6534.7419126717	-0.975000400297194	0.147957393223044	-6.58973762012281	4.4060453025016595e-11	2.24945559020796e-08	ZEO1	Peripheral membrane protein of the plasma membrane; interacts with Mid2p; regulates the cell integrity pathway mediated by Pkc1p and Slt2p; the authentic protein is detected in a phosphorylated state in highly purified mitochondria
YBL099W	6765.96388464454	0.866701752256232	0.133517801451174	6.49128238209626	8.51087822047043e-11	4.03476419637588e-08	ATP1	Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated; N-terminally propionylated in vivo
YDL004W	2220.25527113849	0.826083352114087	0.12951234744681	6.37841386091278	1.78931437666591e-10	7.91711967862111e-08	ATP16	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YGR254W	15765.0495743974	0.954012213647556	0.150359059662332	6.34489345563892	2.22579432397112e-10	9.23287308012269e-08	ENO1	Enolase I, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression repressed in response to glucose; protein abundance increases in response to DNA replication stress; N-terminally propionylated in vivo; ENO1 has a paralog, ENO2, that arose from the whole genome duplication
YKL016C	2535.64176682376	0.90424845917535	0.143264232683897	6.31175306100662	2.75892204649879e-10	1.07711562485956e-07	ATP7	Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YLL041C	1534.69442865367	1.38295907843455	0.219867833429155	6.28995636544607	3.17555218445715e-10	1.17089665823567e-07	SDH2	Iron-sulfur protein subunit of succinate dehydrogenase; the complex couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; other members are Sdh1p, Sdh3p, and Sdh4p
YBL045C	4778.49810106251	0.815201992739162	0.130229948772269	6.259712150887	3.8568871389074005e-10	1.34727157583834e-07	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YDR377W	1842.2460031965	0.715779031450905	0.11516979566021	6.21498915881294	5.132819360538201e-10	1.70014516098083e-07	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YFL061W	17.7918955099962	7.70411410094395	1.24107426933995	6.20761729678056	5.379395567364401e-10	1.70014516098083e-07	DDI2	Cyanamide hydratase that detoxifies cyanamide; member of the HD domain metalloprotein superfamily; expression is induced over 100-fold by cyanamide and by SN2-type DNA alkylating agents such as MMS and DMA; induction decreased in rad6 and rad18 mutants; gene and protein are identical to DDI3 and Ddi3p
YBL100C	597.139723033326	0.838139653536518	0.135694468110288	6.17666781268714	6.546861808729901e-10	1.97506917384274e-07	YBL100C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the 5' end of ATP1
RDN5-1	149.725193089703	4.76750585410233	0.790261447347217	6.032820998805	1.61121860058315e-09	4.6494164574219e-07	RDN5-1	RDN5-1
YBR092C	4795.58801147996	-0.611267852317726	0.101964834683151	-5.9948888674924	2.03624645463688e-09	5.63106988309374e-07	PHO3	Constitutively expressed acid phosphatase similar to Pho5p; brought to the cell surface by transport vesicles; hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake; expression is repressed by thiamin
YDL181W	658.803569154513	1.28223913745558	0.215240784923461	5.95723128361355	2.5654705487048903e-09	6.81081121270174e-07	INH1	Protein that inhibits ATP hydrolysis by the F1F0-ATP synthase; inhibitory function is enhanced by stabilizing proteins Stf1p and Stf2p; has a calmodulin-binding motif and binds calmodulin in vitro; INH1 has a paralog, STF1, that arose from the whole genome duplication
YDL066W	2094.84931019206	0.751762547598455	0.126637300997354	5.93634372872621	2.9144844635315203e-09	7.43978207094566e-07	IDP1	Mitochondrial NADP-specific isocitrate dehydrogenase; catalyzes the oxidation of isocitrate to alpha-ketoglutarate; not required for mitochondrial respiration and may function to divert alpha-ketoglutarate to biosynthetic processes
YPR020W	705.86993850029	0.737022667140004	0.124565163609673	5.91676393128238	3.2833741486506704e-09	8.07102008318314e-07	ATP20	Subunit g of the mitochondrial F1F0 ATP synthase; reversibly phosphorylated on two residues; unphosphorylated form is required for dimerization of the ATP synthase complex, which in turn determines oligomerization of the complex and the shape of inner membrane cristae
YIL125W	1586.92981425031	0.857111659865829	0.149384292464254	5.73762907549951	9.601110299311711e-09	2.27580603773328e-06	KGD1	Subunit of the mitochondrial alpha-ketoglutarate dehydrogenase complex; catalyzes a key step in the tricarboxylic acid (TCA) cycle, the oxidative decarboxylation of alpha-ketoglutarate to form succinyl-CoA
YLR194C	1489.30056431276	-1.389619495031	0.244584457594814	-5.68155273927131	1.33477341343641e-08	3.05479004999223e-06	NCW2	Structural constituent of the cell wall; attached to the plasma membrane by a GPI-anchor; expression is upregulated in response to cell wall stress; null mutant is sensitive to the antifungal agent polyhexamethylene biguanide, resistant to zymolyase treatment and has increased chitin deposition
YPR191W	2987.00221581067	0.886560511652904	0.162848446099552	5.44408333568584	5.20728388187212e-08	1.15202477079951e-05	QCR2	Subunit 2 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; phosphorylated; transcription is regulated by Hap1p, Hap2p/Hap3p, and heme
YNL057W	98.5587844271668	-1.21365953309914	0.223202230643854	-5.43748836917172	5.40368765105659e-08	1.15691209484073e-05	YNL057W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YMR122W-A	11099.0557844007	-0.914495485627788	0.169714915673926	-5.38842141243975	7.10792309338117e-08	1.47422767408659e-05	YMR122W-A	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and endoplasmic reticulum
YIL117C	1386.6775426516	-1.42532288040556	0.265839736024396	-5.36158702879076	8.2493961816338e-08	1.61033066051481e-05	PRM5	Pheromone-regulated protein, predicted to have 1 transmembrane segment; induced during cell integrity signaling; PRM5 has a paralog, YNL058C, that arose from the whole genome duplication
YNL046W	654.069938937684	-0.707025765579822	0.131785414110924	-5.36497737894359	8.09593649639425e-08	1.61033066051481e-05	YNL046W	Putative protein of unknown function; expression depends on Swi5p; GFP-fusion protein localizes to the endoplasmic reticulum; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO)
YHR051W	1267.3406274194	0.722579519441915	0.136296190791581	5.30153862147812	1.14830748271805e-07	2.17751907508563e-05	COX6	Subunit VI of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; expression is regulated by oxygen levels
YDR529C	2102.01722553059	0.845462205583835	0.164156342892198	5.15034747173343	2.60004307798826e-07	4.79346830794669e-05	QCR7	Subunit 7 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the mitochondrial matrix; N-terminus appears to play a role in complex assembly
YLR395C	1311.43768840416	0.772453994399849	0.150232016301941	5.14174017905307	2.7220538407136e-07	4.88277603805841e-05	COX8	Subunit VIII of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain
YMR272C	2129.83619863196	0.684991745946079	0.13477784027984	5.08237663197323	3.72741398962716e-07	6.51022280240933e-05	SCS7	Sphingolipid alpha-hydroxylase; functions in the alpha-hydroxylation of sphingolipid-associated very long chain fatty acids, has both cytochrome b5-like and hydroxylase/desaturase domains, not essential for growth
YPR010C-A	480.881240172803	1.2772110035338	0.252069512372666	5.06689996545693	4.04346634685088e-07	6.88115029334598e-05	YPR010C-A	Putative protein of unknown function; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the cytosol; conserved among Saccharomyces sensu stricto species
YDR178W	1012.62603311604	0.751424589157439	0.149019606749989	5.04245451686173	4.59598020431681e-07	7.45727403073737e-05	SDH4	Membrane anchor subunit of succinate dehydrogenase (SDH); involved in coupling the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; has similarity to human SDH subunit D (SDHD), which is implicated in paraganglioma
YHR136C	34.2809576412385	2.85270097913002	0.565786697388384	5.04200786674168	4.60672344824819e-07	7.45727403073737e-05	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YGR183C	816.449015771643	0.889056398639021	0.177187897145692	5.01759100345323	5.23234187802405e-07	8.26834596296325e-05	QCR9	Subunit 9 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; required for electron transfer at the ubiquinol oxidase site of the complex
