	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YGR234W	5609.36844911424	-2.87807396122471	0.308032236023603	-9.34341807330898	9.32733051248846e-21	5.29699099804219e-17	YHB1	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YMR011W	2770.26266406581	2.77705432257274	0.316714524505218	8.76832007282	1.81351688828464e-18	5.1494812042842405e-15	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YKR075C	691.531972660682	2.84560077292459	0.366844711496534	7.75696277947155	8.698744526986631e-15	1.6466723389585697e-11	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YHR092C	428.686798574676	2.23467849198359	0.301751522892183	7.40569084975936	1.30469455217887e-13	1.85234009045596e-10	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YGL055W	11488.274807114	-1.73521429200763	0.255328323997645	-6.79601175787939	1.07555004171161e-11	1.22160973737605e-08	OLE1	Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria
YPL265W	1240.26133985704	1.57269113377844	0.238764019820253	6.58680120632245	4.4940334410054194e-11	4.25360265191163e-08	DIP5	Dicarboxylic amino acid permease; mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly; relocalizes from plasma membrane to vacuole upon DNA replication stress
YBR067C	7456.35011870283	-1.8723704385507	0.295810853399696	-6.32962048901152	2.45764918387322e-10	1.99385567360229e-07	TIP1	Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins
YPR036W-A	2103.79301358828	1.50063892211307	0.243112137631074	6.17262032548252	6.71673742061617e-10	4.7680439764599e-07	SPO24	Small (67 amino acids) protein involved in sporulation; localizes to the prospore membrane; phosphorylated during meiosis; a longer, 5'-extended mRNA is also transcribed beginning in mid-meiosis, regulated by two MSEs (middle sporulation elements), and includes an uORF of 15 codons in its 5'-UTR; evidence transcription is regulated by Pdr1p
YJL133C-A	237.537947848414	2.22533008099885	0.374242581137868	5.94622363450155	2.7439920054303803e-09	1.73145895542657e-06	YJL133C-A	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YOL002C	1424.37525878833	-1.35746817925435	0.244602030929668	-5.54970117825667	2.86158289103208e-08	1.62509292381712e-05	IZH2	Plasma membrane receptor for plant antifungal osmotin; involved in zinc ion homeostasis, apoptosis; negatively regulates ZRT1 and other functionally divergent genes through CCCTC promoter motif (IzRE); modulates FET3 activity in iron-independent manner; affects gene expression by influencing balance of competition between Msn2p/Msn4p and Nrg1p/Nrg2p for binding to IzRE; transcription regulated by Zap1p, zinc, fatty acid levels; homolog of mammalian adiponectin receptor
YDR277C	247.503350227159	1.85933095845769	0.402198375857341	4.62292010626416	3.78375481409786e-06	0.0019534494172056	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YHR216W	2432.97300592967	-1.24143061815756	0.276697616169637	-4.48659672368287	7.23698707301553e-06	0.0034249041323046	IMD2	Inosine monophosphate dehydrogenase; catalyzes the rate-limiting step in GTP biosynthesis, expression is induced by mycophenolic acid resulting in resistance to the drug, expression is repressed by nutrient limitation; IMD2 has a paralog, YAR073W/YAR075W, that arose from a segmental duplication
