	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YGL037C	2530.00240820085	-3.30354579404232	0.301359305174993	-10.9621496244293	5.81026068552666e-28	3.37866658863375e-24	PNC1	Nicotinamidase that converts nicotinamide to nicotinic acid; part of the NAD(+) salvage pathway; required for life span extension by calorie restriction; lacks a peroxisomal targeting signal but is imported into peroxisomes via binding to Gpd1p; PNC1 expression responds to all known stimuli that extend replicative life span; protein increases in abundance and relative distribution to cytoplasmic foci decreases upon DNA replication stress
YCL040W	3855.19618464182	-3.48335531014934	0.325652033578327	-10.6965562962207	1.05631255135358e-26	3.07122874306055e-23	GLK1	Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication
YPL061W	17200.2311258709	-2.10635323836165	0.221248950079972	-9.52028580293963	1.72703425478647e-21	3.3475680638611002e-18	ALD6	Cytosolic aldehyde dehydrogenase; activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress
YOL052C-A	542.947216332079	-4.39786682069779	0.464412622396634	-9.46974007295988	2.8054090891192702e-21	4.0783634633071295e-18	DDR2	Multi-stress response protein; expression is activated by a variety of xenobiotic agents and environmental or physiological stresses; DDR2 has a paralog, HOR7, that arose from the whole genome duplication
YML100W	2673.47437754765	-4.45031886379322	0.47584272722723	-9.35249949016885	8.560047317889811e-21	9.95533503070585e-18	TSL1	Large subunit of trehalose 6-phosphate synthase/phosphatase complex; Tps1p-Tps2p complex converts uridine-5'-diphosphoglucose and glucose 6-phosphate to trehalose; contributes to survival to acute lethal heat stress; mutant has aneuploidy tolerance; protein abundance increases in response to DNA replication stress; TSL1 has a paralog, TPS3, that arose from the whole genome duplication
YPR149W	6166.63337973732	-1.87949111447015	0.203954071935949	-9.21526644028169	3.10506188792947e-20	3.00932247971831e-17	NCE102	Protein of unknown function; contains transmembrane domains; involved in secretion of proteins that lack classical secretory signal sequences; component of the detergent-insoluble glycolipid-enriched complexes (DIGs); NCE102 has a paralog, FHN1, that arose from the whole genome duplication
YDR171W	666.599292358456	-4.10366479805965	0.458435704525309	-8.95145111419458	3.5083947649682703e-19	2.91447365118436e-16	HSP42	Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress
YPR160W	849.205085557421	-3.41225217667126	0.383511867570188	-8.89738353676048	5.717863669904611e-19	4.1561721550619197e-16	GPH1	Glycogen phosphorylase required for the mobilization of glycogen; non-essential; regulated by cyclic AMP-mediated phosphorylation; phosphorylation by Cdc28p may coordinately regulate carbohydrate metabolism and the cell cycle; expression is regulated by stress-response elements and by the HOG MAP kinase pathway
YGR248W	263.318054251923	-4.98293727751076	0.572411533732457	-8.70516574852904	3.17110984810182e-18	2.0488893074124603e-15	SOL4	6-phosphogluconolactonase; protein abundance increases in response to DNA replication stress; SOL4 has a paralog, SOL3, that arose from the whole genome duplication
YFR053C	5793.5194458847	-2.55975841691797	0.305196471071328	-8.38724775529835	4.97655480136642e-17	2.89386661699457e-14	HXK1	Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication
YLL026W	3144.3035171356	-2.66494062485042	0.319253614498062	-8.34740940690774	6.977651365058591e-17	3.6886402443468803e-14	HSP104	Disaggregase; heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; potentiated Hsp104p variants decrease TDP-43 proteotoxicity by eliminating its cytoplasmic aggregation
YMR105C	1342.74077117814	-2.89793589522827	0.348485560257849	-8.31579906233145	9.1136119354421e-17	4.41630445038298e-14	PGM2	Phosphoglucomutase; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism; functions as the acceptor for a Glc-phosphotransferase; protein abundance increases in response to DNA replication stress; PGM2 has a paralog, PGM1, that arose from the whole genome duplication
YDR258C	956.218614347029	-2.72634627606124	0.332175204030401	-8.20755505823886	2.25737956453043e-16	1.00974324367265e-13	HSP78	Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates
YML128C	1617.64930967827	-3.08164682819458	0.381220270156183	-8.08363843541702	6.28625231991047e-16	2.6110398028771e-13	MSC1	Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria and is phosphorylated
YNL036W	3913.0582921048	-2.24690827286433	0.279929149299565	-8.02670346581096	1.0012671013199999e-15	3.8815787961172e-13	NCE103	Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate, which is an important metabolic substrate, and protons; not expressed under conditions of high CO2, such as inside a growing colony, but transcription is induced in response to low CO2 levels, such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress
YKL103C	1268.42095925533	-2.08946499385737	0.26265276147428	-7.95523710517689	1.7878877671069303e-15	6.49785460357924e-13	APE1	Vacuolar aminopeptidase yscI; zinc metalloproteinase that belongs to the peptidase family M18; often used as a marker protein in studies of autophagy and cytosol to vacuole targeting (CVT) pathway; protein increases in abundance and relative distribution to cytoplasmic foci increases upon DNA replication stress
YFR015C	309.5858682861	-3.46248775286847	0.470209152957037	-7.36371831788828	1.78856902719247e-13	6.117958172426001e-11	GSY1	Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, environmental stress, and entry into stationary phase; GSY1 has a paralog, GSY2, that arose from the whole genome duplication; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YEL007W	1235.72637984232	-1.41691222821497	0.196573309162046	-7.20806010874516	5.67545783286384e-13	1.83348818322796e-10	MIT1	Transcriptional regulator of pseudohyphal growth; protein with sequence similarity to S. pombe gti1+ (gluconate transport inducer 1) and C. albicans Wor1
YLR327C	532.742089818222	-2.70022264674828	0.37975138007748	-7.11050120791492	1.15622290663224e-12	3.5386506326665603e-10	TMA10	Protein of unknown function that associates with ribosomes; protein abundance increases in response to DNA replication stress; TMA10 has a paralog, STF2, that arose from the whole genome duplication
YPL240C	2523.92462170664	-3.0765508268477	0.441812484472859	-6.96347644073127	3.31976700533974e-12	9.65222256802529e-10	HSP82	Hsp90 chaperone; redundant in function with Hsc82p; required for pheromone signaling, negative regulation of Hsf1p; docks with Tom70p for mitochondrial preprotein delivery; promotes telomerase DNA binding, nucleotide addition; protein abundance increases in response to DNA replication stress; contains two acid-rich unstructured regions that promote solubility of chaperone-substrate complexes; HSP82 has a paralog, HSC82, that arose from the whole genome duplication
YBR054W	1280.73221283515	-3.23663870665482	0.473141956239622	-6.84073492948834	7.87879234243955e-12	2.1816751176802804e-09	YRO2	Protein with a putative role in response to acid stress; null mutant is sensitive to acetic acid; transcription is regulated by Haa1p and induced in the presence of acetic acid; protein observed in plasma membrane foci in the presence of acetic acid; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies
YMR250W	1031.4254012651	-2.79970411516464	0.410630815163758	-6.81805654075942	9.22803265894029e-12	2.4391368141699e-09	GAD1	Glutamate decarboxylase; converts glutamate into gamma-aminobutyric acid (GABA) during glutamate catabolism; involved in response to oxidative stress
YLR258W	1253.06416446835	-2.45417060760444	0.360981268567696	-6.79860929444378	1.05633860613736e-11	2.6706995629081602e-09	GSY2	Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, heat shock, and stationary phase; activity regulated by cAMP-dependent, Snf1p and Pho85p kinases as well as by the Gac1p-Glc7p phosphatase; GSY2 has a paralog, GSY1, that arose from the whole genome duplication; relocalizes from cytoplasm to plasma membrane upon DNA replication stress
YBR214W	877.667472279776	-2.09299690390098	0.310066318597502	-6.75015884784928	1.47683378319776e-11	3.5782451872062405e-09	SDS24	Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; may play an indirect role in fluid-phase endocytosis; protein abundance increases in response to DNA replication stress; SDS24 has a paralog, SDS23, that arose from the whole genome duplication
YBR085C-A	1230.99741582391	-1.57276908303762	0.2359077247951	-6.6668825041811	2.6129410902959598e-11	6.0777009760284e-09	YBR085C-A	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus; protein abundance increases in response to DNA replication stress
YIL101C	414.767702461833	-1.91920937990802	0.289946535659555	-6.61918369033899	3.61187807610685e-11	8.07810423560051e-09	XBP1	Transcriptional repressor; binds promoter sequences of cyclin genes, CYS3, and SMF2; not expressed during log phase of growth, but induced by stress or starvation during mitosis, and late in meiosis; represses 15% of all yeast genes as cells transition to quiescence; important for maintaining G1 arrest and for longevity of quiescent cells; member of Swi4p/Mbp1p family; phosphorylated by Cdc28p; relative distribution to nucleus increases upon DNA replication stress
YDL124W	3682.84952752878	-1.59676694947209	0.242303568523384	-6.58994400785308	4.3999247946509495e-11	9.4761343262575e-09	YDL124W	NADPH-dependent alpha-keto amide reductase; reduces aromatic alpha-keto amides, aliphatic alpha-keto esters, and aromatic alpha-keto esters; member of the aldo-keto reductase (AKR) family; protein abundance increases in response to DNA replication stress
YER150W	682.580704692141	-2.41521851111635	0.36743631819358	-6.57316218219866	4.9257753762899194e-11	1.02297799332592e-08	SPI1	GPI-anchored cell wall protein involved in weak acid resistance; basal expression requires Msn2p/Msn4p; expression is induced under conditions of stress and during the diauxic shift; SPI1 has a paralog, SED1, that arose from the whole genome duplication
YBR139W	811.005544837555	-1.68729935786032	0.260617009438407	-6.47424878942559	9.528479252068589e-11	1.91062437416479e-08	YBR139W	Putative serine type carboxypeptidase; role in phytochelatin synthesis; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; expression induced by nitrogen limitation in a GLN3, GAT1-independent manner
YOL151W	1738.18471520335	-1.22910724639873	0.19057648231625	-6.44941721801278	1.1228106944906001e-10	2.17638139615428e-08	GRE2	3-methylbutanal reductase and NADPH-dependent methylglyoxal reductase; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway; restores resistance to glycolaldehyde by coupling reduction of glycolaldehyde to ethylene glycol and oxidation of NADPH to NADP+; protein abundance increases in response to DNA replication stress; methylglyoxal reductase (NADPH-dependent) is also known as D-lactaldehyde dehydrogenase
YBR072W	1052.64416250441	-2.60360754037223	0.415183520479584	-6.27097996896594	3.58782778009055e-10	6.73007049716986e-08	HSP26	Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity
YNL200C	516.671582811311	-1.7390440224109	0.277684565315416	-6.2626600093367	3.78465198655585e-10	6.87742228181946e-08	NNR1	NADHX epimerase; catalyzes isomerization of (R)- and (S)-NADHX; homologous to AIBP in mammals and the N- terminal domain of YjeF in E.coli; enzyme is widespread in eukaryotes, prokaryotes and archaea; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YDR516C	1435.16994031538	-1.80083894366569	0.291283585792611	-6.18242507131129	6.312427539106541e-10	1.11232624666377e-07	EMI2	Non-essential protein of unknown function; required for transcriptional induction of the early meiotic-specific transcription factor IME1; required for sporulation; expression regulated by glucose-repression transcription factors Mig1/2p; EMI2 has a paralog, GLK1, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress
YPL004C	4665.09064625249	-1.53030434751166	0.248957379367516	-6.14685273197944	7.90354460614877e-10	1.35173858484574e-07	LSP1	Eisosome core component; eisosomes are large immobile patch structures at the cell cortex associated with endocytosis; phosphorylated on Thr233 upon Pkc1p hyperactivation in a Slt2p MAPK-dependent fashion; null mutants show activation of Pkc1p/Ypk1p stress resistance pathways; member of the BAR domain family
YGR008C	1162.4362546798	-2.55119666171754	0.418255932357469	-6.09960663878191	1.0632980406604e-09	1.7665937446972e-07	STF2	Protein involved in resistance to desiccation stress; Stf2p exhibits antioxidant properties, and its overexpression prevents ROS accumulation and apoptosis; binds to F0 sector of mitochondrial F1F0 ATPase in vitro and may modulate the inhibitory action of Inh1p and Stf1p; protein abundance increases in response to DNA replication stress; STF2 has a paralog, TMA10, that arose from the whole genome duplication
YHL028W	438.355709338446	-1.52763844741971	0.254809936274215	-5.99520752509327	2.0322574765081e-09	3.28266034052628e-07	WSC4	Endoplasmic reticulum (ER) membrane protein; involved in the translocation of soluble secretory proteins and insertion of membrane proteins into the ER membrane; may also have a role in the stress response but has only partial functional overlap with WSC1-3
YDL130W-A	662.722336436194	-1.82330289916907	0.308337830779644	-5.91332855445852	3.3526247473658804e-09	5.26905754214394e-07	STF1	Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p act as stabilizing factors that enhance inhibitory action of the Inh1p protein; protein abundance increases in response to DNA replication stress; STF1 has a paralog, INH1, that arose from the whole genome duplication
YKR077W	435.205319095512	-1.41396775374259	0.241257119922763	-5.86083326450745	4.60550236763669e-09	6.86692211995061e-07	MSA2	Putative transcriptional activator; interacts with G1-specific transcription factor MBF and G1-specific promoters; MSA2 has a paralog, MSA1, that arose from the whole genome duplication
YLL039C	3589.45299981653	-1.33863069896826	0.228325523227159	-5.86281673659617	4.55080406527367e-09	6.86692211995061e-07	UBI4	Ubiquitin; becomes conjugated to proteins, marking them for selective degradation via the ubiquitin-26S proteasome system; essential for the cellular stress response; encoded as a polyubiquitin precursor comprised of 5 head-to-tail repeats; protein abundance increases in response to DNA replication stress
YDR358W	376.368101279597	-1.48961077003268	0.255420481868454	-5.83199420475549	5.47688217032446e-09	7.64941768210811e-07	GGA1	Golgi-localized protein with homology to gamma-adaptin; interacts with and regulates Arf1p and Arf2p in a GTP-dependent manner in order to facilitate traffic through the late Golgi; GGA1 has a paralog, GGA2, that arose from the whole genome duplication
YKL035W	3396.70876840702	-1.47035613695296	0.252003697754173	-5.83466095956766	5.39000535169415e-09	7.64941768210811e-07	UGP1	UDP-glucose pyrophosphorylase (UGPase); catalyses the reversible formation of UDP-Glc from glucose 1-phosphate and UTP, involved in a wide variety of metabolic pathways, expression modulated by Pho85p through Pho4p; involved in PKA-mediated oxidative stress resistance and long-term survival in stationary phase; UGP1 has a paralog, YHL012W, that arose from the whole genome duplication
