	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YHR092C	30497.1575783056	-7.53310014434249	0.22984959841825	-32.774040921467	1.3802446290354602e-235	9.271103173231179e-232	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YDR342C	5166.89336957348	-6.17571312400896	0.246919357630447	-25.0110529335325	4.6350962595023597e-138	1.55669707875387e-134	HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication
YMR303C	10069.9117731469	-4.5081275256699	0.18153373507919	-24.8335524176999	3.8934972733295e-136	8.71754039498474e-133	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YMR011W	26974.83588037	-4.60010293257741	0.205731936327357	-22.3596929805678	9.71789166007573e-111	1.63187695701822e-107	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YLR174W	2883.12907538105	-5.05108223841958	0.230879696512004	-21.8775505803602	4.25068130322911e-106	5.71036526275799e-103	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YDR277C	2178.4750876349	-3.81167507100542	0.202113489469541	-18.8590829885199	2.4747481071738098e-79	2.77048050598109e-76	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YJR095W	3404.25451488376	-7.41392911034819	0.39858593897929	-18.6005786589813	3.17858191275448e-77	3.05007638685312e-74	SFC1	Mitochondrial succinate-fumarate transporter; transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YKL217W	2745.30150454283	-5.13201567401734	0.280411512285511	-18.3017295980059	8.01631134854534e-75	6.73069541602238e-72	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YDR028C	391.751312694236	8.35956281262327	0.463595045404192	18.0320365704833	1.09194635479356e-72	8.14955962794261e-70	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YKL096W	2877.53610564685	3.75512786483064	0.20923834228273	17.9466527208315	5.09713554664145e-72	3.4237459466790597e-69	CWP1	Cell wall mannoprotein that localizes to birth scars of daughter cells; linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond; required for propionic acid resistance
YLR377C	2961.45822793405	-5.58680167114642	0.314389417518349	-17.7703235536557	1.1999665434345e-70	7.3274320656814306e-68	FBP1	Fructose-1,6-bisphosphatase; key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; glucose starvation results in redistribution to the periplasm; interacts with Vid30p
YNL117W	1447.1115426395	-5.69523042338027	0.323731217711114	-17.5924659464336	2.8136284338357297e-69	1.57492851583955e-66	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
