	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YHR092C	16870.5891289696	-6.68666268662326	0.337998042636632	-19.7831402645483	4.1596182824361e-87	2.74576402823607e-83	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YPL187W	12341.4722729519	-10.0040967287169	0.544134618833575	-18.3853340376726	1.72175938637599e-75	5.68266685473395e-72	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YNL145W	1203.12359822962	8.41863651541707	0.474624510065132	17.737466854086	2.15430290244785e-70	4.74018448635275e-67	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YDR461W	870.972417607881	8.15124819158123	0.463070771930985	17.6025970233251	2.35283483242025e-69	3.88276568220151e-66	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YFL026W	1743.29406244168	6.40322946047778	0.399992274431322	16.008382835847	1.11674825675785e-57	1.47433104857172e-54	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YMR011W	36561.527870773	-5.0539111641745	0.321377656909442	-15.7257701508434	1.00718667833725e-55	1.10807321061737e-52	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YIL015W	819.540620008655	5.16666358167552	0.375474013228834	13.76037595051	4.41226444981746e-43	4.1607653761778694e-40	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YKL178C	2180.72410171325	-4.96169294703671	0.381568917911141	-13.0033991610191	1.1702383413567201e-38	9.655929114119609e-36	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YDR028C	387.447743979256	9.37425219070339	0.727721383793076	12.8816500373293	5.71015595303304e-38	4.18808216066345e-35	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YLR174W	1722.83865325938	-4.30832105699648	0.342914115595258	-12.5638486753972	3.3369723206079595e-36	2.20273542883331e-33	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
