	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YER091C	9075.60968563499	-1.98244003637238	0.0522874297282909	-37.9142758914339	0.0	0.0	MET6	Cobalamin-independent methionine synthase; involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs
YFR053C	1758.61887412071	4.04544725708943	0.0948692155202301	42.6423601682125	0.0	0.0	HXK1	Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication
YOR374W	1684.5907409626	2.7822399051185	0.0882646859692431	31.5215521877912	4.40155256708267e-218	8.70186942512243e-215	ALD4	Mitochondrial aldehyde dehydrogenase; required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed; can substitute for cytosolic NADP-dependent aldehyde dehydrogenase when directed to the cytosol; human homolog ALDH2 can complement yeast ald4 mutant
YOL155C	1999.88143464967	2.48095129097583	0.0793034229008264	31.2842901381243	7.63286830525552e-215	1.13176354796176e-211	HPF1	Haze-protective mannoprotein; reduces the particle size of aggregated proteins in white wines
YEL071W	4461.24891196935	-2.01127443701559	0.0653582408884101	-30.773080940926	6.00720250597181e-208	7.12574361258376e-205	DLD3	2-hydroxyglutarate transhydrogenase, and minor D-lactate dehydrogenase; converts D-2-hydroxyglutarate (D-2HG), an oncometabolite, to alpha-ketoglutarate in the presence of FAD, with concomitant reduction of pyruvate to D-lactate; minor lactate dehydrogenase activity; component of the retrograde regulon that consists of genes whose expression are stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source; located in the cytoplasm
YKL096W	4039.52316815934	1.99123554434363	0.0676032294437064	29.4547399692161	1.09474210584453e-190	1.0821525716273199e-187	CWP1	Cell wall mannoprotein that localizes to birth scars of daughter cells; linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond; required for propionic acid resistance
YGR254W	6964.00290073146	1.48091761122729	0.0520393986687169	28.4576234374809	3.9217666694440996e-178	3.3228568737818496e-175	ENO1	Enolase I, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression repressed in response to glucose; protein abundance increases in response to DNA replication stress; N-terminally propionylated in vivo; ENO1 has a paralog, ENO2, that arose from the whole genome duplication
YJR121W	7616.27877167134	1.46927066953009	0.0539128992364809	27.252674041612	1.54490748537878e-163	1.1453557869727e-160	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YGR234W	4533.09035429114	1.64845746361359	0.0621850695303715	26.5088947566179	7.65415864150831e-155	5.044090544753981e-152	YHB1	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YBL030C	5105.93350792871	1.49256439380528	0.056459032726014	26.4362374227777	5.2531449957248804e-154	3.1156402969644304e-151	PET9	Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog, AAC3, that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant
YDR074W	2220.49327054306	2.01785089222284	0.0775815707255096	26.0094101389384	3.8757857577150704e-149	2.08975321172801e-146	TPS2	Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex; involved in synthesis of the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress
YBL045C	2666.83514198291	1.77628378444721	0.0688459267172913	25.8008551724685	8.67329921592717e-147	4.2867781374720104e-144	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YBR067C	6026.12612910013	1.49691067527669	0.0602188962392081	24.8578231877665	2.1282713957563702e-136	9.709828960177719e-134	TIP1	Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins
YNL036W	2444.00522396614	1.76276464574967	0.0720634936329051	24.4612709831871	3.81826621525033e-132	1.61758120876069e-129	NCE103	Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate, which is an important metabolic substrate, and protons; not expressed under conditions of high CO2, such as inside a growing colony, but transcription is induced in response to low CO2 levels, such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress
YMR145C	2408.49169315749	1.75107639307875	0.0720009780502326	24.3201750934145	1.19940137702053e-130	4.74243304473916e-128	NDE1	Mitochondrial external NADH dehydrogenase; type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain; NDE1 has a paralog, NDE2, that arose from the whole genome duplication
YKL029C	3271.0792944986	-1.97558184474893	0.0817020220807776	-24.1803298674261	3.58323794906082e-129	1.32826151724248e-126	MAE1	Mitochondrial malic enzyme; catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids
YKL085W	2228.00474591324	1.88916159311959	0.0782676034654835	24.1372101542973	1.01732819028234e-128	3.5492785273909195e-126	MDH1	Mitochondrial malate dehydrogenase; catalyzes interconversion of malate and oxaloacetate; involved in the tricarboxylic acid (TCA) cycle; phosphorylated
YKL216W	11898.4465709297	-1.13166946800854	0.0475631542775788	-23.7929860875945	3.94757803453679e-125	1.30072696237987e-122	URA1	Dihydroorotate dehydrogenase; catalyzes the fourth enzymatic step in the de novo biosynthesis of pyrimidines, converting dihydroorotic acid into orotic acid
YER062C	1608.28668463183	2.09662959494702	0.0895114600743407	23.4230297797147	2.49006468823761e-121	7.77293350838805e-119	GPP2	DL-glycerol-3-phosphate phosphatase involved in glycerol biosynthesis; also known as glycerol-1-phosphatase; induced in response to hyperosmotic or oxidative stress, and during diauxic shift; GPP2 has a paralog, GPP1, that arose from the whole genome duplication
YNL055C	5172.504331366	1.29227222271138	0.0568429567226354	22.7340781904962	2.06259119101694e-114	6.11661417696074e-112	POR1	Mitochondrial porin (voltage-dependent anion channel); outer membrane protein required for maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; couples the glutathione pools of the intermembrane space (IMS) and the cytosol; interacts with Om45 and Om14 in the outer membrane; phosphorylated; protein abundance increases in response to DNA replication stress
YCR005C	2239.52358024961	-2.33609238470785	0.10559795733857	-22.1225149007175	1.91925501936886e-108	5.4205245332746405e-106	CIT2	Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication
YBR039W	2530.85419495879	1.55741065925223	0.0743261221187771	20.9537456664752	1.73438303082235e-97	4.67573897991245e-95	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YLR058C	5220.95449670341	-1.24649100898801	0.0600046823168138	-20.773229035807	7.56011285539818e-96	1.94952301501594e-93	SHM2	Cytosolic serine hydroxymethyltransferase; converts serine to glycine plus 5,10 methylenetetrahydrofolate; major isoform involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis
YOL058W	2566.35181695246	-1.5843390815389	0.0793702553784583	-19.9613705913425	1.19392455034902e-88	2.95048604505002e-86	ARG1	Arginosuccinate synthetase; catalyzes the formation of L-argininosuccinate from citrulline and L-aspartate in the arginine biosynthesis pathway; potential Cdc28p substrate
YDL022W	3245.71163099378	1.44440616867474	0.0730563638613028	19.7711204381447	5.2790474796389e-87	1.25240122406953e-84	GPD1	NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases Ypk1p and Ypk2p, dephosphorylation increases catalytic activity; forms a heterodimer with Pnc1p to facilitate its peroxisomal import
YPR191W	1992.86889505242	1.73690219134536	0.0884171459747506	19.6444046253355	6.454921134657809e-86	1.4724668172944399e-83	QCR2	Subunit 2 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; phosphorylated; transcription is regulated by Hap1p, Hap2p/Hap3p, and heme
YMR105C	650.842182409341	2.52760023708597	0.129409081167477	19.5318613986204	5.88546256379664e-85	1.29283994318066e-82	PGM2	Phosphoglucomutase; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism; functions as the acceptor for a Glc-phosphotransferase; protein abundance increases in response to DNA replication stress; PGM2 has a paralog, PGM1, that arose from the whole genome duplication
YPR160W	390.660638076344	3.47366342956907	0.179320590838191	19.3712468452857	1.34949702836774e-83	2.85852388401752e-81	GPH1	Glycogen phosphorylase required for the mobilization of glycogen; non-essential; regulated by cyclic AMP-mediated phosphorylation; phosphorylation by Cdc28p may coordinately regulate carbohydrate metabolism and the cell cycle; expression is regulated by stress-response elements and by the HOG MAP kinase pathway
YLR300W	13135.0399560836	0.853827071324063	0.0449105770469596	19.0117145551544	1.36419947093128e-80	2.7900231248598e-78	EXG1	Major exo-1,3-beta-glucanase of the cell wall; involved in cell wall beta-glucan assembly; exists as three differentially glycosylated isoenzymes; EXG1 has a paralog, SPR1, that arose from the whole genome duplication
YJR016C	7267.27309274177	-0.984376770309384	0.052293367905027	-18.8241226324754	4.79077856324619e-79	9.471369219537709e-77	ILV3	Dihydroxyacid dehydratase; catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids
YOR065W	1339.82217368698	1.77357444109842	0.094688245649456	18.7306716787673	2.78381549811008e-78	5.32606765138416e-76	CYT1	Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex
YPL265W	2216.7217347031	-1.56465925538917	0.0856364560676189	-18.2709482297318	1.4097962668654101e-74	2.61296926836835e-72	DIP5	Dicarboxylic amino acid permease; mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly; relocalizes from plasma membrane to vacuole upon DNA replication stress
YBL099W	4127.89445072281	1.27646903908638	0.070153509789234	18.1953695962091	5.6159063646724405e-74	1.00933153481431e-71	ATP1	Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated; N-terminally propionylated in vivo
YGL009C	5547.49175421426	-1.07780800777696	0.0593634246448747	-18.1560955120875	1.14912531889201e-73	2.00454772539662e-71	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YJL159W	21088.0256789666	0.781441944189079	0.0431699004574501	18.1015461214533	3.0984690669418804e-73	5.25057715315208e-71	HSP150	O-mannosylated heat shock protein; secreted and covalently attached to the cell wall via beta-1,3-glucan and disulfide bridges; required for cell wall stability; induced by heat shock, oxidative stress, and nitrogen limitation; HSP150 has a paralog, PIR3, that arose from the whole genome duplication
YGR008C	685.243878986315	2.26433713688632	0.126033415496096	17.966164988653	3.58668528593261e-72	5.90906400857398e-70	STF2	Protein involved in resistance to desiccation stress; Stf2p exhibits antioxidant properties, and its overexpression prevents ROS accumulation and apoptosis; binds to F0 sector of mitochondrial F1F0 ATPase in vitro and may modulate the inhibitory action of Inh1p and Stf1p; protein abundance increases in response to DNA replication stress; STF2 has a paralog, TMA10, that arose from the whole genome duplication
YJR077C	3173.60168718454	1.18108230660148	0.0659044777202445	17.9211238364563	8.06816174170492e-72	1.29330452135275e-69	MIR1	Mitochondrial phosphate carrier; imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated
YKL150W	1579.98724896954	1.47539988903838	0.084980284249462	17.361672793507	1.6096443433984e-67	2.51231594755156e-65	MCR1	Mitochondrial NADH-cytochrome b5 reductase; involved in ergosterol biosynthesis
YLR348C	1689.15292565348	-1.69937502217867	0.0979088363663131	-17.3567073744057	1.7550425049988603e-67	2.66901464029442e-65	DIC1	Mitochondrial dicarboxylate carrier; integral membrane protein, catalyzes a dicarboxylate-phosphate exchange across the inner mitochondrial membrane, transports cytoplasmic dicarboxylates into the mitochondrial matrix
YKL109W	601.800598109753	2.31034038350658	0.133390762695771	17.3200927621642	3.3182243815807506e-67	4.92009720178885e-65	HAP4	Transcription factor; subunit of the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex, a transcriptional activator and global regulator of respiratory gene expression; provides the principal activation function of the complex; involved in diauxic shift
YML120C	1040.96803648202	1.80649053638336	0.105302572262636	17.155236548997	5.74357200073094e-66	8.3085672039842e-64	NDI1	NADH:ubiquinone oxidoreductase; transfers electrons from NADH to ubiquinone in respiratory chain but does not pump protons, in contrast to higher eukaryotic multisubunit respiratory complex I; upon apoptotic stress, is activated in mitochondria by N-terminal cleavage, then translocates to cytoplasm to induce apoptosis; homolog of human AIFM2; yeast NDI1 complements several phenotypes of human cell line with mutated MT-ND4, implicated in Leber hereditary optic neuropathy
YLR420W	3176.42097987677	-1.18324480927656	0.0692536444094212	-17.0856684780562	1.89756079070149e-65	2.67962691658346e-63	URA4	Dihydroorotase; catalyzes the third enzymatic step in the de novo biosynthesis of pyrimidines, converting carbamoyl-L-aspartate into dihydroorotate
YOL143C	4827.63397901458	-1.14965009404604	0.067410993453194	-17.0543413641321	3.24509973556695e-65	4.47597361201106e-63	RIB4	Lumazine synthase (DMRL synthase); catalyzes synthesis of immediate precursor to riboflavin; DMRL synthase stands for 6,7-dimethyl-8-ribityllumazine synthase
YPL111W	2312.55173349194	1.23687906782998	0.072936389590953	16.9583259435617	1.67035931582686e-64	2.2515684323111698e-62	CAR1	Arginase, catabolizes arginine to ornithine and urea; expression responds to both induction by arginine and nitrogen catabolite repression; disruption decreases production of carcinogen ethyl carbamate during wine fermentation and also enhances freeze tolerance
YDR529C	1451.67997450596	1.45343220521078	0.0862717900558252	16.8471316553219	1.10128073413795e-63	1.45148800759382e-61	QCR7	Subunit 7 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the mitochondrial matrix; N-terminus appears to play a role in complex assembly
YCL040W	2373.37251311354	1.43390734800498	0.0852644918749487	16.8171687471965	1.82682909113126e-63	2.3554181172825e-61	GLK1	Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication
YML131W	688.277533123678	2.07416967109313	0.123388996756443	16.8100051513291	2.06153441356141e-63	2.60148098017718e-61	YML131W	Protein of unknown function; similar to medium chain dehydrogenase/reductases; expression induced by stresses including osmotic shock, DNA damaging agents, and other chemicals; GFP-fusion protein localizes to the cytoplasm; protein abundance increases in response to DNA replication stress
YLL024C	28177.2718369728	-0.781936951527367	0.0465593450605611	-16.7944147519747	2.68136273294298e-63	3.31315882689267e-61	SSA2	HSP70 family ATP-binding protein; involved in protein folding, vacuolar import of proteins; required for ubiquitin-dependent degradation of short-lived proteins; associated with chaperonin-containing T-complex; 98% identical to paralog Ssa1p with distinct functional specificity in propagation of yeast [URE3] prions and vacuolar-mediated degradation of gluconeogenesis enzymes; binds tRNA, has role in tRNA nuclear import during starvation
YMR122W-A	7808.6629894735	0.806612006341676	0.048721018874047	16.5557294363429	1.4556649253301301e-61	1.76194870859858e-59	YMR122W-A	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and endoplasmic reticulum
YJR048W	694.230798952408	2.01680479857491	0.12201578091968	16.529048811338	2.26692742395406e-61	2.6890293102943e-59	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YLR327C	213.052961891671	3.6554215714614	0.228472419068499	15.9993997803536	1.29012868417908e-57	1.50034376977767e-55	TMA10	Protein of unknown function that associates with ribosomes; protein abundance increases in response to DNA replication stress; TMA10 has a paralog, STF2, that arose from the whole genome duplication
YMR186W	21206.4676249028	-0.657213559748904	0.0411789834274587	-15.9599267647454	2.43016387027857e-57	2.7717888297350397e-55	HSC82	Cytoplasmic chaperone of the Hsp90 family; plays a role in determining prion variants; redundant in function and nearly identical with Hsp82p, and together they are essential; expressed constitutively at 10-fold higher basal levels than HSP82 and induced 2-3 fold by heat shock; contains two acid-rich unstructured regions that promote the solubility of chaperone-substrate complexes; HSC82 has a paralog, HSP82, that arose from the whole genome duplication
YGR138C	934.715998111946	1.84642333493154	0.11700078226573	15.7812905108443	4.18542363335773e-56	4.6837259564990005e-54	TPO2	Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; transcription of TPO2 is regulated by Haa1p; TPO2 has a paralog, TPO3, that arose from the whole genome duplication
YLL041C	854.903136465083	1.73696109378923	0.110162615912825	15.7672462604168	5.228001125718709e-56	5.74208790308104e-54	SDH2	Iron-sulfur protein subunit of succinate dehydrogenase; the complex couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; other members are Sdh1p, Sdh3p, and Sdh4p
YMR251W-A	2245.78155010625	1.2700003783276	0.0807032865646273	15.7366624382835	8.47999811025722e-56	9.14452159853374e-54	HOR7	Protein of unknown function; overexpression suppresses Ca2+ sensitivity of mutants lacking inositol phosphorylceramide mannosyltransferases Csg1p and Csh1p; transcription is induced under hyperosmotic stress and repressed by alpha factor; HOR7 has a paralog, DDR2, that arose from the whole genome duplication
YHR094C	8526.26411318778	0.786584324006404	0.0503570314665023	15.620148787556	5.3081620476325796e-55	5.621912340090861e-53	HXT1	Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog, HXT6, what arose from the whole genome duplication
