	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YOR382W	2513.7705992893	-3.31598660127449	0.188471603755732	-17.5940912858797	2.73406103278042e-69	1.73421491309262e-65	FIT2	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
YOR383C	3154.13791081095	-3.59592008626899	0.205331438367361	-17.5127594432738	1.1450624717603601e-68	3.63156562918797e-65	FIT3	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
YEL071W	6751.4509750536	-2.42941338799908	0.16744599336452	-14.5086385119433	1.06819746080018e-47	2.25852549795185e-44	DLD3	2-hydroxyglutarate transhydrogenase, and minor D-lactate dehydrogenase; converts D-2-hydroxyglutarate (D-2HG), an oncometabolite, to alpha-ketoglutarate in the presence of FAD, with concomitant reduction of pyruvate to D-lactate; minor lactate dehydrogenase activity; component of the retrograde regulon that consists of genes whose expression are stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source; located in the cytoplasm
YGR088W	838.072522023387	3.41495900476517	0.237236365790685	14.3947534914534	5.582356607865511e-47	8.852221990922731e-44	CTT1	Cytosolic catalase T; has a role in protection from oxidative damage by hydrogen peroxide
YCR005C	4746.68913813449	-3.25492077562886	0.228845437301334	-14.2232277558714	6.57489849940775e-46	8.34091623634867e-43	CIT2	Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication
YPR036W-A	8784.37265441097	-2.72432572902595	0.192454656943244	-14.1556757955167	1.7227363012963402e-45	1.82121939318712e-42	SPO24	Small (67 amino acids) protein involved in sporulation; localizes to the prospore membrane; phosphorylated during meiosis; a longer, 5'-extended mRNA is also transcribed beginning in mid-meiosis, regulated by two MSEs (middle sporulation elements), and includes an uORF of 15 codons in its 5'-UTR; evidence transcription is regulated by Pdr1p
YGR234W	4378.74783483049	2.23615582224873	0.176726124708355	12.6532272800017	1.0737187701805001e-36	9.7294259417927e-34	YHB1	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YJL088W	877.472595982574	-3.69840202757379	0.297741446673192	-12.4215223271661	1.9972444946112202e-35	1.58356522866487e-32	ARG3	Ornithine carbamoyltransferase; also known as carbamoylphosphate:L-ornithine carbamoyltransferase; catalyzes the biosynthesis of the arginine precursor citrulline
YOR107W	564.079103865794	2.73439495577535	0.224041277541386	12.2048712888197	2.92771105550959e-34	2.06338569167748e-31	RGS2	Negative regulator of glucose-induced cAMP signaling; directly activates the GTPase activity of the heterotrimeric G protein alpha subunit Gpa2p
YOR153W	16853.2321535596	-2.37039118533736	0.199323353659746	-11.8921899607595	1.29953775533518e-32	8.24296798209104e-30	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YOL155C	2520.90550346197	2.14587648625464	0.180725980422268	11.873646950155	1.62237776528253e-32	9.35522015017008e-30	HPF1	Haze-protective mannoprotein; reduces the particle size of aggregated proteins in white wines
