	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YOR273C	1768.03199613105	-2.05398891599641	0.248787933280131	-8.25598287230296	1.50657231765397e-16	4.64928217228015e-13	TPO4	Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; recognizes spermine, putrescine, and spermidine; localizes to the plasma membrane
YMR120C	810.894564803706	1.83428521139337	0.228747718613774	8.01881313837472	1.0677178900656901e-15	1.6474887043713599e-12	ADE17	Enzyme of 'de novo' purine biosynthesis; contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities; ADE17 has a paralog, ADE16, that arose from the whole genome duplication; ade16 ade17 mutants require adenine and histidine
YBL003C	4357.69910070841	-1.26191462735281	0.181694332464811	-6.94526136414962	3.777602831162e-12	3.88589411232198e-09	HTA2	Histone H2A; core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p
YOL002C	1530.25815594471	-1.34796070684554	0.198406425463268	-6.79393675733098	1.09114233249174e-11	8.41816309517374e-09	IZH2	Plasma membrane receptor for plant antifungal osmotin; involved in zinc ion homeostasis, apoptosis; negatively regulates ZRT1 and other functionally divergent genes through CCCTC promoter motif (IzRE); modulates FET3 activity in iron-independent manner; affects gene expression by influencing balance of competition between Msn2p/Msn4p and Nrg1p/Nrg2p for binding to IzRE; transcription regulated by Zap1p, zinc, fatty acid levels; homolog of mammalian adiponectin receptor
YPL111W	2650.26848227513	-1.85202767310481	0.279001435818256	-6.63805785684644	3.17843114252032e-11	1.96172770116354e-08	CAR1	Arginase, catabolizes arginine to ornithine and urea; expression responds to both induction by arginine and nitrogen catabolite repression; disruption decreases production of carcinogen ethyl carbamate during wine fermentation and also enhances freeze tolerance
YBL002W	4126.40218702791	-1.13166143345782	0.180965089910389	-6.25347924297552	4.01407936841932e-10	1.78065765085845e-07	HTB2	Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates reassembly after DNA replication, transcriptional activation, meiotic DSB formation and H3 methylation
YJL052W	5007.50024858589	1.86909932008551	0.298935842532155	6.25250991735612	4.03908086714489e-10	1.78065765085845e-07	TDH1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 1; involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell wall; protein abundance increases in response to DNA replication stress; GAPDH-derived antimicrobial peptides secreted by S. cerevisiae are active against a wide variety of wine-related yeasts and bateria
YPL095C	2174.62844361073	-1.58866289339045	0.268995028383178	-5.90591916489783	3.5068590753006203e-09	1.35277088829721e-06	EEB1	Acyl-coenzymeA:ethanol O-acyltransferase; responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short-chain esterase activity; may be involved in lipid metabolism and detoxification; EEB1 has a paralog, EHT1, that arose from the whole genome duplication
YCL025C	2047.48786411102	-1.22403534634076	0.208888230879649	-5.85976213780077	4.63530636715526e-09	1.58939504989346e-06	AGP1	Low-affinity amino acid permease with broad substrate range; involved in uptake of asparagine, glutamine, and other amino acids; expression regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p); AGP1 has a paralog, GNP1, that arose from the whole genome duplication
YGL055W	17056.3251316096	-2.34931304230635	0.406207695456069	-5.78352667511299	7.31505819117488e-09	2.25742695779657e-06	OLE1	Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria
YMR246W	5135.03023554192	-1.4527960940376	0.254693531987252	-5.70409496739917	1.16962856867292e-08	3.28133978447694e-06	FAA4	Long chain fatty acyl-CoA synthetase; activates fatty acids with a preference for C12:0-C16:0 chain lengths; role in the competitive import of long-chain fatty acids and sphingoid long-chain bases; role in stationary phase survival; localizes to lipid particles and the plasma membrane; role in sphingolipid-to-glycerolipid metabolism; forms cytoplasmic foci upon replication stress; faa1 faa4 double null complemented by any of human ACSBG1, ACSL1, 3, 4, 5, 6, SLC27A2, or 4
YDR492W	1981.86256956962	-1.31684149390128	0.236965015551184	-5.55711352934646	2.74272379081872e-08	7.05337134872215e-06	IZH1	Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family; transcription is regulated directly by Zap1p, expression induced by zinc deficiency and fatty acids; deletion increases sensitivity to elevated zinc; IZH1 has a paralog, IZH4, that arose from the whole genome duplication
YBR009C	6552.50374867213	-1.09340139146452	0.197586995944819	-5.53377202905539	3.13416282437593e-08	7.4400203661724e-06	HHF1	Histone H4; core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF2); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity
YNL031C	8341.294031337	-0.943738921462129	0.172086642433777	-5.48409166519301	4.15599246330038e-08	8.55026182782999e-06	HHT2	Histone H3; core histone protein required for chromatin assembly, part of heterochromatin-mediated telomeric and HM silencing; one of two identical histone H3 proteins (see HHT1); regulated by acetylation, methylation, and phosphorylation; H3K14 acetylation plays an important role in the unfolding of strongly positioned nucleosomes during repair of UV damage
YOR382W	603.958039071991	1.82640366922248	0.332632623381999	5.49075328406685	4.00223091090795e-08	8.55026182782999e-06	FIT2	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
YPL081W	2860.97594968963	0.926580164118073	0.176733270714356	5.24281681866033	1.58143524360158e-07	3.05019322609655e-05	RPS9A	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S9 and bacterial S4; RPS9A has a paralog, RPS9B, that arose from the whole genome duplication
YNL030W	7321.6334865605	-0.937953415938824	0.183101992012171	-5.1225735210815	3.01393518268459e-07	5.47117880809685e-05	HHF2	Histone H4; core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF1); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity
YDR224C	6659.67411286968	-1.02540941807991	0.207525953257155	-4.94111412084099	7.76774240354195e-07	0.0001261644897754	HTB1	Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB2; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates reassembly after DNA replication, transcriptional activation, meiotic DSB formation and H3 methylation
YDR399W	2459.14215519533	1.04874394169495	0.212021171532326	4.94641140842416	7.5594107117056e-07	0.0001261644897754	HPT1	Dimeric hypoxanthine-guanine phosphoribosyltransferase; catalyzes the transfer of the phosphoribosyl portion of 5-phosphoribosyl-alpha-1-pyrophosphate to a purine base (either guanine or hypoxanthine) to form pyrophosphate and a purine nucleotide (either guanosine monophosphate or inosine monophosphate); mutations in the human homolog HPRT1 can cause Lesch-Nyhan syndrome and Kelley-Seegmiller syndrome
YLR058C	2845.05657559521	1.51944953417622	0.308444034442511	4.92617578719753	8.38545647458135e-07	0.0001293875934027	SHM2	Cytosolic serine hydroxymethyltransferase; converts serine to glycine plus 5,10 methylenetetrahydrofolate; major isoform involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis
YJL116C	670.734998619254	1.85573529352249	0.401668188834937	4.62007035933107	3.83609933115694e-06	0.0005637239302833	NCA3	Protein involved in mitochondrion organization; functions with Nca2p to regulate mitochondrial expression of subunits 6 (Atp6p) and 8 (Atp8p) of the Fo-F1 ATP synthase; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the vacuole; member of the SUN family; expression induced in cells treated with the mycotoxin patulin; NCA3 has a paralog, UTH1, that arose from the whole genome duplication
YNL007C	1341.7466767308	-0.988381675821092	0.214928541213042	-4.59865251140091	4.25232363687532e-06	0.0005964850337907	SIS1	Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p; shuttles between cytosol and nucleus; mediates delivery of misfolded proteins into the nucleus for degradation; involved in proteasomal degradation of misfolded cytosolic proteins; protein abundance increases in response to DNA replication stress; polyQ aggregates sequester Sis1p and interfere with clearance of misfolded proteins; similar to bacterial DnaJ proteins and mammalian DnaJB1
YDR225W	5746.74658496972	-0.877397040430149	0.19782016880275	-4.4353265177173	9.19328401768246e-06	0.0012334988903725	HTA1	Histone H2A; core histone protein required for chromatin assembly and chromosome function; one of two nearly identical subtypes (see also HTA2); DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p; N-terminally propionylated in vivo
YBR067C	13375.4160174003	-1.44365747124279	0.338296627635019	-4.26743086780137	1.97737019629443e-05	0.0024782845545548	TIP1	Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins
YJL141C	623.938805660607	-0.959067715872626	0.224920248199875	-4.26403457913827	2.00768353415003e-05	0.0024782845545548	YAK1	Serine-threonine protein kinase; component of a glucose-sensing system that inhibits growth in response to glucose availability; upon nutrient deprivation Yak1p phosphorylates Pop2p to regulate mRNA deadenylation, the co-repressor Crf1p to inhibit transcription of ribosomal genes, and the stress-responsive transcription factors Hsf1p and Msn2p; nuclear localization negatively regulated by the Ras/PKA signaling pathway in the presence of glucose
YHR018C	1564.52673908029	-0.917319911789637	0.218768831959213	-4.19310147416549	2.75166279415117e-05	0.0032660120702886	ARG4	Argininosuccinate lyase; catalyzes the final step in the arginine biosynthesis pathway
YLR350W	1308.1800981185	-0.820836852160193	0.199548331007428	-4.11347390387162	3.89749118535647e-05	0.004454688073337	ORM2	Protein that mediates sphingolipid homeostasis; evolutionarily conserved, required for resistance to agents that induce unfolded protein response; Orm1p and Orm2p together control membrane biogenesis by coordinating lipid homeostasis with protein quality control; protein abundance increases in response to DNA replication stress; ORM2 has a paralog, ORM1, that arose from the whole genome duplication
YER070W	4662.22242359894	0.928187569523701	0.227961136880058	4.0716921411568	4.66728396768429e-05	0.0051440136872406	RNR1	Major isoform of large subunit of ribonucleotide-diphosphate reductase; the RNR complex catalyzes rate-limiting step in dNTP synthesis, regulated by DNA replication and DNA damage checkpoint pathways via localization of small subunits; relative distribution to the nucleus increases upon DNA replication stress; RNR1 has a paralog, RNR3, that arose from the whole genome duplication
YDR044W	2707.62633347684	-1.25000168949394	0.307645878901436	-4.06311858932594	4.84214133746517e-05	0.0051527062646267	HEM13	Coproporphyrinogen III oxidase; oxygen-requiring enzyme that catalyzes sixth step in heme biosynthetic pathway; transcription is repressed by oxygen and heme (via Rox1p and Hap1p); human homolog CPOX can complement yeast mutant and allow growth of haploid null after sporulation of a heterozygous diploid
YPR035W	8991.3316875603	-0.749263689630524	0.185049816986045	-4.04898368360466	5.14405305525077e-05	0.0052915159095012	GLN1	Glutamine synthetase (GS); synthesizes glutamine from glutamate and ammonia; with Glt1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source and by amino acid limitation; forms filaments of back-to-back stacks of cylindrical homo-decamers at low pH, leading to enzymatic inactivation and storage during states of advanced cellular starvation; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YMR006C	1234.75421441424	-1.54625094671222	0.394469213276496	-3.91982668018355	8.86126722948105e-05	0.0088212486032833	PLB2	Phospholipase B (lysophospholipase) involved in lipid metabolism; displays transacylase activity in vitro; overproduction confers resistance to lysophosphatidylcholine
YNR019W	1062.70232478193	-1.04230446165166	0.267345752310048	-3.89871338012835	9.67051607201333e-05	0.0093260039369478	ARE2	Acyl-CoA:sterol acyltransferase; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the presence of oxygen; ARE2 has a paralog, ARE1, that arose from the whole genome duplication
YNL067W	5206.87721355726	0.671226886613271	0.172890773954495	3.88237539378439	0.0001034410253366	0.0096733031572398	RPL9B	Ribosomal 60S subunit protein L9B; homologous to mammalian ribosomal protein L9 and bacterial L6; RPL9B has a paralog, RPL9A, that arose from a single-locus duplication
YBR208C	836.912038412192	-1.01381291811262	0.263029845954615	-3.85436456624602	0.0001160305912371	0.0105314824869929	DUR1,2	Urea amidolyase; contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation; protein abundance increases in response to DNA replication stress
YIL121W	1483.58433453418	-0.907883565580075	0.238259597790972	-3.81048055984956	0.0001386969190672	0.0121042690900449	QDR2	Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; exports copper; has broad substrate specificity and can transport many mono- and divalent cations; transports a variety of drugs and is required for resistance to quinidine, barban, cisplatin, and bleomycin; contributes to potassium homeostasis; expression is regulated by copper
YKR080W	631.076942593529	1.17600676146522	0.308983465182217	3.80605078906631	0.0001412033983284	0.0121042690900449	MTD1	NAD-dependent 5,10-methylenetetrahydrafolate dehydrogenase; plays a catalytic role in oxidation of cytoplasmic one-carbon units; expression is regulated by Bas1p and Bas2p, repressed by adenine, and may be induced by inositol and choline
YOL143C	3544.54261364509	-1.56702058404968	0.443193545478675	-3.53574775633794	0.0004066227525316	0.0339145355219657	RIB4	Lumazine synthase (DMRL synthase); catalyzes synthesis of immediate precursor to riboflavin; DMRL synthase stands for 6,7-dimethyl-8-ribityllumazine synthase
YDR451C	631.860666300746	-0.925374102277079	0.265536356370649	-3.48492430537608	0.0004922762803137	0.0399780158170566	YHP1	Homeobox transcriptional repressor; binds Mcm1p and early cell cycle box (ECB) elements of cell cycle regulated genes, thereby restricting ECB-mediated transcription to the M/G1 interval; YHP1 has a paralog, YOX1, that arose from the whole genome duplication
YLR413W	4477.68979565247	-0.716751153582012	0.207175054089373	-3.45964023869792	0.0005408975337706	0.0428002510055471	INA1	Protein of unknown function; not an essential gene; YLR413W has a paralog, FAT3, that arose from the whole genome duplication
YMR011W	2100.87001344704	0.989888120770974	0.287377478053237	3.44455705950484	0.0005719958920252	0.0441294830697443	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YBR010W	5550.08263525207	-0.807270311274769	0.235620994068029	-3.42613914548587	0.0006122266600622	0.0460812554378529	HHT1	Histone H3; core histone protein required for chromatin assembly, part of heterochromatin-mediated telomeric and HM silencing; one of two identical histone H3 proteins (see HHT2); regulated by acetylation, methylation, and phosphorylation; H3K14 acetylation plays an important role in the unfolding of strongly positioned nucleosomes during repair of UV damage
YAR015W	1512.66814457919	0.662950674892602	0.196561996994158	3.37273066528879	0.0007442671679219	0.0526209288246532	ADE1	N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress
YCR065W	727.503885782915	0.684249206523294	0.202356813231105	3.38139939840738	0.0007211763499757	0.0526209288246532	HCM1	Forkhead transcription factor; drives S-phase activation of genes involved in chromosome segregation, spindle dynamics, budding; also activates genes involved in respiration, use of alternative energy sources (like proline), NAD synthesis, oxidative stress resistance; key factor in early adaptation to nutrient deficiency and diauxic shift; suppressor of calmodulin mutants with specific SPB assembly defects; ortholog of C. elegans lifespan regulator PHA-4
YPL026C	1525.79499354641	0.773904611136478	0.229609890831784	3.37051948560637	0.0007502659974999	0.0526209288246532	SKS1	Putative serine/threonine protein kinase; involved in the adaptation to low concentrations of glucose independent of the SNF3 regulated pathway; SKS1 has a paralog, VHS1, that arose from the whole genome duplication
YOL126C	7430.29108636849	-1.6754116968847	0.511308862695096	-3.27671162994055	0.0010502357318276	0.0720228326315589	MDH2	Cytoplasmic malate dehydrogenase; one of three isozymes that catalyze interconversion of malate and oxaloacetate; involved in the glyoxylate cycle and gluconeogenesis during growth on two-carbon compounds; interacts with Pck1p and Fbp1
YHR146W	2393.34041170104	-0.606649287138567	0.186227182775268	-3.25757646170618	0.0011236798129954	0.075384258758781	CRP1	Protein that binds to cruciform DNA structures; CRP1 has a paralog, MDG1, that arose from the whole genome duplication
YLR131C	554.04041683294	-0.83582389905426	0.259109362388959	-3.22575722987412	0.0012563987857834	0.0776135848150273	ACE2	Transcription factor required for septum destruction after cytokinesis; phosphorylation by Cbk1p blocks nuclear exit during M/G1 transition, causing localization to daughter cell nuclei, and also increases Ace2p activity; phosphorylation by Cdc28p and Pho85p prevents nuclear import during cell cycle phases other than cytokinesis; part of RAM network that regulates cellular polarity and morphogenesis; ACE2 has a paralog, SWI5, that arose from the whole genome duplication
YNL141W	2182.4440446831	0.576018721637967	0.178582551514956	3.22550392942351	0.0012575110955124	0.0776135848150273	AAH1	Adenine deaminase (adenine aminohydrolase); converts adenine to hypoxanthine; involved in purine salvage; transcriptionally regulated by nutrient levels and growth phase; Aah1p degraded upon entry into quiescence via SCF and the proteasome
YNR001C	3216.77725545168	0.566208305279636	0.175414193110488	3.22783632977179	0.0012473031751336	0.0776135848150273	CIT1	Citrate synthase; catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate; the rate-limiting enzyme of the TCA cycle; nuclear encoded mitochondrial protein; CIT1 has a paralog, CIT2, that arose from the whole genome duplication
YOL123W	3159.38657015415	-0.785689601046291	0.242829392770327	-3.23556218661475	0.0012140343724825	0.0776135848150273	HRP1	Subunit of cleavage factor I; cleavage factor I is a five-subunit complex required for the cleavage and polyadenylation of pre-mRNA 3' ends; RRM-containing heteronuclear RNA binding protein and hnRNPA/B family member that binds to poly (A) signal sequences; required for genome stability
YBL035C	545.415456729652	0.674907629411678	0.210627281404745	3.20427451235419	0.0013540330693648	0.081932275530585	POL12	B subunit of DNA polymerase alpha-primase complex; required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation
YFL034C-A	1488.24638097599	0.688125333524714	0.216977138966542	3.17141859645787	0.0015169637728531	0.0900259654427857	RPL22B	Ribosomal 60S subunit protein L22A; required for translation of long 5' UTR of IME1 mRNA and meiotic entry; homologous to mammalian ribosomal protein L22, no bacterial homolog; RPL22B has a paralog, RPL22A, that arose from the whole genome duplication
YPR138C	667.232161239321	-0.666004196203088	0.210826666225601	-3.1590130799223	0.0015830438541932	0.0921749685667972	MEP3	Ammonium permease of high capacity and low affinity; belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+); expression is under the nitrogen catabolite repression regulation ammonia permease; MEP3 has a paralog, MEP1, that arose from the whole genome duplication
YPL231W	19211.710596678	-1.38147537064753	0.440142237120844	-3.13870211521699	0.0016969786082609	0.0969791849091332	FAS2	Alpha subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains the acyl-carrier protein domain and beta-ketoacyl reductase, beta-ketoacyl synthase and self-pantetheinylation activities
YFL026W	6045.13636625451	-0.554756670953597	0.177435713584238	-3.12652204985906	0.0017688723918723	0.0986464685302323	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YNL102W	609.596264204995	0.652392245007064	0.20889819659076	3.12301520862398	0.0017900849765693	0.0986464685302323	POL1	Catalytic subunit of the DNA polymerase I alpha-primase complex; required for the initiation of DNA replication during mitotic DNA synthesis and premeiotic DNA synthesis
YNR016C	11305.7133451635	-1.33598565468004	0.429794929683385	-3.1084258152236	0.0018808685883231	0.101830885325708	ACC1	Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids; ACC1 has a paralog, HFA1, that arose from the whole genome duplication
YDR517W	918.630497522395	-0.681706518704548	0.220125514576723	-3.09689914872156	0.0019555639218546	0.102285936658363	GRH1	Acetylated cis-Golgi protein, involved in ER to Golgi transport; homolog of human GRASP65; forms a complex with the coiled-coil protein Bug1p; mutants are compromised for the fusion of ER-derived vesicles with Golgi membranes; protein abundance increases in response to DNA replication stress
YKL216W	12167.1291807468	-1.78175017845458	0.574916351601254	-3.09914681238768	0.0019407882232026	0.102285936658363	URA1	Dihydroorotate dehydrogenase; catalyzes the fourth enzymatic step in the de novo biosynthesis of pyrimidines, converting dihydroorotic acid into orotic acid
YHL040C	920.863163900659	0.750958239690933	0.246526593192274	3.0461551022418	0.0023178823320757	0.119216414613095	ARN1	ARN family transporter for siderophore-iron chelates; responsible for uptake of iron bound to ferrirubin, ferrirhodin, and related siderophores; protein increases in abundance and relocalizes to the vacuole upon DNA replication stress
YLR073C	567.423825474041	0.683355019583118	0.226340261266875	3.01914920376177	0.0025348565988351	0.124167737523895	RFU1	Protein that inhibits Doa4p deubiquitinating activity; contributes to ubiquitin homeostasis by regulating the conversion of free ubiquitin chains to ubiquitin monomers by Doa4p; GFP-fusion protein localizes to endosomes
YML052W	1809.67661192717	-0.656654819426851	0.217148298176913	-3.02399247399059	0.0024946264427867	0.124167737523895	SUR7	Plasma membrane protein, component of eisosomes; long-lived protein that remains stable in eisosomes of mother cells while other eisosome proteins, Pil1p and Lsp1p, turn over; may function to anchor the eisosome in place; sporulation and plasma membrane sphingolipid content are altered in mutants; localizes to furrow-like invaginations (MCC patches)
YMR136W	837.889670649429	-0.831850025821554	0.275488437500356	-3.01954605924424	0.0025315379728709	0.124167737523895	GAT2	Protein containing GATA family zinc finger motifs; similar to Gln3p and Dal80p; expression repressed by leucine
