	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YPL187W	11642.7441822008	-9.96155570209485	0.447784741940046	-22.2463044607907	1.22478618786411e-109	8.23791189957402e-106	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YNL145W	1169.21718278914	8.4110679478942	0.436892700298226	19.2520221604818	1.3575905363910399e-82	4.5655769738830796e-79	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YKL209C	572.842352997911	4.27439077787924	0.249538583482057	17.1291778539193	8.99163626121356e-66	2.01592484976408e-62	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YIL015W	800.350694109291	5.08484577332214	0.342235612655108	14.8577342196309	6.19863991698986e-50	1.04230130204185e-46	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YFL026W	1730.43512067507	5.69503383628491	0.411976394766231	13.823689678911	1.83422024011452e-43	2.4673930670020498e-40	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YLR040C	1642.1977519031	-3.68718077490358	0.287157618436055	-12.8402679858715	9.75362562216904e-38	1.09338143224515e-34	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YKL178C	1490.16590317695	-4.44708798478972	0.361647415950835	-12.2967503392705	9.42918849368106e-35	9.06010311549983e-32	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YCR097W	55.8479226633099	10.2065977222457	1.28911343133844	7.91753268108345	2.42269961298427e-15	2.03688469961653e-12	HMRA1	Silenced copy of a1 at HMR; homeobox corepressor that interacts with Alpha2p to repress haploid-specific gene transcription in diploid cells
YCR005C	3401.75654657657	-2.99110413902295	0.392379639611796	-7.62298508144363	2.47875537756873e-14	1.8524565188363698e-11	CIT2	Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication
YLR041W	157.695342018662	-2.82332310061138	0.416608970903264	-6.77691383958928	1.2277005117362799e-11	8.257513641938241e-09	YLR041W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YLR040C
YKL177W	127.858480873185	-5.94813213090587	0.894124900659964	-6.65246223040594	2.88229801179636e-11	1.76239422066748e-08	YKL177W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene STE3
RDN5-1	208.874010161965	-5.06401472118142	0.819571978091644	-6.1788529336653	6.4569007809813e-10	3.61909288774002e-07	RDN5-1	RDN5-1
YDR477W	765.395927471962	-12.5652207340981	2.05115205715923	-6.1259333213455	9.01535575765439e-10	4.6644063712295e-07	SNF1	AMP-activated S/T protein kinase; forms a complex with Snf4p and members of the Sip1p/Sip2p/Gal83p family; required for transcription of glucose-repressed genes, thermotolerance, sporulation, and peroxisome biogenesis; regulates nucleocytoplasmic shuttling of Hxk2p; regulates filamentous growth and acts as a non-canonical GEF, activating Arf3p during invasive growth; SUMOylation by Mms21p inhibits its function and targets Snf1p for destruction via the Slx5-Slx8 Ub ligase
YDL023C	189.15474586556	2.2634643826783	0.371351240955626	6.09521157611742	1.09292801453651e-09	5.25073844698038e-07	YDL023C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in other Saccharomyces species; overlaps the verified gene GPD1; deletion confers sensitivity to GSAO; deletion in cyr1 mutant results in loss of stress resistance
YDL110C	465.566074615767	1.38901908298554	0.228878232327852	6.06881252471344	1.28859459996142e-09	5.778058186227e-07	TMA17	ATPase dedicated chaperone that adapts proteasome assembly to stress; Tma17p is induced upon stress; interacts with Rpt6p to assist its pairing to Rpt3p and early steps in proteasome biogenesis; associates with ribosomes; heterozygous deletion demonstrated increases in chromosome instability in a rad9 deletion background; protein abundance is decreased upon intracellular iron depletion
YOR028C	247.289081785521	2.65412606823603	0.438123082569858	6.05794621152569	1.37870478714158e-09	5.79573024894642e-07	CIN5	Basic leucine zipper (bZIP) transcription factor of the yAP-1 family; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; mediates pleiotropic drug resistance and salt tolerance; nuclearly localized under oxidative stress and sequestered in the cytoplasm by Lot6p under reducing conditions; CIN5 has a paralog, YAP6, that arose from the whole genome duplication
YDL022W	2685.73531976892	1.97562359394252	0.328424847660695	6.01545104767345	1.79386507333555e-09	7.09737440191464e-07	GPD1	NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases Ypk1p and Ypk2p, dephosphorylation increases catalytic activity; forms a heterodimer with Pnc1p to facilitate its peroxisomal import
YAL061W	371.251168494698	2.34567331034025	0.394298880719034	5.94897278445919	2.6983049578115504e-09	1.00826661923558e-06	BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3
YOR221C	260.982904355621	2.03440194861072	0.34642951860761	5.87248441410972	4.29312081096541e-09	1.51976476708176e-06	MCT1	Predicted malonyl-CoA:ACP transferase; putative component of a type-II mitochondrial fatty acid synthase that produces intermediates for phospholipid remodeling
YDR345C	24547.8974168167	-1.58347709317925	0.270597046567744	-5.85179000755587	4.8631040028254905e-09	1.55758273919068e-06	HXT3	Low affinity glucose transporter of the major facilitator superfamily; expression is induced in low or high glucose conditions; HXT3 has a paralog, HXT5, that arose from the whole genome duplication
YER053C-A	39.4255881534685	3.55346741599983	0.607097863155652	5.85320362936077	4.8219314098929e-09	1.55758273919068e-06	YER053C-A	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; protein abundance increases in response to DNA replication stress
YFR015C	170.043199890978	2.54515274347942	0.442562338162414	5.7509474349925	8.87447066256626e-09	2.71316771256458e-06	GSY1	Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, environmental stress, and entry into stationary phase; GSY1 has a paralog, GSY2, that arose from the whole genome duplication; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YHR087W	472.895555567335	2.54699251052007	0.451427115419887	5.64209021460979	1.67998027282086e-08	4.91284665869265e-06	RTC3	Protein of unknown function involved in RNA metabolism; has structural similarity to SBDS, the human protein mutated in Shwachman-Diamond Syndrome (the yeast SBDS ortholog = SDO1); null mutation suppresses cdc13-1 temperature sensitivity; protein abundance increases in response to DNA replication stress
YMR120C	2684.0371680423	-2.5952397335568	0.471645168667122	-5.50252585198951	3.74388307347777e-08	1.04922323134215e-05	ADE17	Enzyme of 'de novo' purine biosynthesis; contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities; ADE17 has a paralog, ADE16, that arose from the whole genome duplication; ade16 ade17 mutants require adenine and histidine
YLR108C	582.719901340238	1.2867370513767	0.235037133348922	5.47461174769556	4.38471876945974e-08	1.17966473773545e-05	YLR108C	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; YLR108C is not an esssential gene; protein abundance increases in response to DNA replication stress; YLR108C has a paralog, YDR132C, that arose from the whole genome duplication
YML123C	1548.51645180979	-1.40581467047827	0.258673572375089	-5.43470543809464	5.48870272219885e-08	1.41988517344267e-05	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YPL274W	1956.45441710455	-1.13561011624405	0.210686966177064	-5.39003497392272	7.04439730043198e-08	1.75483763861872e-05	SAM3	High-affinity S-adenosylmethionine permease; required for utilization of S-adenosylmethionine as a sulfur source; has similarity to S-methylmethionine permease Mmp1p
YDR074W	2449.66040451058	1.66514958745358	0.309430384118408	5.38133833300735	7.3934085406854e-08	1.77600235159464e-05	TPS2	Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex; involved in synthesis of the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress
YJL170C	76.3836696338856	3.11506746546232	0.589365555269287	5.2854589780684	1.25389970282798e-07	2.90818255214517e-05	ASG7	Protein that regulates signaling from G protein beta subunit Ste4p; contributes to relocalization of Ste4p within the cell; specific to a-cells and induced by alpha-factor
YER091C	7681.47171176797	-1.74060756396872	0.329958068869056	-5.27523866876395	1.32583422520181e-07	2.97252033290246e-05	MET6	Cobalamin-independent methionine synthase; involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs
YIL101C	194.631543523094	1.55061715219	0.294429255817654	5.26651860014321	1.39035165834564e-07	3.01661459807508e-05	XBP1	Transcriptional repressor; binds promoter sequences of cyclin genes, CYS3, and SMF2; not expressed during log phase of growth, but induced by stress or starvation during mitosis, and late in meiosis; represses 15% of all yeast genes as cells transition to quiescence; important for maintaining G1 arrest and for longevity of quiescent cells; member of Swi4p/Mbp1p family; phosphorylated by Cdc28p; relative distribution to nucleus increases upon DNA replication stress
YLR257W	2067.00108653392	1.14405600204422	0.22150530768787	5.16491461981734	2.40548698751101e-07	5.05603296187471e-05	YLR257W	Protein of unknown function; protein abundance increases in response to DNA replication stress
YGL234W	5529.03158600247	-1.04828581252556	0.203811352973733	-5.14341226448099	2.69792678701727e-07	5.49886532408429e-05	ADE5,7	Enzyme of the 'de novo' purine nucleotide biosynthetic pathway; contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities
YEL011W	277.751306554438	2.37872182790546	0.467463723782993	5.08856988656881	3.60773828441759e-07	7.13695520617432e-05	GLC3	Glycogen branching enzyme, involved in glycogen accumulation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress; glycogen accumulation defect of the null mutant is functionally complemented by human GBE1, which is associated with glycogen storage disease
YDR461W	858.902386865593	6.87311768376163	1.35498101815561	5.07248263382853	3.92658979053337e-07	7.33617859197985e-05	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YJL133C-A	642.524517252712	-2.42528064327933	0.477879410237825	-5.0750892198355	3.87314224000099e-07	7.33617859197985e-05	YJL133C-A	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YGL009C	1760.22576672287	1.14372150970716	0.227378198018359	5.03004034544604	4.90376638461825e-07	8.91425208187631e-05	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YPR149W	3232.00719156739	1.72805289776803	0.354024413507164	4.88116873254296	1.05458958374486e-06	0.0001866623563228	NCE102	Protein of unknown function; contains transmembrane domains; involved in secretion of proteins that lack classical secretory signal sequences; component of the detergent-insoluble glycolipid-enriched complexes (DIGs); NCE102 has a paralog, FHN1, that arose from the whole genome duplication
YDR171W	364.239149657585	2.31270606370302	0.476095389839425	4.85765271636643	1.18785513563361e-06	0.0001997378410567	HSP42	Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress
YNL054W-B	738.687178746883	-1.55430682508566	0.319745576889077	-4.86107373308518	1.16750754414209e-06	0.0001997378410567	YNL054W-B	YNL054W-B
YEL071W	3903.99702257942	-1.82246921920945	0.379698364087143	-4.79978159397912	1.58838755440007e-06	0.0002605730412413	DLD3	2-hydroxyglutarate transhydrogenase, and minor D-lactate dehydrogenase; converts D-2-hydroxyglutarate (D-2HG), an oncometabolite, to alpha-ketoglutarate in the presence of FAD, with concomitant reduction of pyruvate to D-lactate; minor lactate dehydrogenase activity; component of the retrograde regulon that consists of genes whose expression are stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source; located in the cytoplasm
YBR238C	1959.6146045504	-0.932371204922175	0.198770282853839	-4.6906971783492	2.72275693869445e-06	0.000436030075468	YBR238C	Mitochondrial membrane protein; not required for respiratory growth but causes a synthetic respiratory defect in combination with rmd9 mutations; transcriptionally up-regulated by TOR; deletion increases life span; YBR238C has a paralog, RMD9, that arose from the whole genome duplication
YDR232W	2916.96520827759	-0.976724125789965	0.21209146077692	-4.60520250184563	4.12064683133165e-06	0.0006445458276171	HEM1	5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p
YJR048W	991.470754669531	0.98101178412831	0.214112478782308	4.58175903481889	4.61081009080839e-06	0.0007048251970631	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YGR052W	305.183916798233	1.71695563270196	0.378061520870883	4.54147152756214	5.58629313961481e-06	0.000834964614601	FMP48	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; induced by treatment with 8-methoxypsoralen and UVA irradiation
YBR214W	525.305996808058	1.39383829621588	0.310388725733019	4.49062153570226	7.10156391551365e-06	0.0010383721499075	SDS24	Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; may play an indirect role in fluid-phase endocytosis; protein abundance increases in response to DNA replication stress; SDS24 has a paralog, SDS23, that arose from the whole genome duplication
YCL030C	1953.50359529244	-1.16894225419773	0.263051156448112	-4.44378298875986	8.83907623361934e-06	0.0012649282286664	HIS4	Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase; phosphoribosyl-AMP cyclohydrolase, and histidinol dehydrogenase activities; catalyzes the second, third, ninth and tenth steps in histidine biosynthesis
YPL111W	1754.05103396443	2.00577050344603	0.455048844584221	4.40781363872862	1.04419330010192e-05	0.0014631758617678	CAR1	Arginase, catabolizes arginine to ornithine and urea; expression responds to both induction by arginine and nitrogen catabolite repression; disruption decreases production of carcinogen ethyl carbamate during wine fermentation and also enhances freeze tolerance
YMR205C	8921.01689079844	-0.873721084812338	0.198556499452636	-4.40036507100467	1.08068908885937e-05	0.0014834111860547	PFK2	Beta subunit of heterooctameric phosphofructokinase; involved in glycolysis; indispensable for anaerobic growth; activated by fructose-2,6-bisphosphate and AMP; mutation inhibits glucose induction of cell cycle-related genes
YGR194C	255.340394733377	1.24936381595171	0.285516387911134	4.37580422298062	1.20985569555084e-05	0.0016274978816549	XKS1	Xylulokinase; converts D-xylulose and ATP to xylulose 5-phosphate and ADP; rate limiting step in fermentation of xylulose; required for xylose fermentation by recombinant S. cerevisiae strains
YCL054W-A	10.7730273628667	6.83762684196473	1.57152644281442	4.35094609653486	1.35551375717363e-05	0.0017876834374019	RDT1	Short open reading frame, shows evidence of translation; may be new protein-coding gene that originated de novo from noncoding sequence; same allele found in at least 33 other S. cerevisiae strains; at least 3 strains have a second allele with three nucleotide substitutions leading to two amino acid differences
YNL146C-A	12.9137913812529	6.15366865704974	1.43247691164026	4.29582397248098	1.74045651524364e-05	0.0022512135618324	YNL146C-A	Putative protein of unknown function
YJL107C	191.431671054477	1.29415396344084	0.30213626243919	4.28334537864785	1.84104052984908e-05	0.0023363846422197	YJL107C	Putative protein of unknown function; expression is induced by activation of the HOG1 mitogen-activated signaling pathway and this induction is Hog1p/Pbs2p dependent; YJL107C and adjacent ORF, YJL108C are merged in related fungi
YAL067C	132.003984531738	-1.87619460143407	0.443004452486643	-4.23515969400024	2.28389339097654e-05	0.0028447161014274	SEO1	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide
YJL163C	90.0588845821461	1.58711845576661	0.375311940485476	4.22879819308076	2.34942968385432e-05	0.0028731389188371	YJL163C	Putative protein of unknown function
YDR133C	3356.78442379232	0.94046718655363	0.223571978307072	4.20655215235389	2.59296266641145e-05	0.0031143333739791	YDR133C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps YDR134C
YHR092C	720.472614698452	-2.07323993626239	0.496139334070921	-4.17874535213939	2.93121662400496e-05	0.0034588356163258	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YFR017C	65.5316965725655	2.25315687634028	0.541558767437328	4.1605029995217	3.17547446102594e-05	0.0036750816379205	IGD1	Cytoplasmic protein that inhibits Gdb1p glycogen debranching activity; required for normal intracellular accumulation of glycogen; phosphorylated in vivo; expression increases during wine fermentation; protein abundance increases in response to DNA replication stress; IGD1 has a paralog, YOL024W, that arose from the whole genome duplication
YLR438W	542.534010621633	1.63068493376294	0.39226921613428	4.15705557992276	3.22375582273736e-05	0.0036750816379205	CAR2	L-ornithine transaminase (OTAse); catalyzes the second step of arginine degradation, expression is dually-regulated by allophanate induction and a specific arginine induction process; not nitrogen catabolite repression sensitive; protein abundance increases in response to DNA replication stress; human homolog OAT complements yeast null mutant
