	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
ETS2-2	3.97524297172192	1.66241844231505	1.17389875938181	1.41615146027627	0.156731164036924	0.999723955945567	ETS2-2	ETS2-2
HRA1	21.6272158555898	0.291652130632166	0.471218961500676	0.618931228283665	0.535961665000054	0.999723955945567	HRA1	HRA1
ICR1	90.4178060385924	0.0888813608054493	0.307087749667499	0.289433104712533	0.772249964645315	0.999723955945567	ICR1	Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11, repressing FLO11 transcription in cis
IRT1	98.2344894469682	-0.626993178009393	0.336713297595416	-1.8620980593489	0.062589269521496	0.999723955945567	IRT1	IRT1
LSR1	34.580740729563	-0.690451899359259	0.420871864767985	-1.64052757420572	0.100895520010003	0.999723955945567	LSR1	LSR1
NME1	15.8799591740506	-1.19711684266703	0.797009070005526	-1.50201156764593	0.133094121409069	0.999723955945567	NME1	NME1
Q0020	3.23906851679394	-3.12968810442386	1.88206648423245	-1.66289986599502	0.0963324812353421	0.999723955945567	Q0020	Q0020
Q0050	1.38833220486776	-3.50145006158984	2.15433328845549	-1.6253056480876	0.104097448566394	0.999723955945567	AI1	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0055	0.692069994255883	-2.48898821810819	3.23535182683608	-0.769309908574063	0.441709356426423	0.999723955945567	AI2	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0085	0.225692117974263	-0.678666097362616	4.56209215174643	-0.148762031714509	0.881741411502318	0.999723955945567	ATP6	Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase; mutations in human ortholog MT-ATP6 are associated with neurodegenerative disorders such as Neurogenic Ataxia and Retinitis Pigmentosa (NARP), Leigh syndrome (LS), Charcot-Marie-Tooth (CMT), and ataxia telangiectasia
Q0110	0.310918584187747	-1.37859519225454	4.5393801643921	-0.303696791704856	0.761358902481076	0.999723955945567	BI2	Mitochondrial mRNA maturase with a role in splicing; encoded by both exon and intron sequences of partially processed COB mRNA
Q0130	0.155459292093874	-0.678666097362616	4.56209215174643	-0.148762031714509	0.881741411502318	0.999723955945567	OLI1	F0-ATP synthase subunit c (ATPase-associated proteolipid); encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2
Q0158	8.07727288229972	-0.239885574897728	0.871779872754337	-0.27516759952237	0.783187478277644	0.999723955945567	Q0158	Q0158
Q0285	0.335726931599875	-1.46096446396066	3.92165506076942	-0.372537727393604	0.709492527714782	0.999723955945567	Q0285	Q0285
RDN5-1	9.08575913967996	0.862038560930449	0.694135985707222	1.24188714989637	0.214278201878096	0.999723955945567	RDN5-1	RDN5-1
RDN5-2	0.224601156520361	1.72495830638867	4.56193850609171	0.378119587558068	0.705341757897798	0.999723955945567	RDN5-2	RDN5-2
RME2	150.440010488232	-0.222419900440776	0.221491414438172	-1.00419197288057	0.315286090483936	0.999723955945567	RME2	RME2
RNA170	8.8563891161081	-0.621353242086211	0.755129637062678	-0.822843140554205	0.410597200366373	0.999723955945567	RNA170	RNA170
RPR1	13.1361581159792	0.651592856631603	0.639770718427952	1.0184787109868	0.308450512998337	0.999723955945567	RPR1	RPR1
RUF20	43.538125581776	-0.504224852708358	0.421476751087167	-1.19632898234066	0.231568203028887	0.999723955945567	RUF20	RUF20
RUF21	1.48722957642087	1.24367118827336	1.82266809544394	0.682335523062113	0.495026815852274	0.999723955945567	RUF21	RUF21
RUF22	0.451384235948525	-1.82829605182961	4.50622186049759	-0.405727038843073	0.684943172867681	0.999723955945567	RUF22	RUF22
RUF23	12.3421174958597	-1.42290560717956	0.773373826556669	-1.83986780819158	0.0657876472373516	0.999723955945567	RUF23	RUF23
RUF5-2	0.631426765118346	-0.215548764875688	2.79487925644535	-0.0771227466727248	0.938525897662058	0.999723955945567	RUF5-2	RUF5-2
SCR1	15.9815955773691	0.469500203518483	0.520297925061043	0.90236801052666	0.366861408429891	0.999723955945567	SCR1	SCR1
SRG1	133.730591023176	-0.665440028816823	0.23603745186268	-2.81921374580826	0.0048141448815696	0.999723955945567	SRG1	SRG1
