	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
ETS2-2	2.26203367650583	-2.8970466409992	1.84704706160927	-1.56847472986156	0.116770382905993	0.997760666540989	ETS2-2	ETS2-2
HRA1	27.1725434496803	0.176983679270234	0.447307602967782	0.395664366301822	0.692352646279317	0.997760666540989	HRA1	HRA1
ICR1	113.587257875585	-0.181984821436706	0.234721811586974	-0.77532130570351	0.438149822807939	0.997760666540989	ICR1	Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11, repressing FLO11 transcription in cis
IRT1	117.416488420506	-0.365062809042605	0.421415231638288	-0.866278154264602	0.38633764326332	0.997760666540989	IRT1	IRT1
LSR1	47.1454119062879	-0.0396074743785093	0.397542579692613	-0.099630772656188	0.920637462320404	0.997760666540989	LSR1	LSR1
NME1	22.3421549962454	-1.19438896356864	0.513674197475628	-2.32518777356986	0.0200619218312161	0.997760666540989	NME1	NME1
Q0020	2.183628172662	0.302261238348904	1.63717374877454	0.184623799749509	0.853524117343497	0.997760666540989	Q0020	Q0020
Q0050	2.25620950103594	-0.10362442872689	1.9233498700574	-0.0538770560365065	0.957033116740012	0.997760666540989	AI1	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0055	0.731062359636906	-1.04685031051991	3.25007188552101	-0.322100663429509	0.747376435700018	0.997760666540989	AI2	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0110	0.373081665781235	-1.8619365497354	4.53506062324975	-0.410564864379071	0.681391631753124	0.997760666540989	BI2	Mitochondrial mRNA maturase with a role in splicing; encoded by both exon and intron sequences of partially processed COB mRNA
Q0130	0.357980693855671	0.308766729013554	3.8514534932998	0.0801688841759876	0.936102937314513	0.997760666540989	OLI1	F0-ATP synthase subunit c (ATPase-associated proteolipid); encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2
Q0158	10.1682540990618	0.512949377543936	0.782505127767588	0.655522065404647	0.51213168455154	0.997760666540989	Q0158	Q0158
Q0285	0.404156454440016	-1.96292434758334	3.68035064642282	-0.533352535169776	0.593789567535239	0.997760666540989	Q0285	Q0285
RDN5-1	20.6389801648909	0.722271260142178	0.82385612230326	0.876695870297012	0.380651850447216	0.997760666540989	RDN5-1	RDN5-1
RME2	194.821008318163	0.0209248348917845	0.215688320234053	0.0970142234362901	0.922715099062411	0.997760666540989	RME2	RME2
RNA170	11.9522909477525	-0.162151252912048	0.638546184654188	-0.253938175200064	0.799543321662839	0.997760666540989	RNA170	RNA170
RPR1	12.2013509370955	0.0419733628657374	0.832305777187553	0.050430219297011	0.959779555499936	0.997760666540989	RPR1	RPR1
RUF20	54.5117967275213	-0.212539740405516	0.332597178532065	-0.639030497322832	0.522803092341967	0.997760666540989	RUF20	RUF20
RUF21	1.27747456062958	0.506169108456124	2.27228434680509	0.222757820414428	0.823723997582554	0.997760666540989	RUF21	RUF21
RUF22	0.219148014754026	-1.09674904047218	4.56209215174643	-0.240404841461243	0.81001642530572	0.997760666540989	RUF22	RUF22
RUF23	15.9277212069043	-1.19845582483609	0.77867284697893	-1.53910057283469	0.123779745236029	0.997760666540989	RUF23	RUF23
RUF5-2	0.560495343479506	1.23233302179768	3.32030043894445	0.371151058302861	0.710525023522789	0.997760666540989	RUF5-2	RUF5-2
