	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YHR092C	25493.6991533685	-7.83780306866687	0.171707945007891	-45.6461293524109	0.0	0.0	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YMR303C	8526.56914029456	-4.54425547394459	0.1035058720504	-43.9033591420965	0.0	0.0	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YMR011W	22859.3795671561	-4.53286039182419	0.138994903738456	-32.6117020833626	2.7993008048101403e-233	6.0502221394629795e-230	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YLR174W	2427.0904496487	-5.20119539310171	0.162919799619698	-31.9248820907147	1.20595484425407e-223	1.9548528025358598e-220	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YDR277C	1847.96557614116	-4.07535414354791	0.143094665284588	-28.4801263236669	2.06498276960981e-178	2.6778696556300003e-175	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YKL096W	4144.263474667	3.6699930180973	0.130223924693818	28.1821717992771	9.67215899896109e-175	1.04523798248773e-171	CWP1	Cell wall mannoprotein that localizes to birth scars of daughter cells; linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond; required for propionic acid resistance
YER091C	11217.5230388819	-2.58146557277603	0.0935053295786066	-27.6076838016584	8.997978569175e-168	8.33469900607581e-165	MET6	Cobalamin-independent methionine synthase; involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs
YDL215C	4293.39184093017	-2.87223199939505	0.107520747255087	-26.7132816011857	3.29960889476013e-157	2.6743330092030902e-154	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YJR095W	2850.92187289965	-7.01808398123567	0.270763311446914	-25.9196267903956	4.0019929769437804e-148	2.8832136069448303e-145	SFC1	Mitochondrial succinate-fumarate transporter; transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YPL134C	1733.81994943865	-2.76842510575761	0.108026315970641	-25.6273212770673	7.56909355436566e-145	4.90780026065069e-142	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
