	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YKR075C	507.923102955739	1.06877554884376	0.273977153923321	3.90096595113506	9.58096271270387e-05	0.532453320055593	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YKR091W	413.748069466294	-1.17010263442365	0.318292947428933	-3.67618146702701	0.0002367511427548	0.532453320055593	SRL3	GTB motif (G1/S transcription factor binding) containing protein; binds SBF-regulated promoters in hydroxyurea-treated cells; when overexpressed, suppresses the lethality of a rad53 null mutation; potential Cdc28p substrate; SRL3 has a paralog, WHI5, that arose from the whole genome duplication
YPR036W-A	1054.56211229714	-1.01886550072415	0.273211045159908	-3.72922514947305	0.0001920694796663	0.532453320055593	SPO24	Small (67 amino acids) protein involved in sporulation; localizes to the prospore membrane; phosphorylated during meiosis; a longer, 5'-extended mRNA is also transcribed beginning in mid-meiosis, regulated by two MSEs (middle sporulation elements), and includes an uORF of 15 codons in its 5'-UTR; evidence transcription is regulated by Pdr1p
YDL023C	261.549805768745	-1.38975766047321	0.413871878833538	-3.35794174851919	0.0007852515947154	0.918661296840101	YDL023C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in other Saccharomyces species; overlaps the verified gene GPD1; deletion confers sensitivity to GSAO; deletion in cyr1 mutant results in loss of stress resistance
YER153C	91.1345357197132	-1.09143371279035	0.325938740162677	-3.34858541898276	0.0008122523821985	0.918661296840101	PET122	Mitochondrial translational activator specific for the COX3 mRNA; acts together with Pet54p and Pet494p; located in the mitochondrial inner membrane
YMR011W	2093.85900528052	0.83612292167557	0.249813627470504	3.34698683231079	0.0008169509087061	0.918661296840101	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YCL026C-B	212.922140635	-0.985298013652513	0.315106491155213	-3.1268731089617	0.0017667616396049	0.975171054370307	HBN1	Protein of unknown function; similar to bacterial nitroreductases; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; protein becomes insoluble upon intracellular iron depletion; protein abundance increases in response to DNA replication stress
YDL022W	3405.00368853208	-1.16505168865352	0.384686074902026	-3.02857775382236	0.0024570783939966	0.975171054370307	GPD1	NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases Ypk1p and Ypk2p, dephosphorylation increases catalytic activity; forms a heterodimer with Pnc1p to facilitate its peroxisomal import
YDL110C	521.922421417027	-0.959855379898552	0.310686442041286	-3.08946658113585	0.0020051626354908	0.975171054370307	TMA17	ATPase dedicated chaperone that adapts proteasome assembly to stress; Tma17p is induced upon stress; interacts with Rpt6p to assist its pairing to Rpt3p and early steps in proteasome biogenesis; associates with ribosomes; heterozygous deletion demonstrated increases in chromosome instability in a rad9 deletion background; protein abundance is decreased upon intracellular iron depletion
YDR358W	285.311349553027	-0.778870195052916	0.250085386297894	-3.1144170660382	0.0018430876224832	0.975171054370307	GGA1	Golgi-localized protein with homology to gamma-adaptin; interacts with and regulates Arf1p and Arf2p in a GTP-dependent manner in order to facilitate traffic through the late Golgi; GGA1 has a paralog, GGA2, that arose from the whole genome duplication
