	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
ETS2-2	3.00393370628214	-0.800944064933687	2.40884917478346	-0.332500711675187	0.739511202404651	0.999766507175257	ETS2-2	ETS2-2
HRA1	18.2891700717886	0.904392700133782	1.04750622847344	0.863376918962835	0.387930265458723	0.999766507175257	HRA1	HRA1
ICR1	110.08817495539	0.0386620552029176	0.41747823171168	0.0926085536110503	0.926214548155819	0.999766507175257	ICR1	Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11, repressing FLO11 transcription in cis
IRT1	151.151060534329	-0.0447032274093849	0.358308494885298	-0.124761840836889	0.900712097888999	0.999766507175257	IRT1	IRT1
LSR1	40.4265871840163	0.858482054235547	0.711116320457749	1.20723154502056	0.227342985200585	0.999766507175257	LSR1	LSR1
NME1	27.1560956091118	0.832013548259022	0.855583855908839	0.972451201028356	0.330826130574126	0.999766507175257	NME1	NME1
Q0020	2.95442695887116	-0.135843800370099	2.45032935539489	-0.0554389964234855	0.95578872893981	0.999766507175257	Q0020	Q0020
Q0050	2.60563915969567	1.68912067317203	2.81003500187733	0.601103072397165	0.547771337146846	0.999766507175257	AI1	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0055	1.25149050208198	0.380910689080984	4.02438130949597	0.0946507449933194	0.92459224205213	0.999766507175257	AI2	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0105	0.350002686078733	-2.55011393190788	5.94809273412171	-0.42872800507614	0.668121177739847	0.999766507175257	COB	Cytochrome b; mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p
Q0110	0.600991877335501	2.23340321608425	6.04142081357644	0.369681782647103	0.711619607033755	0.999766507175257	BI2	Mitochondrial mRNA maturase with a role in splicing; encoded by both exon and intron sequences of partially processed COB mRNA
Q0130	0.30049593866775	1.30295082165821	6.11587702222391	0.21304398648363	0.831292653883251	0.999766507175257	OLI1	F0-ATP synthase subunit c (ATPase-associated proteolipid); encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2
Q0158	9.71526194520574	0.310898218581773	1.42136750636929	0.218731761622949	0.826859005825986	0.999766507175257	Q0158	Q0158
Q0285	1.00171619772846	-0.10477280884173	4.07265920225087	-0.02572589643244	0.979475968323794	0.999766507175257	Q0285	Q0285
RDN5-1	8.11395796355291	-0.349312639157496	1.51142637018969	-0.231114559099333	0.817225804754252	0.999766507175257	RDN5-1	RDN5-1
RME2	178.511257567601	0.0901729270223714	0.329514507382813	0.273653890806128	0.784350615287127	0.999766507175257	RME2	RME2
RNA170	12.0204051662337	0.498377193945246	1.2774072006007	0.39014747506581	0.696427498835334	0.999766507175257	RNA170	RNA170
RPR1	15.1704293409423	-0.500676398048982	1.12109030067706	-0.446597743060135	0.655165525468429	0.999766507175257	RPR1	RPR1
RUF20	58.7991664273925	0.0794540745452758	0.572195103728617	0.138858361470635	0.889562074856987	0.999766507175257	RUF20	RUF20
RUF21	1.05243783204269	-0.0128450934736185	4.32329354349083	-0.002971136089743	0.997629379873784	0.999766507175257	RUF21	RUF21
RUF23	24.8438522731723	-0.124156833444554	0.877316626927526	-0.14151884238119	0.887460075774273	0.999766507175257	RUF23	RUF23
RUF5-2	0.351217572981979	1.41665126080452	6.10968355787028	0.231869825562346	0.816639121586726	0.999766507175257	RUF5-2	RUF5-2
SCR1	17.8281942283633	-0.49128205108449	1.02192853508931	-0.480740124397792	0.630701209954735	0.999766507175257	SCR1	SCR1
SRG1	192.781981598967	-0.0643376432132262	0.320059061287059	-0.201018033841954	0.840684472916342	0.999766507175257	SRG1	SRG1
YAL001C	528.51279704951	0.0053105163129483	0.196589682930762	0.0270131994404747	0.97844920624262	0.999766507175257	TFC3	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)
YAL002W	396.544995522901	0.162091954221795	0.225581918872449	0.718550294420747	0.472418048623499	0.999766507175257	VPS8	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
YAL003W	20979.8684483933	-0.0191517313402263	0.0627041081657461	-0.305430248519004	0.760038486745523	0.999766507175257	EFB1	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants
YAL005C	7562.83968418662	-0.278940560151791	0.0740575657449006	-3.76653698168574	0.0001655275745912	0.999766507175257	SSA1	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils
YAL007C	1305.82358473349	0.0259216750176078	0.131677940575962	0.196856625371159	0.843939737362701	0.999766507175257	ERP2	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication
YAL008W	369.262700846225	-0.086853120175399	0.231929311141122	-0.374480999180614	0.708046490397822	0.999766507175257	FUN14	Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis
YAL009W	303.166440212791	0.0208610754136842	0.255073575754976	0.0817845413894358	0.934818049073611	0.999766507175257	SPO7	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation
YAL010C	292.050709462399	-0.0693643599174384	0.262039581004588	-0.264709475001884	0.791233277807505	0.999766507175257	MDM10	Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase
YAL011W	528.983566785555	-0.119858087075964	0.195434108436041	-0.613291548927293	0.539683580353595	0.999766507175257	SWC3	Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae
YAL012W	10130.9328407924	-0.0467714642288471	0.0659800865545923	-0.708872429110078	0.478403645902126	0.999766507175257	CYS3	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress
YAL013W	749.836226711209	-0.0877329085254417	0.173976777721258	-0.504279419785584	0.614065037448511	0.999766507175257	DEP1	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation
YAL014C	859.843009094544	-0.0710106773343986	0.15624126559445	-0.454493741229149	0.649473495676223	0.999766507175257	SYN8	Endosomal SNARE related to mammalian syntaxin 8
YAL015C	518.154669452735	-0.110115761669155	0.197857088435107	-0.55654190880945	0.577840453221254	0.999766507175257	NTG1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication
YAL016C-A	118.240894890732	-0.232227483615056	0.400950945744716	-0.579191759190697	0.562459790692132	0.999766507175257	YAL016C-A	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF TPD3/YAL016W
YAL016W	1762.85001993787	0.0774613866419053	0.117667579185664	0.658306962529427	0.510340904947562	0.999766507175257	TPD3	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III
YAL017W	626.669895999521	0.0601292698407252	0.192449103425957	0.312442452421502	0.754704291625627	0.999766507175257	PSK1	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication
YAL018C	5.75566333440427	-1.63194063399533	1.77337105758784	-0.920247698310308	0.357443333626886	0.999766507175257	LDS1	Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants
YAL019W	1028.1991448622	0.147093522599728	0.145969553217143	1.00770002618911	0.313598492431622	0.999766507175257	FUN30	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate
YAL019W-A	13.071817317881	-0.264432407835742	1.1905037579394	-0.222118079067166	0.824221964308871	0.999766507175257	YAL019W-A	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF ATS1/YAL020C
YAL020C	292.236019963487	-0.105036799913216	0.258602702361973	-0.406170542511168	0.684617296684611	0.999766507175257	ATS1	Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p
YAL021C	1237.35269823243	-0.0304178518287307	0.133256997350516	-0.228264574720383	0.819440562862662	0.999766507175257	CCR4	Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening
YAL022C	908.142284146082	-0.0201882514512554	0.15259195150692	-0.132302203700041	0.894745264398885	0.999766507175257	FUN26	High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member
YAL023C	4376.35429281272	-0.0670011847317603	0.0824607660440561	-0.812521977978762	0.416492180706194	0.999766507175257	PMT2	Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication
YAL024C	404.611951310243	-0.10267043699472	0.22470829347699	-0.456905419048243	0.64773902878749	0.999766507175257	LTE1	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures
YAL025C	2442.35914379993	-0.0438043114840124	0.107376814870091	-0.407949439895463	0.683310794674566	0.999766507175257	MAK16	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
YAL026C	987.716518435388	0.0805789575976455	0.147254137445586	0.547210142923295	0.584234368604096	0.999766507175257	DRS2	Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease
YAL026C-A	55.652139646014	0.0379676622795974	0.599265638969876	0.0633569819635628	0.949482241813433	0.999766507175257	YAL026C-A	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2
YAL027W	229.563666340673	0.20914262169446	0.292752242594199	0.714401433243211	0.47497898598452	0.999766507175257	SAW1	5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
YAL028W	202.363755155188	-0.465228091059237	0.310721723576893	-1.49724996921275	0.134328227658641	0.999766507175257	FRT2	Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication
YAL029C	1124.88595883402	0.0454365449981566	0.1391151240549	0.326611109373165	0.743962039921226	0.999766507175257	MYO4	Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication
YAL030W	524.463520775635	-0.235514751453763	0.199998393564492	-1.17758321582627	0.238962804359841	0.999766507175257	SNC1	Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication
YAL031C	597.17763772942	-0.10768774776317	0.196541327563416	-0.547914014310417	0.583750945545181	0.999766507175257	GIP4	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate
YAL031W-A	28.1060644921306	0.402659381276134	0.840050491714104	0.47932759429081	0.631705594367076	0.999766507175257	YAL031W-A	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C
YAL032C	442.230311562467	-0.160915850755328	0.212253828539578	-0.758129320269587	0.448373568576091	0.999766507175257	PRP45	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene
YAL033W	318.577870795401	-0.165720710642567	0.24854786306782	-0.666755725022457	0.504928177754734	0.999766507175257	POP5	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs
YAL034C	504.31477305998	-0.0215622276116577	0.200610282965096	-0.107483162343225	0.914405682439395	0.999766507175257	FUN19	Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication
YAL034C-B	4.80690933828864	0.292954459910737	2.01306506652658	0.145526572778004	0.884295137023522	0.999766507175257	YAL034C-B	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL034W-A	212.967713630448	0.0627815397806776	0.30230487822719	0.207676237806178	0.835481772641039	0.999766507175257	MTW1	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)
YAL035W	5255.06212507852	0.029647912243649	0.080211211177688	0.369623046558559	0.711663376721959	0.999766507175257	FUN12	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2
YAL036C	2296.5041000526	-0.0131761815609019	0.108024453192472	-0.121974063941109	0.902919558851452	0.999766507175257	RBG1	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid
YAL037C-A	9.06616741387039	-0.0942507246130687	1.43065701219298	-0.0658793294338218	0.947473897547973	0.999766507175257	YAL037C-A	Putative protein of unknown function
YAL037C-B	3079.2552225701	-0.0795684404246939	0.0944484036240786	-0.842454052917511	0.399533848034103	0.999766507175257	YAL037C-B	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YAL037W	129.129854540077	-0.0201400133151053	0.397155987255515	-0.0507105871783016	0.959556140156929	0.999766507175257	YAL037W	Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication
