	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
ETS2-2	4.87210836359724	1.56439164250217	0.980421943340448	1.59563099656057	0.110571202868305	0.999776842009554	ETS2-2	ETS2-2
HRA1	22.0736341512793	-0.0131926156438695	0.417960789855203	-0.0315642423023458	0.974819559680886	0.999776842009554	HRA1	HRA1
ICR1	92.659469191634	0.13378935492927	0.268520088784257	0.498247097768402	0.618309890061057	0.999776842009554	ICR1	Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11, repressing FLO11 transcription in cis
IRT1	151.121180050694	-0.261176957164283	0.604099685452979	-0.432340826280089	0.665493718720451	0.999776842009554	IRT1	IRT1
LSR1	51.6448429825825	-0.149996775456547	0.61399086831977	-0.244298055876667	0.80699998905591	0.999776842009554	LSR1	LSR1
NME1	18.098586271602	-0.974792786977417	0.705812838215641	-1.38109245709072	0.167250534524013	0.999776842009554	NME1	NME1
Q0010	0.140037681675076	-0.794026234925463	4.0804728567969	-0.1945917208107	0.845712584997855	0.999776842009554	Q0010	Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0017
Q0020	4.45559284467943	-0.381776241726222	1.37232244230968	-0.278197185993457	0.780860994887206	0.999776842009554	Q0020	Q0020
Q0045	0.145828362937481	-0.794026234925463	4.0804728567969	-0.1945917208107	0.845712584997855	0.999776842009554	COX1	Subunit I of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits
Q0050	1.46016579220818	-3.9247068257307	2.03870648004872	-1.92509655712524	0.0542172796103992	0.999776842009554	AI1	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0055	0.779329161893964	-0.528735423896126	2.48866890690652	-0.21245711811193	0.831750428880296	0.999776842009554	AI2	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0085	0.499253798543812	0.920508287505554	3.3973471123714	0.27094914268652	0.786430147765621	0.999776842009554	ATP6	Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase; mutations in human ortholog MT-ATP6 are associated with neurodegenerative disorders such as Neurogenic Ataxia and Retinitis Pigmentosa (NARP), Leigh syndrome (LS), Charcot-Marie-Tooth (CMT), and ataxia telangiectasia
