	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YML123C	11623.6206354799	5.81331235767045	0.145053875852283	40.0769184795205	0.0	0.0	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YGL089C	2210.20232668542	-5.47274665480678	0.154338863122946	-35.4592909657966	2.08604989629317e-275	6.517862900967999e-272	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YPL187W	9295.39446587296	-8.27919766047848	0.27978858451164	-29.5909058438874	1.95636134047277e-192	4.07510067220477e-189	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YNL145W	1702.93902075077	8.02687403472548	0.277928948780212	28.8810290182228	2.06675933192161e-183	3.2287947662945403e-180	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YLR040C	1585.07634016307	-4.67187098127724	0.163924029098769	-28.5002205409574	1.16407941224235e-178	1.45486644942049e-175	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YJR004C	4397.21018767541	-4.47550642315633	0.162493344250335	-27.5427060954658	5.4115631991548705e-167	5.6361430719198e-164	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YKL178C	1302.65718003725	-4.34555283204689	0.162066391930606	-26.8134113450713	2.2543260938274e-158	2.0124691086182102e-155	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YDR461W	1286.51515201178	7.33795733327672	0.285719243821723	25.6824049900373	1.83816459276595e-145	1.4358363175243e-142	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YFL026W	3196.03090391282	5.98756591885258	0.237441155832661	25.217051769544	2.60435444163488e-140	1.80829010064182e-137	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YKL209C	942.502738369428	3.94566583321174	0.166065928062726	23.7596349789549	8.73612157049162e-125	5.45920236940022e-122	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
