	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YML123C	1167.2374335636	-2.21388440652777	0.155075359325667	-14.2761842768231	3.0801050141315103e-46	2.0442656978790798e-42	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YDR477W	534.416414582142	-12.6141040589451	1.18688662565011	-10.6278929986559	2.2105003577724398e-26	7.335545437267851e-23	SNF1	AMP-activated S/T protein kinase; forms a complex with Snf4p and members of the Sip1p/Sip2p/Gal83p family; required for transcription of glucose-repressed genes, thermotolerance, sporulation, and peroxisome biogenesis; regulates nucleocytoplasmic shuttling of Hxk2p; regulates filamentous growth and acts as a non-canonical GEF, activating Arf3p during invasive growth; SUMOylation by Mms21p inhibits its function and targets Snf1p for destruction via the Slx5-Slx8 Ub ligase
YHR092C	538.802852179136	-2.68386862950181	0.301416176623668	-8.9041957189071	5.377450133008481e-19	1.18967121775924e-15	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YJR121W	14851.4481296527	-0.914622910569208	0.111313802835802	-8.21661723226146	2.09323835627356e-16	3.47320574264691e-13	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YBR039W	5081.18193541583	-0.835673914670356	0.103172947612345	-8.09973868159956	5.50773665677339e-16	7.310969638200999e-13	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YBL015W	1226.97478389637	-1.04925565807165	0.142702791111339	-7.35273395776129	1.94193215865311e-13	2.14810062283012e-10	ACH1	Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth
YDR298C	2598.25755314052	-0.837626184174781	0.115624981686942	-7.24433571321701	4.3456380497269e-13	4.12028567657677e-10	ATP5	Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated
YIR042C	99.2760556978799	1.83049194173925	0.258326645338624	7.08595870681391	1.3808498357600698e-12	1.14558754499245e-09	YIR042C	Putative protein of unknown function; YIR042C is a non-essential gene
YNL055C	10024.736126697	-0.97684754487816	0.139974617390659	-6.97874774075536	2.97822674011007e-12	2.1962767637900603e-09	POR1	Mitochondrial porin (voltage-dependent anion channel); outer membrane protein required for maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; couples the glutathione pools of the intermembrane space (IMS) and the cytosol; interacts with Om45 and Om14 in the outer membrane; phosphorylated; protein abundance increases in response to DNA replication stress
YJR077C	5828.32366149849	-0.721346872520969	0.104377628161731	-6.9109337434192	4.81473909715384e-12	3.195542338781e-09	MIR1	Mitochondrial phosphate carrier; imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated
YNL054W-B	641.787078792179	-1.37454658607903	0.202061294554059	-6.80262189308741	1.02732027115041e-11	6.198476945113891e-09	YNL054W-B	YNL054W-B
