	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YPL187W	15171.9511678728	10.1855837868089	0.398092705767845	25.5859593487474	2.186361263696e-144	1.44584070368216e-140	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YNL145W	1303.84229090697	-8.50931195944836	0.337470851341989	-25.2149539007893	2.7460612990404097e-140	9.0798516852771e-137	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YDR461W	947.455667770349	-7.75930196415426	0.356382651157345	-21.7723897023497	4.2394161857901005e-105	9.34508641220998e-102	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YGL089C	3564.55866160615	5.48663323600997	0.258163343067374	21.2525650265464	3.1213898647591e-100	5.160437793912991e-97	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YIL015W	895.989144617149	-5.02143894012694	0.240661315358302	-20.8651686817672	1.11002261120125e-96	1.46811590557477e-93	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YJR004C	6993.30167092835	4.45485757930726	0.21656597931076	20.5704404426089	5.05052807608206e-94	5.56652369452178e-91	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YFL026W	1906.31869464374	-6.07577368580819	0.322304299045692	-18.8510476087284	2.88080574556218e-79	2.72153834220038e-76	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YLR040C	2542.92531289133	4.17025324471762	0.227549435754403	18.3268010790351	5.05790169693928e-75	4.18098799023243e-72	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YKL178C	2057.35124011042	4.75863563788668	0.272747676986619	17.4470253622733	3.62632665643465e-68	2.66454424211137e-65	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YGL032C	275.101454986273	-6.65655321059209	0.391194160861664	-17.0159830502839	6.25150753602853e-65	4.1341219335756695e-62	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
